date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET,LAD BROKES, BETSSON ,COMEON,BOYLE SPORTS,BETWAY,BET FRED, * SMARKETS,888 SPORT,10BET, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-21,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.9,1.91,1.83,1.73,1.85,1.8,1.8,1.91,1.8,1.98,1.83,1.8,1.83,1.75,2.08
2023-03-21,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.5,5.5,6,5,4.5,4,4.5,4,5.5,6.2,5,4,5.5,5.5,6.4
2023-03-21,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6,6,7.5,6,5,7.5,6,7,5.5,6,5,7,7.8
2023-03-21,4,Norway,Alessandra - Queen of Kings,5%,15,13,13,15,15,15,12,15,15,19,17,18,13,15,13,13,20
2023-03-21,5,Israel,Noa Kirel - Unicorn,4%,17,18,19,21,23,21,20,19,17,23,21,21,21,19,13,21,29
2023-03-21,6,Spain,Blanca Paloma - Eaea,3%,21,23,21,21,26,23,20,26,21,21,23,24,29,26,23,21,27
2023-03-21,7,United Kingdom,Mae Muller - I Wrote A Song,3%,29,34,36,34,26,26,30,29,23,26,26,44,14,29,17,26,50
2023-03-21,8,Czechia,Vesna - My Sister's Crown,2%,34,34,29,26,41,29,35,29,34,34,34,30,23,29,17,34,38
2023-03-21,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,41,51,34,29,45,34,34,41,34,44,26,34,26,34,50
2023-03-21,10,France,La Zarra - Évidemment,2%,41,51,51,51,41,41,40,41,34,34,41,65,34,41,26,34,80
2023-03-21,11,Italy,Marco Mengoni - Due vite,1%,67,67,61,81,67,51,50,51,51,51,51,95,34,51,26,34,120
2023-03-21,12,Armenia,Brunette - Future Lover,1%,67,67,81,81,81,51,75,41,41,41,67,85,51,41,34,34,100
2023-03-21,13,Georgia,Iru - Echo,1%,67,51,81,81,41,67,70,67,67,26,34,110,41,67,29,67,140
2023-03-21,14,Switzerland,Remo Forrer - Watergun,1%,67,81,81,81,81,81,70,67,51,67,67,90,41,67,51,67,110
2023-03-21,15,Serbia,Luke Black - Samo mi se spava,1%,81,126,81,101,126,101,80,101,67,101,101,120,41,101,67,101,160
2023-03-21,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,101,120,101,81,101,101,170,34,101,41,101,200
2023-03-21,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,101,125,101,81,126,101,240,101,101,101,101,270
2023-03-21,18,Australia,Voyager - Promise,1%,126,201,101,151,301,151,100,101,101,126,101,210,101,101,34,101,240
2023-03-21,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,151,150,151,101,151,101,210,101,151,34,101,240
2023-03-21,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,151,151,151,201,126,100,151,101,151,201,170,81,151,101,101,200
2023-03-21,21,Estonia,Alika - Bridges,<1%,151,201,101,201,201,201,150,201,151,201,201,200,51,201,67,101,230
2023-03-21,22,Iceland,Diljá - Power,<1%,201,151,151,251,201,201,120,201,126,151,201,280,101,201,101,101,550
2023-03-21,23,Slovenia,Joker Out - Carpe Diem,<1%,81,151,151,251,301,251,90,201,201,251,201,160,151,201,67,101,190
2023-03-21,24,Poland,Blanka - Solo,<1%,201,201,201,151,301,201,150,201,101,151,201,270,201,201,21,101,500
2023-03-21,25,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,201,201,201,200,151,101,151,201,280,101,151,101,101,840
2023-03-21,26,Ireland,Wild Youth - We Are One,<1%,251,251,301,151,301,151,250,151,67,201,201,280,101,151,101,101,780
2023-03-21,27,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,201,200,201,101,201,201,280,101,201,101,101,760
2023-03-21,28,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,301,201,200,201,151,201,201,280,67,201,101,101,800
2023-03-21,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,251,301,201,250,201,126,201,201,280,101,201,151,101,670
2023-03-21,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,201,301,201,250,201,201,201,201,280,101,201,151,101,760
2023-03-21,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,201,200,201,126,251,201,290,151,201,151,101,1000
2023-03-21,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,401,201,250,251,201,251,201,290,151,251,201,101,1000
2023-03-21,33,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,201,250,251,126,251,201,290,101,251,101,101,1000
2023-03-21,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,251,250,251,201,301,201,290,151,251,151,101,1000
2023-03-21,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,251,250,251,201,251,201,290,151,251,151,101,1000
2023-03-21,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,251,300,251,201,301,201,290,201,251,251,301,1000
2023-03-21,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,251,300,251,201,301,201,290,151,251,201,301,1000
