date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,10BET,COMEON,LAD BROKES,BOYLE SPORTS,BETWAY,BET FRED, * SMARKETS,888 SPORT, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-22,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.9,1.91,1.83,1.85,1.8,1.8,1.73,1.8,1.91,1.8,1.94,1.83,1.83,1.75,2.02
2023-03-22,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.5,5.5,6,4.5,4,4,5,4.5,4,5.5,6.2,5,4.5,5,7
2023-03-22,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6,7.5,6,6,6,5,7.5,6,7,5.5,5,7,8.4
2023-03-22,4,Norway,Alessandra - Queen of Kings,5%,15,13,13,15,15,12,15,15,15,15,19,17,17,13,13,13,20
2023-03-22,5,Israel,Noa Kirel - Unicorn,4%,17,18,23,21,23,20,19,19,21,17,23,21,21,21,13,17,30
2023-03-22,6,Spain,Blanca Paloma - Eaea,3%,21,23,21,21,26,20,26,26,23,21,21,23,23,23,23,21,26
2023-03-22,7,United Kingdom,Mae Muller - I Wrote A Song,3%,29,34,41,34,26,30,29,29,26,23,26,26,48,14,17,26,65
2023-03-22,8,Czechia,Vesna - My Sister's Crown,2%,34,34,23,26,34,35,29,29,29,34,34,34,28,23,17,34,29
2023-03-22,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,36,51,34,45,34,34,29,34,41,34,44,26,26,34,46
2023-03-22,10,France,La Zarra - Évidemment,2%,41,51,51,51,41,40,41,41,41,34,34,41,75,34,26,34,75
2023-03-22,11,Italy,Marco Mengoni - Due vite,1%,67,67,61,81,67,50,51,51,51,51,51,51,95,34,26,34,100
2023-03-22,12,Armenia,Brunette - Future Lover,1%,67,67,81,81,81,75,41,41,51,41,41,67,85,51,34,34,130
2023-03-22,13,Georgia,Iru - Echo,1%,67,51,81,81,67,70,67,67,67,67,26,34,120,41,29,67,140
2023-03-22,14,Switzerland,Remo Forrer - Watergun,1%,67,81,81,81,81,70,67,67,81,51,67,67,100,41,51,67,110
2023-03-22,15,Serbia,Luke Black - Samo mi se spava,1%,81,126,81,101,126,80,101,101,81,67,101,101,150,41,67,101,160
2023-03-22,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,120,101,101,101,81,101,101,150,34,41,101,170
2023-03-22,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,101,101,81,126,101,240,101,101,101,230
2023-03-22,18,Australia,Voyager - Promise,1%,126,201,101,151,301,100,101,101,151,101,126,101,270,101,34,101,140
2023-03-22,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,150,151,151,151,101,151,101,220,101,34,101,220
2023-03-22,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,151,151,151,201,100,151,151,101,101,151,201,220,81,101,101,250
2023-03-22,21,Slovenia,Joker Out - Carpe Diem,<1%,81,151,151,251,201,90,201,201,101,201,251,201,170,151,67,101,220
2023-03-22,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,201,201,151,201,201,220,51,67,101,260
2023-03-22,23,Iceland,Diljá - Power,<1%,201,151,151,251,201,120,201,201,201,126,151,201,280,101,101,101,640
2023-03-22,24,Poland,Blanka - Solo,<1%,201,201,201,151,301,150,201,201,201,101,151,201,260,201,21,101,500
2023-03-22,25,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,201,201,200,151,151,201,101,151,201,280,101,101,101,930
2023-03-22,26,Ireland,Wild Youth - We Are One,<1%,251,251,301,151,301,250,151,151,151,67,201,201,280,101,101,101,240
2023-03-22,27,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,200,201,201,201,101,201,201,280,101,101,101,690
2023-03-22,28,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,301,200,201,201,201,151,201,201,280,67,101,101,700
2023-03-22,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,251,301,250,201,201,201,126,201,201,280,101,151,101,690
2023-03-22,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,201,301,250,201,201,201,201,201,201,280,101,151,101,730
2023-03-22,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,201,201,126,251,201,290,151,151,101,1000
2023-03-22,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,401,250,251,251,201,201,251,201,290,151,201,101,1000
2023-03-22,33,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,251,201,126,251,201,290,101,101,101,1000
2023-03-22,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,251,251,201,301,201,290,151,151,101,1000
2023-03-22,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,251,251,201,176,201,290,151,151,101,1000
2023-03-22,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,251,251,201,301,201,290,201,251,301,1000
2023-03-22,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,251,251,201,301,201,290,151,201,301,1000
