date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,COMEON,LAD BROKES,BOYLE SPORTS,10BET,BETWAY,BET FRED, * SMARKETS,888 SPORT, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-23,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.9,1.91,1.83,1.85,1.8,1.73,1.8,1.8,1.91,1.8,1.95,1.83,1.83,1.8,2.02
2023-03-23,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.5,5.5,6,4.5,4,5,4.5,4,4,5.5,6.6,5,4.5,5,7.2
2023-03-23,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6,7.5,6,6,6,6,7.5,6,7,5.5,5,7,8.2
2023-03-23,4,Norway,Alessandra - Queen of Kings,5%,15,13,13,15,9,12,15,15,15,15,19,17,18,13,13,13,20
2023-03-23,5,Israel,Noa Kirel - Unicorn,4%,17,21,23,21,23,20,19,21,17,19,23,21,22,21,13,17,32
2023-03-23,6,Spain,Blanca Paloma - Eaea,3%,21,23,21,17,23,20,23,23,21,23,21,23,21,23,23,21,24
2023-03-23,7,Czechia,Vesna - My Sister's Crown,2%,34,34,23,26,34,25,29,29,34,29,34,34,25,23,17,34,29
2023-03-23,8,United Kingdom,Mae Muller - I Wrote A Song,2%,29,34,41,34,26,35,29,26,23,29,26,26,55,26,17,34,70
2023-03-23,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,36,51,34,40,34,29,34,34,41,34,50,26,26,34,65
2023-03-23,10,France,La Zarra - Évidemment,2%,41,51,51,51,41,50,41,41,41,41,34,41,65,34,26,51,80
2023-03-23,11,Italy,Marco Mengoni - Due vite,1%,67,67,61,81,67,65,51,51,67,51,51,51,80,34,26,51,95
2023-03-23,12,Armenia,Brunette - Future Lover,1%,67,67,81,81,81,75,41,51,51,41,41,67,90,51,34,34,110
2023-03-23,13,Georgia,Iru - Echo,1%,67,51,81,81,67,70,67,67,67,67,26,34,110,41,29,67,140
2023-03-23,14,Switzerland,Remo Forrer - Watergun,1%,67,81,81,81,81,80,67,81,67,67,67,67,95,41,51,67,120
2023-03-23,15,Serbia,Luke Black - Samo mi se spava,1%,81,126,81,101,126,100,101,81,81,101,101,101,120,41,67,101,160
2023-03-23,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,120,101,101,101,101,101,101,140,34,41,101,170
2023-03-23,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,101,126,101,126,101,220,101,101,101,250
2023-03-23,18,Australia,Voyager - Promise,1%,126,201,101,151,301,150,101,151,126,101,126,101,200,101,34,101,230
2023-03-23,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,150,151,151,126,151,151,101,220,101,34,101,250
2023-03-23,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,151,151,151,201,150,151,101,126,151,151,201,170,81,101,101,200
2023-03-23,21,Slovenia,Joker Out - Carpe Diem,<1%,81,151,151,251,201,100,101,101,201,101,251,201,190,151,67,101,220
2023-03-23,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,201,151,201,201,201,270,51,67,101,300
2023-03-23,23,Iceland,Diljá - Power,<1%,201,151,151,251,201,120,201,201,201,201,151,201,270,101,101,101,410
2023-03-23,24,Poland,Blanka - Solo,<1%,201,201,201,151,301,150,201,201,151,201,151,201,270,201,21,101,500
2023-03-23,25,Ireland,Wild Youth - We Are One,<1%,251,251,301,151,301,250,151,151,67,151,201,201,210,101,101,101,240
2023-03-23,26,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,201,201,250,151,201,201,151,151,201,280,101,101,101,890
2023-03-23,27,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,200,201,201,201,201,201,201,270,101,101,101,450
2023-03-23,28,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,301,250,201,201,201,201,201,201,280,67,101,101,520
2023-03-23,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,251,301,250,201,201,201,201,201,201,280,101,151,101,550
2023-03-23,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,201,301,250,201,201,251,201,201,201,280,101,151,101,770
2023-03-23,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,201,201,201,251,201,290,151,151,101,1000
2023-03-23,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,401,250,251,201,251,251,251,201,290,151,201,101,1000
2023-03-23,33,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,201,201,251,251,201,290,101,101,101,1000
2023-03-23,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,251,251,251,301,201,290,151,151,101,1000
2023-03-23,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,251,251,251,176,201,290,151,151,101,1000
2023-03-23,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,251,201,251,301,201,290,201,251,301,1000
2023-03-23,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,251,251,251,301,201,290,151,201,301,1000
