date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,COMEON,BOYLE SPORTS,LAD BROKES,888 SPORT,10BET, * SMARKETS,BET FRED,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-25,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.9,1.91,1.83,1.85,1.8,1.8,1.73,1.83,1.8,1.97,1.8,1.91,1.83,1.8,2.06
2023-03-25,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.5,5.5,6,4.5,4,4.5,5,5,4,6.2,5.5,4,4.5,5,6.8
2023-03-25,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6,7,6,6,6,5.5,6,6.2,6,7.5,5,7,8
2023-03-25,4,Norway,Alessandra - Queen of Kings,5%,15,11,13,15,9,12,13,15,15,13,13,17,11,19,13,13,19
2023-03-25,5,Israel,Noa Kirel - Unicorn,3%,23,23,23,21,23,25,19,17,21,21,19,22,21,23,13,17,30
2023-03-25,6,Spain,Blanca Paloma - Eaea,3%,17,23,21,17,23,20,21,21,23,23,21,19,23,21,23,21,21
2023-03-25,7,Czechia,Vesna - My Sister's Crown,3%,23,34,23,26,34,25,29,34,29,23,29,26,34,34,17,34,30
2023-03-25,8,United Kingdom,Mae Muller - I Wrote A Song,2%,41,34,41,34,26,40,29,23,26,26,29,50,26,26,17,34,65
2023-03-25,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,41,41,36,51,34,40,34,34,29,26,34,48,34,41,26,34,60
2023-03-25,10,France,La Zarra - Évidemment,2%,51,51,51,51,41,50,41,41,41,34,41,65,41,34,26,51,80
2023-03-25,11,Italy,Marco Mengoni - Due vite,1%,67,81,61,81,67,65,51,67,51,34,51,95,51,51,26,51,120
2023-03-25,12,Armenia,Brunette - Future Lover,1%,67,67,81,81,81,75,41,51,51,51,41,100,67,41,34,34,130
2023-03-25,13,Georgia,Iru - Echo,1%,67,67,81,81,67,70,67,67,67,41,67,120,34,26,29,67,150
2023-03-25,14,Switzerland,Remo Forrer - Watergun,1%,67,81,81,81,81,80,67,67,81,41,67,120,67,67,51,67,150
2023-03-25,15,Serbia,Luke Black - Samo mi se spava,1%,101,101,81,101,126,100,101,81,81,101,101,220,101,101,67,101,250
2023-03-25,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,120,101,101,101,101,101,200,101,101,41,101,230
2023-03-25,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,126,101,101,101,220,101,126,101,101,250
2023-03-25,18,Australia,Voyager - Promise,1%,126,201,101,151,151,150,101,126,151,101,101,140,101,126,34,101,170
2023-03-25,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,150,151,126,151,101,151,210,101,151,34,101,240
2023-03-25,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,151,201,150,151,126,101,101,151,150,201,151,101,101,180
2023-03-25,21,Slovenia,Joker Out - Carpe Diem,<1%,101,151,151,251,201,100,101,201,101,151,101,190,201,251,67,101,220
2023-03-25,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,151,201,51,201,270,201,201,67,101,300
2023-03-25,23,Iceland,Diljá - Power,<1%,201,201,151,251,201,120,201,201,201,101,201,280,201,151,101,101,570
2023-03-25,24,Poland,Blanka - Solo,<1%,201,201,201,151,301,150,201,151,201,201,201,260,201,151,21,101,400
2023-03-25,25,Ireland,Wild Youth - We Are One,<1%,251,251,301,151,301,250,151,67,151,101,151,210,201,201,101,101,240
2023-03-25,26,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,201,201,250,151,201,201,101,151,280,201,151,101,101,890
2023-03-25,27,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,200,201,201,201,101,201,270,201,201,101,101,450
2023-03-25,28,Greece,Victor Vernicos - What They Say,<1%,251,251,251,251,301,250,201,201,201,101,201,280,201,201,151,101,550
2023-03-25,29,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,201,301,250,201,251,201,101,201,280,201,201,151,101,800
2023-03-25,30,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,301,250,201,201,201,251,201,280,201,201,101,101,520
2023-03-25,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,201,201,151,201,280,201,251,151,101,760
2023-03-25,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,401,250,251,251,201,151,251,290,201,251,201,101,1000
2023-03-25,33,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,201,201,101,251,290,201,251,101,101,1000
2023-03-25,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,251,251,151,251,290,201,301,151,101,1000
2023-03-25,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,251,251,151,251,290,201,176,151,101,1000
2023-03-25,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,201,251,201,251,290,201,301,251,301,1000
2023-03-25,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,251,251,151,251,290,201,301,201,301,1000
