date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT, BETSSON ,10BET,BOYLE SPORTS,COMEON,LAD BROKES, * SMARKETS,888 SPORT,BET FRED,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-29,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.95,2,2,1.85,1.8,1.8,1.8,1.73,2.02,1.83,1.8,1.91,1.83,1.8,2.14
2023-03-29,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.3,5,6,4.25,4,4.5,4,5,6.2,5,5.5,4.5,5,5,6.6
2023-03-29,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6.5,7,6,6,6,6,6.6,5.5,6,7.5,6,7,8.4
2023-03-29,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,11,13,11,13,15,13,15,16,13,11,15,13,13,18
2023-03-29,5,Spain,Blanca Paloma - Eaea,4%,15,18,17,19,15,18,15,17,15,21,19,17,19,15,17,17,20
2023-03-29,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,25,21,21,21,21,26,21,21,21,21,17,36
2023-03-29,7,Czechia,Vesna - My Sister's Crown,3%,23,31,23,26,23,25,26,34,26,29,29,23,26,26,26,34,32
2023-03-29,8,United Kingdom,Mae Muller - I Wrote A Song,2%,41,41,51,34,41,40,34,23,34,26,65,26,26,26,26,34,80
2023-03-29,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,41,41,41,40,34,34,34,29,46,26,34,41,41,34,55
2023-03-29,10,France,La Zarra - Évidemment,2%,51,51,51,41,51,50,41,41,41,41,75,34,41,34,41,51,85
2023-03-29,11,Armenia,Brunette - Future Lover,1%,56,81,67,81,67,75,51,51,51,51,95,51,67,41,51,34,120
2023-03-29,12,Italy,Marco Mengoni - Due vite,1%,67,81,51,67,81,65,51,67,51,51,95,34,51,51,67,51,110
2023-03-29,13,Switzerland,Remo Forrer - Watergun,1%,81,101,81,81,101,80,67,67,67,81,95,41,67,67,67,101,110
2023-03-29,14,Georgia,Iru - Echo,1%,91,81,81,101,101,70,67,67,67,67,200,41,34,81,67,67,180
2023-03-29,15,Serbia,Luke Black - Samo mi se spava,1%,101,101,101,126,151,100,101,101,101,81,250,101,101,101,101,101,240
2023-03-29,16,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,126,101,101,160,101,101,126,101,101,160
2023-03-29,17,Croatia,Let 3 - Mama ŠČ!,1%,126,101,126,201,151,120,101,101,101,101,250,101,101,101,101,101,260
2023-03-29,18,Australia,Voyager - Promise,1%,126,201,101,151,101,150,101,126,101,151,210,101,101,126,101,101,230
2023-03-29,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,101,151,151,150,151,126,151,151,170,101,101,151,151,101,200
2023-03-29,20,Germany,Lord Of The Lost - Blood & Glitter,1%,101,201,126,126,151,150,151,126,151,101,200,101,201,151,101,101,220
2023-03-29,21,Slovenia,Joker Out - Carpe Diem,<1%,126,151,151,151,151,100,101,201,101,101,270,151,201,251,126,101,280
2023-03-29,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,151,201,201,270,51,201,201,151,101,310
2023-03-29,23,Iceland,Diljá - Power,<1%,251,201,151,201,201,150,201,201,201,201,280,101,201,151,201,101,730
2023-03-29,24,Ireland,Wild Youth - We Are One,<1%,251,251,301,301,151,250,151,67,151,151,280,101,201,201,101,101,660
2023-03-29,25,Poland,Blanka - Solo,<1%,201,201,201,251,201,150,201,151,201,201,280,201,201,151,201,101,410
2023-03-29,26,Portugal,Mimicat - Ai Coração,<1%,251,201,251,301,201,250,201,201,201,201,280,101,201,201,151,101,500
2023-03-29,27,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,301,251,250,151,201,151,201,290,101,201,151,251,101,890
2023-03-29,28,Greece,Victor Vernicos - What They Say,<1%,251,251,251,301,201,250,201,201,201,201,280,101,201,201,251,101,550
2023-03-29,29,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,301,201,250,201,201,201,201,190,251,201,201,251,101,210
2023-03-29,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,301,201,250,201,251,201,201,280,101,201,201,201,101,800
2023-03-29,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,501,251,200,201,201,201,201,290,151,201,251,201,101,1000
2023-03-29,32,Belgium,Gustaph - Because of You,<1%,251,251,301,401,251,250,251,251,251,201,290,151,201,251,201,101,1000
2023-03-29,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,501,251,250,251,251,251,251,290,151,201,301,151,101,1000
2023-03-29,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,501,251,250,251,201,251,201,290,101,201,251,251,101,1000
2023-03-29,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,251,251,251,251,290,151,201,176,251,101,1000
2023-03-29,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,501,251,300,251,201,251,251,290,201,201,301,251,301,1000
2023-03-29,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,251,251,251,251,290,151,201,301,201,301,1000
