date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT, BETSSON ,COMEON,BOYLE SPORTS,LAD BROKES, * SMARKETS,10BET,BETWAY,BET FRED, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-31,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,2,2,2,1.85,1.8,1.83,1.73,,1.8,1.91,2,1.83,1.8,2.12
2023-03-31,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.75,5,6,4.25,4,4.5,5,6.2,4,4.5,5,5,4.75,6.6
2023-03-31,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6.5,7,6,6.5,6,6.6,6,7.5,7,6,7.5,8.2
2023-03-31,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,11,13,11,13,13,15,,13,15,13,13,13,18
2023-03-31,5,Spain,Blanca Paloma - Eaea,4%,15,18,19,21,15,18,15,17,17,,15,15,17,17,17,23
2023-03-31,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,25,21,26,21,,21,21,21,21,17,38
2023-03-31,7,Czechia,Vesna - My Sister's Crown,3%,23,31,23,26,23,25,26,26,29,,26,26,26,26,34,30
2023-03-31,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,34,31,34,41,35,34,34,29,,34,41,26,41,34,34
2023-03-31,9,United Kingdom,Mae Muller - I Wrote A Song,2%,41,41,51,34,41,40,34,34,26,2,34,26,41,26,34,75
2023-03-31,10,France,La Zarra - Évidemment,2%,51,51,51,41,51,50,41,51,41,,41,34,51,41,51,80
2023-03-31,11,Armenia,Brunette - Future Lover,1%,56,81,67,81,67,75,51,67,51,,51,41,67,51,34,110
2023-03-31,12,Italy,Marco Mengoni - Due vite,1%,67,81,51,67,81,65,51,67,51,,51,51,51,67,51,110
2023-03-31,13,Switzerland,Remo Forrer - Watergun,1%,81,101,81,81,101,80,67,81,81,,67,67,67,67,101,130
2023-03-31,14,Georgia,Iru - Echo,1%,91,81,101,101,101,85,67,81,67,110,67,81,101,67,67,190
2023-03-31,15,Serbia,Luke Black - Samo mi se spava,1%,101,101,126,126,151,100,101,101,81,,101,101,101,101,101,250
2023-03-31,16,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,126,101,,101,126,101,101,101,160
2023-03-31,17,Croatia,Let 3 - Mama ŠČ!,1%,126,101,126,201,151,120,101,101,101,,101,101,101,101,101,260
2023-03-31,18,Australia,Voyager - Promise,1%,126,201,101,151,101,150,101,126,151,23,101,126,101,101,101,230
2023-03-31,19,Slovenia,Joker Out - Carpe Diem,1%,126,151,151,151,151,100,101,201,101,,101,101,201,126,101,320
2023-03-31,20,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,81,151,151,150,151,126,151,,151,151,101,151,101,130
2023-03-31,21,Germany,Lord Of The Lost - Blood & Glitter,1%,101,201,126,126,151,150,151,126,101,,151,151,201,101,101,220
2023-03-31,22,Estonia,Alika - Bridges,<1%,151,201,126,201,201,150,201,151,201,,201,201,201,151,101,310
2023-03-31,23,Ireland,Wild Youth - We Are One,<1%,251,251,301,301,151,250,151,81,151,38,151,201,201,101,101,700
2023-03-31,24,Poland,Blanka - Solo,<1%,201,201,251,251,201,150,201,151,201,,201,151,201,201,101,400
2023-03-31,25,Iceland,Diljá - Power,<1%,251,201,201,201,201,150,201,201,201,,201,151,201,201,101,620
2023-03-31,26,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,251,251,201,201,201,250,201,201,201,30,201,201,201,251,101,270
2023-03-31,27,Portugal,Mimicat - Ai Coração,<1%,251,201,251,301,201,250,201,201,201,,201,201,201,151,101,550
2023-03-31,28,Greece,Victor Vernicos - What They Say,<1%,251,251,251,301,201,250,201,201,201,50,201,201,201,251,101,650
2023-03-31,29,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,301,251,250,151,201,201,,151,151,201,251,101,890
2023-03-31,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,301,201,250,201,251,201,,201,201,201,201,101,800
2023-03-31,31,Belgium,Gustaph - Because of You,<1%,251,251,301,251,251,250,251,251,201,,251,251,201,201,101,1000
2023-03-31,32,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,501,251,200,201,201,201,,201,251,201,201,101,1000
2023-03-31,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,501,251,250,251,251,251,,251,301,201,151,101,1000
2023-03-31,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,501,251,250,251,201,201,,251,251,201,251,101,820
2023-03-31,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,251,251,251,,251,176,201,251,101,1000
2023-03-31,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,501,251,300,251,201,251,,251,301,201,251,301,1000
2023-03-31,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,251,251,251,,251,301,201,201,301,1000
