date,position,country,song,winning chance,BET365,UNIBET,888 SPORT,COOL BET,SKY BET,BETFAIR SPORT,BOYLE SPORTS, BETSSON ,BET FRED, * SMARKETS,COMEON,LAD BROKES,10BET,BETWAY, WILLIAM  HILL,BETFAIR*  EXCHANGE 
2023-04-01,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.83,2,2,2,1.83,1.85,2,2,1.8,1.73,1.8,1.91,1.83,2.12
2023-04-01,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,5,4.75,5,6,4.5,4.25,5,6.4,4,5,4,4.5,5,7
2023-04-01,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6,6.5,7.5,6.5,6.5,7,7,6.8,6,6,6,7.5,6,8.6
2023-04-01,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,13,12,13,13,11,13,16,13,15,13,15,13,19
2023-04-01,5,Spain,Blanca Paloma - Eaea,4%,15,18,17,19,21,15,17,18,17,20,15,17,15,15,17,22
2023-04-01,6,Israel,Noa Kirel - Unicorn,3%,23,26,21,23,21,26,26,25,21,25,21,21,21,21,21,32
2023-04-01,7,Czechia,Vesna - My Sister's Crown,3%,23,31,23,23,26,23,26,25,26,29,26,29,26,26,26,34
2023-04-01,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,26,34,26,31,29,31,26,35,26,32,29,29,29,41,41,38
2023-04-01,9,United Kingdom,Mae Muller - I Wrote A Song,2%,51,41,26,51,41,41,34,40,41,65,34,26,34,26,26,80
2023-04-01,10,France,La Zarra - Évidemment,2%,51,51,34,51,51,51,51,50,51,55,41,41,41,34,41,70
2023-04-01,11,Italy,Marco Mengoni - Due vite,1%,51,81,34,51,67,67,51,65,51,60,51,51,51,51,67,75
2023-04-01,12,Armenia,Brunette - Future Lover,1%,67,81,51,67,101,67,81,75,67,120,51,51,51,41,51,130
2023-04-01,13,Switzerland,Remo Forrer - Watergun,1%,81,101,41,81,126,101,81,80,67,150,67,81,67,67,67,150
2023-04-01,14,Georgia,Iru - Echo,1%,101,81,41,101,151,101,101,85,101,180,67,67,67,81,67,190
2023-04-01,15,Moldova,Pasha Parfeni - Soarele și Luna,1%,101,101,101,101,151,151,126,125,101,150,101,101,101,126,101,160
2023-04-01,16,Serbia,Luke Black - Samo mi se spava,1%,151,101,101,126,151,151,101,100,101,230,101,81,101,101,101,250
2023-04-01,17,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,151,101,81,126,101,126,150,101,110,101,151,101,151,151,130
2023-04-01,18,Croatia,Let 3 - Mama ŠČ!,1%,151,101,101,126,201,151,101,120,101,230,101,101,101,101,101,230
2023-04-01,19,Australia,Voyager - Promise,1%,151,201,101,101,151,101,126,150,101,210,101,151,101,126,101,230
2023-04-01,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,101,126,151,151,126,150,201,200,151,101,151,151,101,220
2023-04-01,21,Slovenia,Joker Out - Carpe Diem,<1%,176,151,151,151,201,151,201,100,201,270,101,101,101,101,126,320
2023-04-01,22,Estonia,Alika - Bridges,<1%,176,201,51,126,201,201,151,150,201,270,201,201,201,201,151,310
2023-04-01,23,Ireland,Wild Youth - We Are One,<1%,251,251,101,301,301,151,81,250,201,280,151,151,151,201,101,300
2023-04-01,24,Iceland,Diljá - Power,<1%,251,201,101,201,251,201,201,150,201,280,201,201,201,151,201,600
2023-04-01,25,Poland,Blanka - Solo,<1%,201,201,201,251,251,201,151,150,201,270,201,201,201,151,201,400
2023-04-01,26,Portugal,Mimicat - Ai Coração,<1%,251,201,101,251,301,201,251,250,201,280,201,201,201,201,151,450
2023-04-01,27,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,251,251,251,201,201,201,201,250,201,270,201,201,201,201,251,210
2023-04-01,28,Denmark,Reiley - Breaking My Heart,<1%,251,251,101,251,301,201,251,250,201,280,201,201,201,201,201,600
2023-04-01,29,Greece,Victor Vernicos - What They Say,<1%,251,251,101,251,301,201,251,250,201,280,201,201,201,201,251,550
2023-04-01,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,101,301,501,251,251,250,201,290,151,201,151,151,251,700
2023-04-01,31,Belgium,Gustaph - Because of You,<1%,251,251,151,301,301,251,251,250,201,290,251,201,251,251,201,1000
2023-04-01,32,Malta,The Busker - Dance (Our Own Party),<1%,251,251,151,301,501,251,251,200,201,290,201,201,201,251,201,1000
2023-04-01,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,151,301,501,251,251,250,201,290,251,251,251,301,151,1000
2023-04-01,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,101,301,501,251,251,250,201,280,251,201,251,251,251,820
2023-04-01,35,Latvia,Sudden Lights - Aijā,<1%,251,501,151,301,501,251,251,250,201,290,251,251,251,176,251,1000
2023-04-01,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,201,301,501,251,251,300,201,290,251,251,251,301,251,1000
2023-04-01,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,151,301,501,251,251,300,201,290,251,251,251,301,201,1000
