date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT,BOYLE SPORTS, BETSSON ,BET FRED, * SMARKETS,COMEON,888 SPORT,LAD BROKES,10BET,BETWAY, WILLIAM  HILL,BETFAIR*  EXCHANGE 
2023-04-03,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.9,2,2,1.83,1.85,1.83,1.97,1.8,1.83,1.73,1.8,1.91,1.83,2.06
2023-04-03,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.3,5,6,4.5,4.25,5,6.8,4,5,5,4,5.5,5,6.8
2023-04-03,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,7.5,6.5,6.5,7,7,6.8,6,6,6,6,7.5,6,8.6
2023-04-03,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,12,13,13,11,13,16,13,13,15,13,13,13,19
2023-04-03,5,Spain,Blanca Paloma - Eaea,4%,15,21,19,21,15,17,18,17,20,15,17,17,15,15,17,21
2023-04-03,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,26,25,21,25,21,21,21,21,26,21,30
2023-04-03,7,Czechia,Vesna - My Sister's Crown,2%,34,34,41,26,23,26,35,26,46,26,23,29,26,29,26,55
2023-04-03,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,26,29,31,29,31,26,35,26,38,29,26,29,29,26,41,44
2023-04-03,9,United Kingdom,Mae Muller - I Wrote A Song,2%,51,51,51,41,41,34,40,41,70,34,26,26,34,34,26,85
2023-04-03,10,France,La Zarra - Évidemment,2%,41,41,41,51,51,41,45,51,48,41,34,41,41,41,41,50
2023-04-03,11,Italy,Marco Mengoni - Due vite,1%,51,51,41,67,67,51,50,51,75,51,34,51,51,67,67,90
2023-04-03,12,Armenia,Brunette - Future Lover,1%,81,81,81,101,67,81,80,67,110,51,51,51,51,67,67,130
2023-04-03,13,Switzerland,Remo Forrer - Watergun,1%,101,81,81,126,101,81,100,67,200,67,41,81,67,81,67,200
2023-04-03,14,Georgia,Iru - Echo,1%,101,101,101,151,101,101,85,101,160,67,41,67,67,101,67,180
2023-04-03,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,101,126,150,101,95,101,101,151,101,151,151,110
2023-04-03,16,Serbia,Luke Black - Samo mi se spava,1%,151,101,126,151,151,101,100,101,230,101,101,81,101,101,101,250
2023-04-03,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,101,101,101,151,151,126,125,101,210,101,101,101,101,126,101,230
2023-04-03,18,Croatia,Let 3 - Mama ŠČ!,1%,151,126,126,201,151,101,120,101,240,101,101,101,101,101,101,260
2023-04-03,19,Australia,Voyager - Promise,1%,151,126,101,151,101,126,150,101,250,101,101,151,101,126,101,250
2023-04-03,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,151,126,151,151,126,150,201,260,151,101,101,151,151,101,230
2023-04-03,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,151,201,151,201,150,201,270,101,151,101,101,101,126,320
2023-04-03,22,Estonia,Alika - Bridges,<1%,176,126,126,201,201,151,150,201,270,201,51,201,201,201,151,310
2023-04-03,23,Ireland,Wild Youth - We Are One,<1%,251,251,301,301,151,81,250,201,280,151,101,151,151,201,101,740
2023-04-03,24,Iceland,Diljá - Power,<1%,251,201,151,251,201,201,150,201,280,201,101,201,201,151,201,730
2023-04-03,25,Poland,Blanka - Solo,<1%,201,201,251,251,201,151,150,201,280,201,201,201,201,151,201,410
2023-04-03,26,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,201,250,201,270,201,251,201,201,201,251,330
2023-04-03,27,Portugal,Mimicat - Ai Coração,<1%,251,201,251,301,201,251,250,201,280,201,101,201,201,201,151,600
2023-04-03,28,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,301,201,251,250,201,280,201,101,201,201,201,201,700
2023-04-03,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,301,201,251,250,201,280,201,101,201,201,201,251,550
2023-04-03,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,251,301,501,251,251,250,201,290,151,101,201,151,151,251,890
2023-04-03,31,Belgium,Gustaph - Because of You,<1%,251,251,301,301,251,251,250,201,290,251,151,201,251,251,201,1000
2023-04-03,32,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,501,251,251,200,201,290,201,151,201,201,251,201,1000
2023-04-03,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,501,251,251,250,201,290,251,151,251,251,301,151,1000
2023-04-03,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,501,251,251,250,201,280,251,101,201,251,251,251,820
2023-04-03,35,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,501,251,251,300,201,290,251,201,251,251,301,251,1000
2023-04-03,36,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,251,250,201,290,251,151,251,251,201,251,1000
2023-04-03,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,251,300,201,290,251,151,251,251,301,201,1000
