date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT,BOYLE SPORTS, BETSSON ,BET FRED,LAD BROKES,888 SPORT,COMEON, * SMARKETS,BETWAY,10BET, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-04,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.9,2,2,1.83,1.85,1.83,1.73,1.83,1.8,1.98,1.91,1.8,1.83,1.8,2.08
2023-04-04,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.3,5,6,4.5,4.25,5,5,5,4,6.8,5.5,4,5,4.75,6.6
2023-04-04,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,7.5,6.5,6.5,7,7,6,6,6,6.8,7.5,6,6,7,8.6
2023-04-04,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,12,13,13,11,13,15,13,13,16,13,13,13,13,18
2023-04-04,5,Spain,Blanca Paloma - Eaea,4%,15,21,17,21,15,17,18,17,13,17,15,18,15,15,17,15,18
2023-04-04,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,26,25,21,21,21,21,25,26,21,21,19,34
2023-04-04,7,Czechia,Vesna - My Sister's Crown,3%,31,34,31,26,23,26,30,26,29,23,26,38,29,26,26,34,42
2023-04-04,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,29,29,31,29,31,26,35,26,29,26,29,38,26,29,41,26,44
2023-04-04,9,United Kingdom,Mae Muller - I Wrote A Song,2%,56,51,61,41,41,34,50,41,34,26,34,55,34,34,26,34,75
2023-04-04,10,France,La Zarra - Évidemment,2%,41,41,41,51,34,41,45,51,41,34,41,42,41,41,41,51,40
2023-04-04,11,Italy,Marco Mengoni - Due vite,1%,56,51,51,67,67,51,50,51,51,34,51,80,67,51,67,51,90
2023-04-04,12,Armenia,Brunette - Future Lover,1%,81,81,81,101,67,81,80,67,67,51,51,120,67,51,67,67,140
2023-04-04,13,Switzerland,Remo Forrer - Watergun,1%,126,81,81,126,101,81,100,67,81,41,67,,81,67,67,101,230
2023-04-04,14,Georgia,Iru - Echo,1%,101,101,101,151,101,101,85,101,67,41,67,180,101,67,67,67,190
2023-04-04,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,101,126,150,101,151,101,101,120,151,101,151,101,140
2023-04-04,16,Serbia,Luke Black - Samo mi se spava,1%,151,101,126,151,151,101,100,101,81,101,101,230,101,101,101,101,240
2023-04-04,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,126,125,101,101,101,101,220,126,101,101,101,250
2023-04-04,18,Croatia,Let 3 - Mama ŠČ!,1%,151,126,126,201,151,101,120,101,101,101,101,240,101,101,101,101,260
2023-04-04,19,Australia,Voyager - Promise,1%,151,126,101,151,101,126,150,101,151,101,101,260,126,101,101,101,240
2023-04-04,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,151,126,151,151,126,150,201,101,101,151,240,151,151,101,101,240
2023-04-04,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,151,201,151,201,150,201,101,151,101,270,101,101,126,101,250
2023-04-04,22,Estonia,Alika - Bridges,<1%,176,126,126,201,201,151,150,201,201,51,201,270,201,201,151,101,250
2023-04-04,23,Ireland,Wild Youth - We Are One,<1%,251,251,301,301,151,81,250,201,151,101,151,280,201,151,101,101,740
2023-04-04,24,Iceland,Diljá - Power,<1%,251,201,151,251,201,201,150,201,201,101,201,280,151,201,201,101,740
2023-04-04,25,Poland,Blanka - Solo,<1%,201,201,251,251,201,151,150,201,201,201,201,280,151,201,201,101,410
2023-04-04,26,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,201,250,201,201,251,201,270,201,201,251,101,330
2023-04-04,27,Portugal,Mimicat - Ai Coração,<1%,251,201,251,301,201,251,250,201,201,101,201,280,201,201,151,101,600
2023-04-04,28,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,301,201,251,250,201,201,101,201,280,201,201,201,101,700
2023-04-04,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,301,201,251,250,201,201,101,201,280,201,201,251,101,550
2023-04-04,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,251,301,501,251,251,250,201,201,101,151,290,151,151,251,101,890
2023-04-04,31,Belgium,Gustaph - Because of You,<1%,251,251,301,301,251,251,250,201,201,151,251,290,251,251,201,101,1000
2023-04-04,32,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,501,251,251,200,201,201,151,201,290,251,201,201,101,1000
2023-04-04,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,501,251,251,250,201,251,151,251,290,301,251,151,101,1000
2023-04-04,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,501,251,251,250,201,201,101,251,280,251,251,251,101,820
2023-04-04,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,251,250,201,251,151,251,290,201,251,251,101,1000
2023-04-04,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,501,251,251,300,201,251,201,251,290,301,251,251,301,1000
2023-04-04,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,251,300,201,251,151,251,290,301,251,201,301,1000
