date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT,BOYLE SPORTS, BETSSON ,LAD BROKES,BET FRED, * SMARKETS,888 SPORT,10BET,COMEON,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-05,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.95,2,2,1.83,1.85,1.73,1.83,1.99,1.83,1.83,1.83,1.91,1.83,1.8,2.1
2023-04-05,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.3,5,5,4.5,4.25,5,5,6.8,5,4,4,5.5,5,4.75,6.6
2023-04-05,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,7.5,6.5,6.5,7,6,7,7.4,6,6,6,7.5,6,7,9
2023-04-05,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,12,13,13,11,15,13,16,13,13,13,13,13,13,18
2023-04-05,5,Spain,Blanca Paloma - Eaea,4%,15,21,15,21,15,17,18,13,17,17,17,15,15,15,17,15,18
2023-04-05,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,26,25,21,21,20,21,21,21,26,21,19,21
2023-04-05,7,Czechia,Vesna - My Sister's Crown,2%,31,34,41,26,23,26,30,29,26,48,23,26,26,29,26,34,55
2023-04-05,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,29,29,31,29,31,26,35,29,26,40,26,29,29,26,41,26,42
2023-04-05,9,United Kingdom,Mae Muller - I Wrote A Song,2%,56,51,61,41,41,34,50,34,41,48,26,34,34,34,26,34,80
2023-04-05,10,France,La Zarra - Évidemment,2%,41,41,36,51,34,41,45,41,41,44,34,41,41,41,41,51,38
2023-04-05,11,Italy,Marco Mengoni - Due vite,1%,56,51,51,67,67,51,50,51,51,90,34,51,51,67,67,51,90
2023-04-05,12,Armenia,Brunette - Future Lover,1%,81,81,81,101,67,81,80,67,67,90,51,67,67,67,67,67,100
2023-04-05,13,Switzerland,Remo Forrer - Watergun,1%,126,81,81,126,101,81,100,81,67,230,41,81,81,81,67,101,250
2023-04-05,14,Georgia,Iru - Echo,1%,101,101,101,151,101,101,85,67,101,170,41,81,81,101,67,67,190
2023-04-05,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,101,126,150,151,101,120,101,101,101,151,151,101,150
2023-04-05,16,Serbia,Luke Black - Samo mi se spava,1%,151,101,126,151,151,101,100,81,101,210,101,101,101,101,101,101,190
2023-04-05,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,126,125,101,101,230,101,101,101,126,101,101,230
2023-04-05,18,Croatia,Let 3 - Mama ŠČ!,1%,151,126,126,201,151,101,120,101,101,250,101,101,101,101,101,101,260
2023-04-05,19,Australia,Voyager - Promise,1%,151,126,101,151,101,126,150,151,101,270,101,101,101,126,101,101,240
2023-04-05,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,151,126,151,151,126,150,101,201,270,101,151,151,151,101,101,270
2023-04-05,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,151,201,151,201,150,101,201,270,151,101,101,101,126,101,250
2023-04-05,22,Estonia,Alika - Bridges,<1%,176,126,126,201,201,151,150,201,201,270,51,201,201,201,151,101,310
2023-04-05,23,Ireland,Wild Youth - We Are One,<1%,251,251,301,301,151,81,250,151,201,280,101,151,151,201,101,101,740
2023-04-05,24,Iceland,Diljá - Power,<1%,251,201,151,251,201,201,150,201,201,280,101,201,201,151,201,101,700
2023-04-05,25,Poland,Blanka - Solo,<1%,201,201,251,251,201,151,150,201,201,280,201,201,201,151,201,101,440
2023-04-05,26,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,201,250,201,201,270,251,201,201,201,251,101,330
2023-04-05,27,Portugal,Mimicat - Ai Coração,<1%,251,201,251,301,201,251,250,201,201,280,101,201,201,201,151,101,600
2023-04-05,28,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,301,201,251,250,201,201,280,101,201,201,201,201,101,260
2023-04-05,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,301,201,251,250,201,201,280,101,201,201,201,251,101,620
2023-04-05,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,251,301,501,251,251,250,201,201,290,101,151,151,151,251,101,950
2023-04-05,31,Belgium,Gustaph - Because of You,<1%,251,251,301,301,251,251,250,201,201,290,151,251,251,251,201,101,1000
2023-04-05,32,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,501,251,251,200,201,201,290,151,201,201,251,201,101,1000
2023-04-05,33,Lithuania,Monika Linkytė - Stay,<1%,251,251,301,501,251,251,250,201,201,280,101,251,251,251,251,101,820
2023-04-05,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,501,251,251,250,251,201,290,151,251,251,301,151,101,1000
2023-04-05,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,251,250,251,201,290,151,251,251,201,251,101,1000
2023-04-05,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,501,251,251,300,251,201,290,201,251,251,301,251,301,1000
2023-04-05,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,251,300,251,201,290,151,251,251,301,201,301,1000
