date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,LAD BROKES,BET FRED,BETFAIR SPORT,COMEON, * SMARKETS,888 SPORT,BETWAY,10BET, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-06,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.95,2,1.83,1.85,1.73,1.83,1.83,1.83,2,1.83,1.91,1.83,1.83,1.8,2.12
2023-04-06,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.3,5,4.5,4.25,5,5,5,4,6.2,5,5.5,4,5,4.75,6.4
2023-04-06,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,8,7,7.5,7,7,6,7,6,6,7.6,6,7.5,6,6,7,9
2023-04-06,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,12,13,11,15,13,13,13,16,13,13,13,13,13,19
2023-04-06,5,Spain,Blanca Paloma - Eaea,5%,15,18,15,17,17,18,13,17,17,15,16,17,15,15,17,15,17
2023-04-06,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,25,21,21,21,21,23,21,26,21,21,19,29
2023-04-06,7,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,29,31,31,29,26,35,29,26,34,29,38,26,26,29,41,26,40
2023-04-06,8,Czechia,Vesna - My Sister's Crown,2%,31,34,41,34,34,30,29,26,23,26,44,23,29,26,26,34,46
2023-04-06,9,France,La Zarra - Évidemment,2%,41,41,41,34,34,45,41,41,34,34,36,34,41,34,41,51,40
2023-04-06,10,United Kingdom,Mae Muller - I Wrote A Song,2%,56,67,61,41,34,50,34,41,31,34,48,26,34,34,26,30,75
2023-04-06,11,Italy,Marco Mengoni - Due vite,1%,56,51,61,67,51,50,51,51,67,51,95,34,67,51,67,51,100
2023-04-06,12,Armenia,Brunette - Future Lover,1%,81,67,81,101,81,80,67,67,67,67,95,51,67,67,67,67,110
2023-04-06,13,Switzerland,Remo Forrer - Watergun,1%,126,101,81,126,81,100,81,67,81,81,270,41,81,81,67,101,260
2023-04-06,14,Georgia,Iru - Echo,1%,101,101,101,151,101,85,67,101,81,81,230,41,101,81,67,67,220
2023-04-06,15,Serbia,Luke Black - Samo mi se spava,1%,151,101,126,151,101,100,81,101,101,101,250,101,101,101,101,101,250
2023-04-06,16,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,126,150,151,101,126,101,95,101,151,101,151,101,95
2023-04-06,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,126,101,151,126,125,101,101,101,101,240,101,126,101,101,101,250
2023-04-06,18,Croatia,Let 3 - Mama ŠČ!,1%,151,126,126,201,101,120,101,101,101,101,240,101,101,101,101,101,250
2023-04-06,19,Australia,Voyager - Promise,1%,151,151,101,151,126,150,151,101,101,101,270,101,126,101,101,101,230
2023-04-06,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,201,126,151,126,150,101,201,101,151,270,101,151,151,101,101,300
2023-04-06,21,Slovenia,Joker Out - Carpe Diem,<1%,201,126,151,201,201,150,101,201,126,101,270,151,101,101,126,101,250
2023-04-06,22,Estonia,Alika - Bridges,<1%,176,151,126,201,151,150,201,201,151,151,270,51,201,151,151,101,310
2023-04-06,23,Ireland,Wild Youth - We Are One,<1%,251,351,301,301,81,250,151,201,91,151,280,101,201,151,101,101,740
2023-04-06,24,Iceland,Diljá - Power,<1%,251,251,201,251,201,150,201,201,201,201,280,101,151,201,201,101,660
2023-04-06,25,Poland,Blanka - Solo,<1%,201,251,251,251,151,150,201,201,201,201,280,201,151,201,201,101,410
2023-04-06,26,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,151,201,201,250,201,201,201,201,270,201,201,201,251,101,330
2023-04-06,27,Portugal,Mimicat - Ai Coração,<1%,251,251,251,301,251,250,201,201,151,201,280,101,201,201,151,101,770
2023-04-06,28,Denmark,Reiley - Breaking My Heart,<1%,251,276,251,301,251,250,201,201,201,201,280,101,201,201,201,101,750
2023-04-06,29,Greece,Victor Vernicos - What They Say,<1%,251,301,251,301,251,250,201,201,201,201,280,101,201,201,251,101,630
2023-04-06,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,301,301,501,251,250,201,201,251,151,290,101,151,151,251,101,950
2023-04-06,31,Belgium,Gustaph - Because of You,<1%,251,351,301,301,251,250,201,201,201,251,290,151,251,251,201,101,1000
2023-04-06,32,Malta,The Busker - Dance (Our Own Party),<1%,251,351,301,501,251,200,201,201,201,201,290,151,251,201,201,101,1000
2023-04-06,33,Lithuania,Monika Linkytė - Stay,<1%,251,251,251,501,251,250,201,201,251,251,280,101,251,251,251,101,820
2023-04-06,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,351,301,501,251,250,251,201,151,251,290,151,301,251,151,101,1000
2023-04-06,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,251,201,251,251,290,151,201,251,251,101,1000
2023-04-06,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,251,201,201,251,290,151,301,251,201,301,1000
2023-04-06,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,301,501,251,300,251,201,251,251,290,201,301,251,251,301,1000
