date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,LAD BROKES,BETFAIR SPORT,BET STARS, * SMARKETS,10BET,COMEON,BET FRED,888 SPORT,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-13,1,Sweden,Loreen - Tattoo,39%,1.8,1.83,1.85,1.83,1.8,1.85,1.8,1.83,1.83,1.94,1.83,1.83,1.91,1.83,1.91,1.83,1.8,2
2023-04-13,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.3,5.5,4.5,4.5,5,5,4.5,5.8,4,4,5,5,4.5,5,5,6.2
2023-04-13,3,Ukraine,Tvorchi - Heart of Steel,10%,7,8,7.5,8.5,8,8,6,6,6.5,7.8,6.5,6.5,7,6,9,6,8,10
2023-04-13,4,Norway,Alessandra - Queen of Kings,5%,15,11,15,12,15,12,15,13,13,19,13,13,13,13,13,13,15,23
2023-04-13,5,Spain,Blanca Paloma - Eaea,5%,13,13,15,16,15,15,13,17,17,16,13,13,13,13,13,13,13,17
2023-04-13,6,Israel,Noa Kirel - Unicorn,3%,26,26,23,21,21,25,21,21,26,25,21,21,21,21,26,21,26,32
2023-04-13,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,26,31,29,29,26,25,29,31,26,42,29,29,26,26,26,29,21,44
2023-04-13,8,Czechia,Vesna - My Sister's Crown,2%,31,51,41,34,34,30,29,23,23,50,26,26,26,23,29,26,26,60
2023-04-13,9,France,La Zarra - Évidemment,2%,34,41,41,34,34,35,34,26,26,50,34,34,26,34,34,26,34,55
2023-04-13,10,United Kingdom,Mae Muller - I Wrote A Song,2%,46,76,61,41,34,60,34,31,41,46,34,34,41,26,34,26,34,70
2023-04-13,11,Italy,Marco Mengoni - Due vite,1%,71,51,81,67,51,60,51,67,67,95,51,51,51,34,67,41,51,100
2023-04-13,12,Armenia,Brunette - Future Lover,1%,71,67,81,101,67,80,67,67,67,140,67,67,67,51,67,67,67,130
2023-04-13,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,81,100,81,81,101,220,81,81,67,41,81,67,101,150
2023-04-13,14,Georgia,Iru - Echo,1%,201,101,126,151,101,150,67,81,101,270,81,81,101,41,101,67,101,410
2023-04-13,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,126,100,151,126,101,270,101,101,101,101,151,67,101,180
2023-04-13,16,Serbia,Luke Black - Samo mi se spava,1%,126,101,126,151,101,125,81,101,151,270,101,101,101,101,101,101,101,200
2023-04-13,17,Croatia,Let 3 - Mama ŠČ!,1%,151,126,151,201,101,150,101,101,151,240,101,101,101,101,101,101,101,230
2023-04-13,18,Australia,Voyager - Promise,1%,151,151,126,151,126,150,151,101,101,270,101,101,101,101,126,101,101,240
2023-04-13,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,126,126,151,126,150,101,101,151,270,101,101,101,101,126,101,101,350
2023-04-13,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,151,151,150,101,101,151,270,151,151,201,101,151,101,101,270
2023-04-13,21,Slovenia,Joker Out - Carpe Diem,<1%,201,126,151,201,201,200,101,126,151,270,101,101,201,151,101,126,101,300
2023-04-13,22,Estonia,Alika - Bridges,<1%,251,151,151,201,151,150,201,151,201,270,151,151,201,51,201,151,101,350
2023-04-13,23,Ireland,Wild Youth - We Are One,<1%,251,351,301,301,81,250,151,91,151,280,151,151,126,101,201,101,101,760
2023-04-13,24,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,200,201,201,201,280,201,201,201,201,201,251,101,380
2023-04-13,25,Poland,Blanka - Solo,<1%,251,251,251,251,151,150,201,201,201,280,201,201,201,201,151,201,101,420
2023-04-13,26,Iceland,Diljá - Power,<1%,251,251,251,251,201,150,201,201,201,290,201,201,201,101,151,201,101,950
2023-04-13,27,Portugal,Mimicat - Ai Coração,<1%,251,251,301,301,201,250,201,151,201,290,201,201,201,101,201,151,101,520
2023-04-13,28,Denmark,Reiley - Breaking My Heart,<1%,251,276,301,301,251,250,201,201,201,290,201,201,201,101,201,201,101,420
2023-04-13,29,Greece,Victor Vernicos - What They Say,<1%,251,301,251,301,251,250,201,201,201,280,201,201,201,101,201,251,101,860
2023-04-13,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,301,301,501,251,250,201,251,251,290,151,151,201,101,151,251,101,1000
2023-04-13,31,Lithuania,Monika Linkytė - Stay,<1%,201,201,251,501,251,250,201,251,251,290,251,251,201,101,251,251,101,820
2023-04-13,32,Belgium,Gustaph - Because of You,<1%,251,351,301,301,251,250,201,201,251,290,251,251,201,151,251,201,101,1000
2023-04-13,33,Malta,The Busker - Dance (Our Own Party),<1%,251,351,301,501,251,250,201,201,251,290,201,201,201,151,251,201,101,1000
2023-04-13,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,351,301,501,251,250,251,151,251,290,251,251,201,151,301,151,101,1000
2023-04-13,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,251,251,251,290,251,251,201,151,201,251,101,1000
2023-04-13,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,251,201,251,290,251,251,201,151,301,201,301,1000
2023-04-13,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,301,501,251,300,251,251,251,290,251,251,201,201,301,251,301,1000
