date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET,BOYLE SPORTS, BETSSON ,LAD BROKES,BETFAIR SPORT,BET STARS,10BET,COMEON,BET FRED, * SMARKETS,888 SPORT,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-15,1,Sweden,Loreen - Tattoo,39%,1.8,1.9,1.85,1.91,1.8,1.85,1.8,1.83,1.83,1.83,1.83,1.91,1.95,1.83,1.91,1.83,1.8,2.02
2023-04-15,2,Finland,Käärijä - Cha Cha Cha,16%,4.5,4.25,4.5,5,4.5,4.5,5,5,4.5,4,4,5,5.3,5,4.5,5,5,5.6
2023-04-15,3,Ukraine,Tvorchi - Heart of Steel,10%,7,7.5,8,9,8,8,6,6.5,7,6.5,6.5,7,8,6,9,6,8,10
2023-04-15,4,Spain,Blanca Paloma - Eaea,6%,11,15,11,15,15,15,13,11,11,13,13,13,16,13,13,13,13,17
2023-04-15,5,Norway,Alessandra - Queen of Kings,5%,17,15,13,13,15,12,15,13,13,13,13,13,19,13,13,13,15,23
2023-04-15,6,Israel,Noa Kirel - Unicorn,3%,26,26,26,21,21,25,21,21,26,21,21,21,29,21,26,21,26,40
2023-04-15,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,29,26,29,29,26,25,29,31,26,29,29,26,38,26,26,29,21,44
2023-04-15,8,Czechia,Vesna - My Sister's Crown,2%,36,51,51,51,34,30,29,23,23,26,26,26,46,23,29,26,26,55
2023-04-15,9,France,La Zarra - Évidemment,2%,34,41,41,41,34,35,34,26,26,34,34,26,42,34,34,26,34,38
2023-04-15,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,61,76,41,34,60,34,36,51,34,34,41,48,26,34,26,34,70
2023-04-15,11,Italy,Marco Mengoni - Due vite,1%,71,81,41,67,51,60,51,67,67,51,51,51,90,34,67,41,51,100
2023-04-15,12,Armenia,Brunette - Future Lover,1%,81,81,67,101,67,80,67,67,67,67,67,67,100,51,67,67,67,130
2023-04-15,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,81,100,81,81,101,81,81,67,270,41,81,67,101,290
2023-04-15,14,Georgia,Iru - Echo,1%,201,151,101,151,101,150,67,81,101,81,81,101,270,41,101,67,101,470
2023-04-15,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,126,126,101,126,126,100,151,126,101,101,101,101,240,101,151,67,101,270
2023-04-15,16,Serbia,Luke Black - Samo mi se spava,1%,151,126,101,151,101,125,81,101,151,101,101,101,270,101,101,101,101,300
2023-04-15,17,Croatia,Let 3 - Mama ŠČ!,1%,151,151,126,201,101,150,101,101,151,101,101,101,270,101,101,101,101,230
2023-04-15,18,Australia,Voyager - Promise,1%,151,151,151,151,126,150,151,101,101,101,101,101,270,101,126,101,101,240
2023-04-15,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,151,126,151,126,150,101,101,151,101,101,101,270,101,126,101,101,480
2023-04-15,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,201,151,151,150,101,101,151,151,151,201,240,101,151,101,101,280
2023-04-15,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,201,200,101,126,151,101,101,201,270,151,101,126,101,390
2023-04-15,22,Estonia,Alika - Bridges,<1%,251,201,151,201,151,150,201,151,201,151,151,201,280,51,201,151,101,480
2023-04-15,23,Ireland,Wild Youth - We Are One,<1%,251,501,351,301,81,250,151,91,151,151,151,126,290,101,201,101,101,880
2023-04-15,24,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,200,201,201,201,201,201,201,270,201,201,251,101,300
2023-04-15,25,Poland,Blanka - Solo,<1%,251,251,251,251,151,150,201,201,201,201,201,201,300,201,151,201,101,580
2023-04-15,26,Iceland,Diljá - Power,<1%,251,301,251,251,201,150,201,201,201,201,201,201,290,101,151,201,101,1000
2023-04-15,27,Portugal,Mimicat - Ai Coração,<1%,251,301,251,301,201,250,201,151,201,201,201,201,280,101,201,151,101,870
2023-04-15,28,Greece,Victor Vernicos - What They Say,<1%,251,301,301,301,251,250,201,201,201,201,201,201,280,101,201,251,101,900
2023-04-15,29,Denmark,Reiley - Breaking My Heart,<1%,251,501,276,301,251,250,201,201,201,201,201,201,290,101,201,201,101,360
2023-04-15,30,Lithuania,Monika Linkytė - Stay,<1%,201,301,201,501,251,250,201,251,251,251,251,201,290,101,251,251,101,1000
2023-04-15,31,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,501,301,501,251,250,201,251,251,151,151,201,290,101,151,251,101,1000
2023-04-15,32,Belgium,Gustaph - Because of You,<1%,251,501,351,301,251,250,201,201,251,251,251,201,290,151,251,201,101,1000
2023-04-15,33,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,251,250,201,201,251,201,201,201,290,151,251,201,101,1000
2023-04-15,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,501,351,501,251,250,251,151,251,251,251,201,290,151,301,151,101,1000
2023-04-15,35,Latvia,Sudden Lights - Aijā,<1%,251,501,501,501,251,250,251,251,251,251,251,201,290,151,201,251,101,1000
2023-04-15,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,251,300,251,201,251,251,251,201,290,151,301,201,301,1000
2023-04-15,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,251,300,251,251,251,251,251,201,290,201,301,251,301,1000
