date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET,BOYLE SPORTS, BETSSON ,BETFAIR SPORT,LAD BROKES,BET STARS,COMEON, * SMARKETS,888 SPORT,BET FRED,BETWAY,10BET, WILLIAM  HILL,BETFAIR*  EXCHANGE 
2023-04-16,1,Sweden,Loreen - Tattoo,39%,1.8,1.9,1.85,1.91,1.8,1.85,1.83,1.8,1.83,1.83,1.95,1.83,1.83,1.91,1.83,1.83,2.02
2023-04-16,2,Finland,Käärijä - Cha Cha Cha,16%,4.5,4,4.5,5,4.5,4.25,4.5,5,4.33,4,5.4,4.5,4.5,4.5,4,5,5.7
2023-04-16,3,Ukraine,Tvorchi - Heart of Steel,10%,7,7.5,8,9,8,8,6.5,6,7,6.5,8.2,6,7,9,6.5,6,10
2023-04-16,4,Spain,Blanca Paloma - Eaea,6%,11,15,11,15,13,13,11,13,11,13,16,13,13,13,13,13,17
2023-04-16,5,Norway,Alessandra - Queen of Kings,5%,17,15,13,15,15,13,13,15,13,13,20,13,13,13,13,13,24
2023-04-16,6,Israel,Noa Kirel - Unicorn,3%,26,29,26,26,21,30,21,21,26,21,30,21,21,26,21,21,44
2023-04-16,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,29,29,29,29,26,30,31,29,26,29,40,26,26,26,29,29,46
2023-04-16,8,Czechia,Vesna - My Sister's Crown,2%,36,51,51,51,34,45,23,29,23,26,48,23,26,29,26,26,60
2023-04-16,9,France,La Zarra - Évidemment,2%,34,41,41,41,34,35,34,34,34,34,40,34,26,34,34,26,44
2023-04-16,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,61,76,51,34,60,36,34,51,34,50,26,41,34,34,26,75
2023-04-16,11,Italy,Marco Mengoni - Due vite,1%,71,61,41,67,51,70,67,51,67,51,80,34,51,67,51,41,90
2023-04-16,12,Armenia,Brunette - Future Lover,1%,81,81,67,101,67,80,81,67,81,67,110,51,67,67,67,67,130
2023-04-16,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,81,125,81,81,101,81,180,41,67,81,81,67,160
2023-04-16,14,Georgia,Iru - Echo,1%,201,151,101,151,101,200,81,67,101,81,280,41,101,101,81,67,470
2023-04-16,15,Serbia,Luke Black - Samo mi se spava,1%,151,126,101,151,101,150,101,81,151,101,270,101,101,101,101,101,300
2023-04-16,16,Netherlands,Nicolai & Cooper - Burning Daylight,1%,126,126,101,126,126,125,176,151,151,101,230,101,101,151,101,67,230
2023-04-16,17,Croatia,Let 3 - Mama ŠČ!,1%,151,151,126,201,101,150,101,101,151,101,240,101,101,101,101,101,230
2023-04-16,18,Australia,Voyager - Promise,1%,151,151,151,151,126,150,101,151,101,101,270,101,101,126,101,101,350
2023-04-16,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,151,126,151,126,200,126,101,176,101,280,101,101,126,101,101,400
2023-04-16,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,201,151,151,200,101,101,151,151,270,101,201,151,151,101,290
2023-04-16,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,201,200,151,101,176,101,270,151,201,101,101,126,350
2023-04-16,22,Estonia,Alika - Bridges,<1%,251,201,151,201,151,200,151,201,201,151,280,51,201,201,151,151,500
2023-04-16,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,200,201,201,201,201,270,201,201,201,201,251,280
2023-04-16,24,Ireland,Wild Youth - We Are One,<1%,251,501,351,301,81,250,126,151,201,151,290,101,126,201,151,101,880
2023-04-16,25,Iceland,Diljá - Power,<1%,251,301,251,251,201,200,201,201,201,201,290,101,201,151,201,201,1000
2023-04-16,26,Poland,Blanka - Solo,<1%,251,251,251,251,151,250,201,201,201,201,300,201,201,151,201,201,600
2023-04-16,27,Portugal,Mimicat - Ai Coração,<1%,251,301,251,301,201,250,151,201,201,201,280,101,201,201,201,151,850
2023-04-16,28,Greece,Victor Vernicos - What They Say,<1%,251,301,301,301,251,250,201,201,201,201,290,101,201,201,201,251,900
2023-04-16,29,Denmark,Reiley - Breaking My Heart,<1%,251,501,276,301,251,250,201,201,201,201,290,101,201,201,201,201,1000
2023-04-16,30,Lithuania,Monika Linkytė - Stay,<1%,201,301,201,501,251,250,251,201,251,251,290,101,201,251,251,251,1000
2023-04-16,31,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,501,301,501,251,250,251,201,251,151,290,101,201,151,151,251,1000
2023-04-16,32,Belgium,Gustaph - Because of You,<1%,251,501,351,301,251,250,201,201,251,251,290,151,201,251,251,201,1000
2023-04-16,33,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,251,250,251,201,301,201,290,151,201,251,201,201,1000
2023-04-16,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,501,351,501,251,250,151,251,251,251,290,151,201,301,251,151,1000
2023-04-16,35,Latvia,Sudden Lights - Aijā,<1%,251,501,501,501,251,250,251,251,251,251,290,151,201,201,251,251,1000
2023-04-16,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,251,300,201,251,251,251,290,151,201,301,251,201,1000
2023-04-16,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,251,300,251,251,251,251,290,201,201,301,251,251,1000
