date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,COMEON, * SMARKETS,BET FRED,10BET,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-17,1,Sweden,Loreen - Tattoo,40%,1.8,1.85,1.85,1.91,1.85,1.83,1.8,1.73,1.83,1.83,1.95,1.83,1.83,1.91,1.83,1.8,2.02
2023-04-17,2,Finland,Käärijä - Cha Cha Cha,16%,4,3.8,4.5,5,4.25,4.5,4.5,5,4.33,4,4.8,4.5,4,4.5,5,4.75,5.1
2023-04-17,3,Ukraine,Tvorchi - Heart of Steel,10%,7.5,8,8,9,8,6.5,8,7.5,7,6.5,8.2,7,6.5,9,6,8,10
2023-04-17,4,Spain,Blanca Paloma - Eaea,6%,12,17,11,15,13,11,13,12,11,12,19,13,12,13,13,13,21
2023-04-17,5,Norway,Alessandra - Queen of Kings,5%,17,17,13,15,13,13,15,13,13,15,20,13,15,13,13,15,25
2023-04-17,6,Israel,Noa Kirel - Unicorn,3%,29,31,26,26,30,21,21,21,26,21,36,21,21,26,21,26,50
2023-04-17,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,29,31,29,29,30,31,26,29,26,29,44,26,29,26,29,21,50
2023-04-17,8,Czechia,Vesna - My Sister's Crown,2%,34,41,51,51,45,23,34,34,23,26,46,26,26,29,26,26,50
2023-04-17,9,France,La Zarra - Évidemment,2%,34,41,41,41,35,34,34,34,34,34,46,26,34,34,26,34,55
2023-04-17,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,61,76,51,60,36,34,34,51,34,70,41,34,34,26,34,100
2023-04-17,11,Italy,Marco Mengoni - Due vite,1%,71,61,41,67,70,67,51,51,67,51,80,51,51,67,41,51,95
2023-04-17,12,Armenia,Brunette - Future Lover,1%,81,81,67,101,80,81,67,67,81,67,100,67,67,67,67,67,110
2023-04-17,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,125,81,81,101,101,81,200,67,81,81,67,101,180
2023-04-17,14,Georgia,Iru - Echo,1%,201,151,101,151,200,81,101,126,101,81,280,101,81,101,67,101,290
2023-04-17,15,Serbia,Luke Black - Samo mi se spava,1%,201,126,101,151,150,101,101,126,151,101,270,101,101,101,101,101,300
2023-04-17,16,Netherlands,Nicolai & Cooper - Burning Daylight,1%,126,126,101,126,125,176,126,151,151,101,270,101,101,151,67,101,250
2023-04-17,17,Croatia,Let 3 - Mama ŠČ!,1%,151,151,126,201,150,101,101,126,151,101,270,101,101,101,101,101,230
2023-04-17,18,Australia,Voyager - Promise,1%,201,151,151,151,150,101,126,151,101,101,270,101,101,126,101,101,350
2023-04-17,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,151,126,151,200,126,126,126,176,101,280,101,101,126,101,101,400
2023-04-17,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,201,151,200,101,151,126,151,151,270,201,151,151,101,101,310
2023-04-17,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,200,151,201,126,176,101,270,201,101,101,126,101,400
2023-04-17,22,Estonia,Alika - Bridges,<1%,251,201,151,201,200,151,151,201,201,151,280,201,151,201,151,101,500
2023-04-17,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,200,201,201,201,201,201,270,201,201,201,251,101,280
2023-04-17,24,Poland,Blanka - Solo,<1%,251,251,251,251,250,201,151,201,201,201,300,201,201,151,201,101,460
2023-04-17,25,Ireland,Wild Youth - We Are One,<1%,251,501,351,301,250,126,81,151,201,151,290,126,151,201,101,101,740
2023-04-17,26,Iceland,Diljá - Power,<1%,251,301,251,251,200,201,201,251,201,201,290,201,201,151,201,101,1000
2023-04-17,27,Portugal,Mimicat - Ai Coração,<1%,251,301,251,301,250,151,201,251,201,201,290,201,201,201,151,101,850
2023-04-17,28,Greece,Victor Vernicos - What They Say,<1%,251,301,301,301,250,201,251,201,201,201,290,201,201,201,251,101,800
2023-04-17,29,Denmark,Reiley - Breaking My Heart,<1%,251,501,276,301,250,201,251,251,201,201,290,201,201,201,201,101,1000
2023-04-17,30,Lithuania,Monika Linkytė - Stay,<1%,201,301,201,501,250,251,251,201,251,251,290,201,251,251,251,101,1000
2023-04-17,31,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,501,301,501,250,251,251,251,251,151,290,201,151,151,251,101,1000
2023-04-17,32,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,251,290,201,251,251,201,101,1000
2023-04-17,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,501,351,501,250,151,251,251,251,251,290,201,251,301,151,101,1000
2023-04-17,34,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,201,290,201,201,251,201,101,1000
2023-04-17,35,Latvia,Sudden Lights - Aijā,<1%,251,501,501,501,250,251,251,251,251,251,290,201,251,201,251,101,1000
2023-04-17,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,251,290,201,251,301,201,301,1000
2023-04-17,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,251,290,201,251,301,251,301,1000
