date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,BETWAY, * SMARKETS,10BET,COMEON,BET FRED, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-19,1,Sweden,Loreen - Tattoo,40%,1.8,1.8,1.85,1.91,1.85,1.8,1.83,1.73,1.8,1.9,1.86,1.83,1.83,1.83,1.83,1.8,1.92
2023-04-19,2,Finland,Käärijä - Cha Cha Cha,18%,4,4,3.75,4.5,3.85,4.33,4,4.33,4.2,4,5.3,3.75,3.75,4,4.33,4.5,5.7
2023-04-19,3,Ukraine,Tvorchi - Heart of Steel,9%,7.5,8,9,10,8,8,8.5,8,8.5,7.5,8,7.5,7.5,8,7,9,10
2023-04-19,4,Spain,Blanca Paloma - Eaea,5%,12,16,13,15,13,17,13,12,17,13,18,12,12,13,13,13,20
2023-04-19,5,Norway,Alessandra - Queen of Kings,5%,19,19,15,17,15,19,15,13,19,17,20,15,15,13,15,17,25
2023-04-19,6,Israel,Noa Kirel - Unicorn,3%,29,31,29,34,30,34,26,26,41,29,38,21,21,21,21,26,55
2023-04-19,7,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,51,31,41,30,36,26,29,34,34,48,29,29,26,29,26,65
2023-04-19,8,France,La Zarra - Évidemment,2%,31,31,41,34,35,34,34,34,34,34,34,34,34,26,26,34,42
2023-04-19,9,Czechia,Vesna - My Sister's Crown,2%,36,41,51,51,45,34,34,34,34,34,32,34,34,26,26,26,40
2023-04-19,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,67,76,67,60,36,34,34,51,51,50,34,34,41,26,34,80
2023-04-19,11,Italy,Marco Mengoni - Due vite,1%,71,61,41,67,70,67,51,51,67,67,80,51,51,51,41,51,100
2023-04-19,12,Armenia,Brunette - Future Lover,1%,81,81,67,101,80,81,67,67,81,81,110,67,67,67,67,67,150
2023-04-19,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,125,81,81,101,101,126,210,81,81,67,67,101,250
2023-04-19,14,Georgia,Iru - Echo,1%,201,151,101,201,200,81,101,126,101,126,270,81,81,101,67,101,700
2023-04-19,15,Serbia,Luke Black - Samo mi se spava,1%,201,126,101,151,150,101,101,126,151,151,260,101,101,101,101,101,350
2023-04-19,16,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,126,176,151,125,176,126,151,151,126,260,101,101,101,67,101,400
2023-04-19,17,Australia,Voyager - Promise,1%,201,151,151,151,150,101,126,151,101,151,260,101,101,101,101,101,350
2023-04-19,18,Croatia,Let 3 - Mama ŠČ!,1%,151,151,151,201,150,101,101,126,151,151,260,101,101,101,101,101,360
2023-04-19,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,151,126,151,200,126,126,126,176,151,260,101,101,101,101,101,430
2023-04-19,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,201,151,200,101,151,126,151,151,260,151,151,201,101,101,300
2023-04-19,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,200,151,201,126,176,151,260,101,101,201,126,101,370
2023-04-19,22,Estonia,Alika - Bridges,<1%,251,201,151,201,200,151,151,201,201,201,270,151,151,201,151,101,700
2023-04-19,23,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,201,201,201,201,200,201,201,201,201,201,270,201,201,201,251,101,500
2023-04-19,24,Poland,Blanka - Solo,<1%,251,251,251,251,250,201,151,201,201,251,300,201,201,201,201,101,540
2023-04-19,25,Portugal,Mimicat - Ai Coração,<1%,251,301,251,301,250,151,201,251,201,251,270,201,201,201,151,101,970
2023-04-19,26,Iceland,Diljá - Power,<1%,251,301,251,251,200,201,201,251,201,251,280,201,201,201,201,101,1000
2023-04-19,27,Ireland,Wild Youth - We Are One,<1%,251,501,351,501,250,126,81,151,201,251,270,151,151,126,101,101,800
2023-04-19,28,Greece,Victor Vernicos - What They Say,<1%,251,301,301,301,250,201,251,201,201,251,270,201,201,201,251,101,870
2023-04-19,29,Lithuania,Monika Linkytė - Stay,<1%,201,301,201,301,250,251,251,201,251,251,280,251,251,201,251,101,1000
2023-04-19,30,Denmark,Reiley - Breaking My Heart,<1%,251,501,276,301,250,201,251,251,201,251,280,201,201,201,201,101,1000
2023-04-19,31,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,251,280,251,251,201,201,101,1000
2023-04-19,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,501,301,501,250,251,251,251,251,251,280,151,151,201,251,101,1000
2023-04-19,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,501,351,501,250,151,251,251,251,301,280,251,251,201,151,101,1000
2023-04-19,34,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,301,280,201,201,201,201,101,1000
2023-04-19,35,Latvia,Sudden Lights - Aijā,<1%,251,501,501,501,250,251,251,251,251,251,280,251,251,201,251,101,1000
2023-04-19,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,301,280,251,251,201,201,301,1000
2023-04-19,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,301,280,251,251,201,251,301,1000
