date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,BWIN,BETWAY, * SMARKETS,COMEON,10BET, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-21,1,Sweden,Loreen - Tattoo,42%,1.67,1.75,1.75,1.73,1.75,1.8,1.73,1.67,1.73,1.75,1.75,1.75,1.8,1.8,1.8,1.73,1.81
2023-04-21,2,Finland,Käärijä - Cha Cha Cha,18%,4,4.25,4,4.5,4.25,4.33,4.33,4,4.2,4.25,4,5.3,3.75,3.75,4.33,4.33,5.7
2023-04-21,3,Ukraine,Tvorchi - Heart of Steel,8%,9,10,10,11,10,8,10,10,8.5,8.5,10,10,7.5,7.5,8,8,14
2023-04-21,4,Spain,Blanca Paloma - Eaea,5%,13,17,13,15,15,15,13,12,12,13,12,19,12,12,15,13,22
2023-04-21,5,Norway,Alessandra - Queen of Kings,5%,13,17,15,13,17,18,15,13,13,15,13,19,15,15,15,17,22
2023-04-21,6,France,La Zarra - Évidemment,3%,23,31,34,29,25,34,34,23,34,26,26,26,26,26,26,34,32
2023-04-21,7,Israel,Noa Kirel - Unicorn,2%,41,41,31,51,40,34,26,29,34,26,29,42,21,21,34,34,65
2023-04-21,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,31,41,40,36,26,34,34,26,34,42,29,29,34,34,50
2023-04-21,9,Czechia,Vesna - My Sister's Crown,2%,41,51,51,67,50,34,34,34,34,34,34,50,34,34,41,34,75
2023-04-21,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,67,76,67,65,36,34,34,51,67,51,55,34,34,21,34,85
2023-04-21,11,Italy,Marco Mengoni - Due vite,1%,67,61,41,67,70,67,51,51,67,51,67,80,51,51,41,51,100
2023-04-21,12,Armenia,Brunette - Future Lover,1%,126,101,67,101,100,81,67,67,81,67,81,160,67,67,101,67,200
2023-04-21,13,Switzerland,Remo Forrer - Watergun,1%,151,126,101,126,150,81,81,101,101,101,126,240,81,81,101,101,280
2023-04-21,14,Serbia,Luke Black - Samo mi se spava,1%,201,151,101,201,150,101,101,126,151,101,151,220,101,101,101,101,450
2023-04-21,15,Australia,Voyager - Promise,1%,201,151,151,201,150,101,126,151,101,101,151,260,101,101,101,101,350
2023-04-21,16,Croatia,Let 3 - Mama ŠČ!,1%,201,201,151,201,200,101,101,126,151,101,151,260,101,101,101,101,350
2023-04-21,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,201,126,151,200,126,126,126,176,101,151,260,101,101,101,101,430
2023-04-21,18,Georgia,Iru - Echo,1%,301,201,101,201,250,81,101,126,101,101,126,270,81,81,101,101,750
2023-04-21,19,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,201,201,176,201,200,176,126,151,151,101,126,260,101,101,101,101,400
2023-04-21,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,201,151,201,151,200,101,151,126,151,201,151,260,151,151,101,101,360
2023-04-21,21,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,201,126,176,101,151,260,101,101,126,201,380
2023-04-21,22,Estonia,Alika - Bridges,<1%,251,251,151,251,200,151,151,201,201,101,201,270,151,151,151,201,760
2023-04-21,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,250,201,201,201,201,201,201,270,201,201,251,201,680
2023-04-21,24,Poland,Blanka - Solo,<1%,251,301,251,251,250,201,151,201,201,201,251,300,201,201,201,201,780
2023-04-21,25,Iceland,Diljá - Power,<1%,301,401,251,251,250,201,201,251,201,201,251,280,201,201,201,201,1000
2023-04-21,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,300,151,201,251,201,201,251,280,201,201,151,201,1000
2023-04-21,27,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,300,126,81,151,201,301,251,270,151,151,101,126,900
2023-04-21,28,Denmark,Reiley - Breaking My Heart,<1%,301,501,276,301,300,201,251,251,201,201,251,280,201,201,201,201,1000
2023-04-21,29,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,300,251,251,201,251,201,251,280,251,251,251,201,1000
2023-04-21,30,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,301,251,280,251,251,201,201,1000
2023-04-21,31,Greece,Victor Vernicos - What They Say,<1%,301,401,301,501,250,201,251,201,201,301,251,280,201,201,251,201,1000
2023-04-21,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,301,501,301,501,300,251,251,251,251,301,251,280,151,151,251,201,1000
2023-04-21,33,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,301,301,280,201,201,201,201,1000
2023-04-21,34,San Marino,Piqued Jacks - Like An Animal,<1%,301,501,351,501,300,151,251,251,251,301,301,280,251,251,151,201,1000
2023-04-21,35,Latvia,Sudden Lights - Aijā,<1%,301,501,501,501,300,251,251,251,251,201,251,280,251,251,251,201,1000
2023-04-21,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,301,301,280,251,251,201,201,1000
2023-04-21,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,301,301,280,251,251,251,201,1000
