date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,BWIN,BETWAY, * SMARKETS,10BET,COMEON, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-22,1,Sweden,Loreen - Tattoo,43%,1.67,1.75,1.75,1.73,1.75,1.62,1.73,1.67,1.57,1.65,1.75,1.75,1.66,1.66,1.8,1.73,1.81
2023-04-22,2,Finland,Käärijä - Cha Cha Cha,17%,4,4.25,4,4.5,4,4.5,4.33,4,4.33,4.5,4,5.3,3.75,3.75,4.33,4.33,5.7
2023-04-22,3,Ukraine,Tvorchi - Heart of Steel,7%,9,10,11,11,10,10,10,10,10,10,13,10,9,9,8,8,14
2023-04-22,4,Spain,Blanca Paloma - Eaea,5%,15,17,13,17,15,18,13,12,14,15,13,20,13,13,15,13,24
2023-04-22,5,Norway,Alessandra - Queen of Kings,5%,15,17,15,15,17,17,15,13,12,15,15,19,13,13,15,17,23
2023-04-22,6,France,La Zarra - Évidemment,3%,17,23,21,21,20,21,17,23,21,21,15,23,21,21,26,26,27
2023-04-22,7,Israel,Noa Kirel - Unicorn,2%,34,51,31,51,40,34,26,29,34,26,29,36,29,29,34,34,50
2023-04-22,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,31,41,40,36,26,34,34,26,34,48,29,29,34,34,65
2023-04-22,9,Czechia,Vesna - My Sister's Crown,2%,51,51,51,67,50,34,34,34,34,34,34,70,41,41,41,34,90
2023-04-22,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,67,76,67,65,36,34,34,51,67,51,48,41,41,21,34,75
2023-04-22,11,Italy,Marco Mengoni - Due vite,1%,51,67,41,67,70,67,51,51,67,51,41,55,51,51,41,51,75
2023-04-22,12,Armenia,Brunette - Future Lover,1%,126,101,67,101,100,101,67,67,101,67,81,160,81,81,101,67,200
2023-04-22,13,Switzerland,Remo Forrer - Watergun,1%,151,151,101,126,150,81,81,101,101,101,126,230,81,81,101,101,270
2023-04-22,14,Serbia,Luke Black - Samo mi se spava,1%,201,201,101,201,150,101,101,126,151,101,151,220,101,101,101,101,450
2023-04-22,15,Australia,Voyager - Promise,1%,201,201,151,201,150,101,126,151,101,101,151,260,101,101,101,101,360
2023-04-22,16,Georgia,Iru - Echo,1%,301,201,101,201,250,81,101,126,101,101,126,270,81,81,101,101,330
2023-04-22,17,Croatia,Let 3 - Mama ŠČ!,1%,201,201,151,201,200,101,101,126,151,101,151,260,101,101,101,101,360
2023-04-22,18,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,201,126,151,200,126,126,126,176,101,151,260,101,101,101,101,430
2023-04-22,19,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,201,201,176,201,200,176,126,151,151,101,126,270,101,101,101,101,550
2023-04-22,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,201,151,201,201,200,101,151,126,151,201,151,260,151,151,101,101,370
2023-04-22,21,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,201,126,176,101,151,260,101,101,126,201,380
2023-04-22,22,Estonia,Alika - Bridges,<1%,251,251,151,251,200,151,151,201,201,101,201,270,151,151,151,201,760
2023-04-22,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,250,201,201,201,201,201,201,270,201,201,251,201,680
2023-04-22,24,Poland,Blanka - Solo,<1%,251,301,251,251,250,201,151,201,201,201,251,300,201,201,201,201,790
2023-04-22,25,Iceland,Diljá - Power,<1%,301,401,251,251,250,201,201,251,201,201,251,280,201,201,201,201,1000
2023-04-22,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,300,151,201,251,201,201,251,280,201,201,151,201,1000
2023-04-22,27,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,300,126,81,151,201,301,251,270,151,151,101,126,900
2023-04-22,28,Denmark,Reiley - Breaking My Heart,<1%,301,501,276,301,300,201,251,251,201,201,251,280,201,201,201,201,1000
2023-04-22,29,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,300,251,251,201,251,201,251,280,251,251,251,201,1000
2023-04-22,30,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,301,251,280,251,251,201,201,1000
2023-04-22,31,Greece,Victor Vernicos - What They Say,<1%,301,401,301,501,250,201,251,201,201,301,251,280,201,201,251,201,1000
2023-04-22,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,301,501,301,501,300,251,251,251,251,301,251,280,151,151,251,201,1000
2023-04-22,33,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,301,301,280,201,201,201,201,1000
2023-04-22,34,San Marino,Piqued Jacks - Like An Animal,<1%,301,501,351,501,300,151,251,251,251,301,301,280,251,251,151,201,1000
2023-04-22,35,Latvia,Sudden Lights - Aijā,<1%,301,501,501,501,300,251,251,251,251,201,251,280,251,251,251,201,1000
2023-04-22,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,301,301,280,251,251,201,201,1000
2023-04-22,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,301,301,280,251,251,251,201,1000
