date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,BWIN,BETWAY, * SMARKETS,888 SPORT,10BET,COMEON, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-23,1,Sweden,Loreen - Tattoo,43%,1.67,1.75,1.75,1.8,1.75,1.62,1.73,1.67,1.57,1.65,1.75,1.8,1.66,1.66,1.66,1.67,1.73,1.86
2023-04-23,2,Finland,Käärijä - Cha Cha Cha,17%,4.33,4.25,4,4.5,4,4.33,4.33,4,4.2,4.5,4,5.3,3.75,3.75,3.75,4.33,4.33,5.7
2023-04-23,3,Ukraine,Tvorchi - Heart of Steel,7%,9,10,11,11,11,10,10,10,10,10,13,10,7,9,9,9,10,13
2023-04-23,4,Norway,Alessandra - Queen of Kings,5%,15,17,15,15,15,17,15,13,12,15,15,19,13,13,13,15,17,23
2023-04-23,5,Spain,Blanca Paloma - Eaea,5%,15,17,13,17,17,18,13,12,14,15,13,20,13,13,13,15,17,23
2023-04-23,6,France,La Zarra - Évidemment,4%,13,17,21,17,17,15,17,23,15,17,15,17,17,17,17,19,17,19
2023-04-23,7,Israel,Noa Kirel - Unicorn,2%,34,41,31,51,40,34,26,29,34,26,29,38,21,29,29,26,34,55
2023-04-23,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,31,41,40,36,26,34,34,34,34,46,26,29,29,34,34,60
2023-04-23,9,Czechia,Vesna - My Sister's Crown,2%,51,51,51,81,60,34,34,34,34,34,34,80,23,41,41,41,34,100
2023-04-23,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,67,76,67,65,36,34,34,51,67,51,55,26,41,41,21,34,85
2023-04-23,11,Italy,Marco Mengoni - Due vite,1%,51,61,41,51,55,67,51,51,67,51,41,65,34,51,51,41,51,85
2023-04-23,12,Armenia,Brunette - Future Lover,1%,126,101,67,126,100,101,67,67,101,67,81,160,51,81,81,101,67,200
2023-04-23,13,Switzerland,Remo Forrer - Watergun,1%,151,151,101,126,150,81,81,101,101,101,126,200,41,81,81,101,101,240
2023-04-23,14,Serbia,Luke Black - Samo mi se spava,1%,201,201,101,201,150,101,101,126,151,101,151,230,101,101,101,101,101,500
2023-04-23,15,Australia,Voyager - Promise,1%,201,201,151,201,150,101,126,151,101,101,151,220,101,101,101,101,101,260
2023-04-23,16,Georgia,Iru - Echo,1%,301,201,101,251,250,81,101,126,101,101,126,270,41,81,81,101,101,320
2023-04-23,17,Croatia,Let 3 - Mama ŠČ!,1%,201,201,151,201,200,101,101,126,151,101,151,260,101,101,101,101,101,370
2023-04-23,18,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,201,126,151,200,126,126,126,176,101,151,260,101,101,101,101,101,450
2023-04-23,19,Germany,Lord Of The Lost - Blood & Glitter,<1%,201,151,201,201,200,101,151,126,151,201,151,260,101,151,151,101,101,430
2023-04-23,20,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,201,201,176,301,200,176,126,151,151,101,126,270,101,101,101,101,101,630
2023-04-23,21,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,201,126,176,101,151,260,151,101,101,126,201,380
2023-04-23,22,Estonia,Alika - Bridges,<1%,251,251,151,251,200,151,151,201,201,101,201,270,51,151,151,151,201,900
2023-04-23,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,250,201,201,201,201,201,201,270,201,201,201,251,201,600
2023-04-23,24,Poland,Blanka - Solo,<1%,251,301,251,251,250,201,151,201,201,201,251,300,201,201,201,201,201,900
2023-04-23,25,Iceland,Diljá - Power,<1%,301,401,251,251,250,201,201,251,201,201,251,280,101,201,201,201,201,1000
2023-04-23,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,300,151,201,251,201,201,251,280,101,201,201,151,201,1000
2023-04-23,27,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,300,126,81,151,201,301,251,270,101,151,151,101,126,900
2023-04-23,28,Denmark,Reiley - Breaking My Heart,<1%,301,501,276,301,300,201,251,251,201,201,251,270,101,201,201,201,201,900
2023-04-23,29,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,300,251,251,201,251,201,251,280,101,251,251,251,201,1000
2023-04-23,30,Greece,Victor Vernicos - What They Say,<1%,301,401,301,501,250,201,251,201,201,301,251,280,101,201,201,251,201,1000
2023-04-23,31,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,301,251,280,151,251,251,201,201,1000
2023-04-23,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,301,501,301,501,300,251,251,251,251,301,251,280,101,151,151,251,201,1000
2023-04-23,33,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,301,301,280,151,201,201,201,201,1000
2023-04-23,34,San Marino,Piqued Jacks - Like An Animal,<1%,301,501,351,501,300,151,251,251,251,301,301,280,151,251,251,151,201,1000
2023-04-23,35,Latvia,Sudden Lights - Aijā,<1%,301,501,501,501,300,251,251,251,251,201,251,280,151,251,251,251,201,1000
2023-04-23,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,301,301,280,151,251,251,201,201,1000
2023-04-23,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,301,301,280,201,251,251,251,201,1000
