date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,BWIN,LAD BROKES,BETWAY,BET STARS, * SMARKETS,COMEON,10BET, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-28,1,Sweden,Loreen - Tattoo,45%,1.62,1.62,1.63,1.67,1.65,1.62,1.62,1.6,1.61,1.65,1.53,1.65,1.64,1.64,1.57,1.67,1.72
2023-04-28,2,Finland,Käärijä - Cha Cha Cha,15%,4.5,5.5,4,6,4.25,6,4,5.5,4.33,4,5.5,6.6,3.75,3.75,4.5,5,7.2
2023-04-28,3,Ukraine,Tvorchi - Heart of Steel,6%,10,12,13,13,12,11,12,12,10,12,12,13,10,10,9,11,16
2023-04-28,4,France,La Zarra - Évidemment,5%,12,17,13,15,15,15,13,13,15,13,15,18,13,13,13,13,20
2023-04-28,5,Spain,Blanca Paloma - Eaea,5%,15,17,17,17,17,15,15,19,13,13,15,19,15,15,15,17,20
2023-04-28,6,Norway,Alessandra - Queen of Kings,4%,17,21,17,17,17,15,15,19,17,15,14,21,15,15,15,17,26
2023-04-28,7,Israel,Noa Kirel - Unicorn,2%,29,31,34,34,35,26,29,34,29,29,26,27,29,29,29,34,38
2023-04-28,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,34,34,40,23,26,34,34,34,34,42,29,29,26,34,50
2023-04-28,9,Italy,Marco Mengoni - Due vite,2%,41,51,51,34,45,26,41,51,51,51,41,48,41,41,41,51,65
2023-04-28,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,67,81,67,65,36,34,67,41,51,51,55,41,41,34,34,85
2023-04-28,11,Czechia,Vesna - My Sister's Crown,1%,67,81,67,101,60,67,41,51,51,51,67,80,67,67,67,67,100
2023-04-28,12,Armenia,Brunette - Future Lover,1%,126,101,81,151,100,151,81,67,67,101,151,95,81,81,101,67,130
2023-04-28,13,Switzerland,Remo Forrer - Watergun,1%,151,151,101,151,150,101,101,101,101,126,101,260,101,101,101,101,370
2023-04-28,14,Croatia,Let 3 - Mama ŠČ!,1%,201,201,151,201,200,101,101,101,126,151,151,260,101,101,101,101,370
2023-04-28,15,Serbia,Luke Black - Samo mi se spava,<1%,151,251,126,201,150,151,126,101,126,151,151,230,126,126,101,101,510
2023-04-28,16,Australia,Voyager - Promise,<1%,201,251,151,201,150,151,126,101,151,151,151,260,101,101,101,101,350
2023-04-28,17,Georgia,Iru - Echo,<1%,301,251,101,301,250,101,101,101,126,126,101,270,126,126,101,101,320
2023-04-28,18,Germany,Lord Of The Lost - Blood & Glitter,<1%,201,201,151,201,200,151,151,201,126,151,151,260,151,151,101,101,340
2023-04-28,19,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,201,101,126,151,151,260,126,126,126,201,400
2023-04-28,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,301,126,201,250,201,126,101,126,151,201,270,101,101,101,101,700
2023-04-28,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,301,176,301,250,151,151,101,151,126,151,270,151,151,101,101,800
2023-04-28,22,Estonia,Alika - Bridges,<1%,301,301,151,251,200,201,201,101,201,201,201,280,201,201,151,201,1000
2023-04-28,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,301,201,251,250,201,201,201,201,201,201,260,201,201,251,201,510
2023-04-28,24,Poland,Blanka - Solo,<1%,301,401,251,301,250,201,201,201,201,251,201,300,201,201,201,201,1000
2023-04-28,25,Iceland,Diljá - Power,<1%,301,401,251,301,250,201,201,201,251,251,201,280,201,201,201,201,1000
2023-04-28,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,300,201,201,201,251,251,201,280,201,201,151,201,1000
2023-04-28,27,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,300,151,81,301,151,251,201,280,151,151,101,126,1000
2023-04-28,28,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,300,251,251,201,201,251,251,280,251,251,251,201,1000
2023-04-28,29,Greece,Victor Vernicos - What They Say,<1%,301,401,301,501,250,201,251,201,201,251,201,280,201,201,251,201,1000
2023-04-28,30,Belgium,Gustaph - Because of You,<1%,351,501,251,301,250,251,251,201,201,251,251,280,251,251,201,201,1000
2023-04-28,31,Denmark,Reiley - Breaking My Heart,<1%,301,501,276,501,300,201,251,201,251,251,201,280,201,201,201,201,1000
2023-04-28,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,301,501,301,501,300,251,251,201,251,251,251,280,251,251,251,201,1000
2023-04-28,33,Malta,The Busker - Dance (Our Own Party),<1%,301,501,351,501,300,301,251,301,251,301,301,280,251,251,201,201,1000
2023-04-28,34,San Marino,Piqued Jacks - Like An Animal,<1%,301,501,351,751,300,251,251,301,251,301,251,280,251,251,151,201,1000
2023-04-28,35,Latvia,Sudden Lights - Aijā,<1%,301,501,501,501,300,251,251,501,251,251,251,280,251,251,251,201,1000
2023-04-28,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,501,251,301,251,280,251,251,251,201,1000
2023-04-28,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,751,300,251,251,501,251,301,251,280,251,251,201,201,1000
