date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BWIN,BOYLE SPORTS,LAD BROKES,BET STARS,BETWAY, * SMARKETS,COMEON,10BET, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-29,1,Sweden,Loreen - Tattoo,46%,1.57,1.58,1.63,1.57,1.65,1.62,1.57,1.62,1.61,1.53,1.6,1.57,1.64,1.64,1.57,1.67,1.64
2023-04-29,2,Finland,Käärijä - Cha Cha Cha,15%,4.5,5.5,4,6,4.25,5,5,4,4.33,5.5,5,7,3.75,3.75,4.5,5,7.8
2023-04-29,3,Ukraine,Tvorchi - Heart of Steel,6%,11,12,13,13,12,11,12,12,10,12,13,14,10,10,9,11,19
2023-04-29,4,France,La Zarra - Évidemment,5%,12,17,13,15,15,15,13,13,15,15,13,18,13,13,13,13,20
2023-04-29,5,Spain,Blanca Paloma - Eaea,5%,13,17,17,17,17,15,17,15,13,15,15,21,15,15,15,17,25
2023-04-29,6,Norway,Alessandra - Queen of Kings,4%,17,21,17,17,17,15,17,15,17,14,17,22,15,15,15,17,27
2023-04-29,7,Israel,Noa Kirel - Unicorn,2%,29,31,34,34,30,26,34,29,29,26,29,29,29,29,29,34,42
2023-04-29,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,34,34,40,23,34,26,34,34,34,44,29,29,26,34,55
2023-04-29,9,Italy,Marco Mengoni - Due vite,2%,34,51,51,34,45,26,34,41,41,41,51,50,41,41,41,51,70
2023-04-29,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,67,81,67,65,41,51,34,41,51,51,65,41,41,34,34,95
2023-04-29,11,Czechia,Vesna - My Sister's Crown,1%,81,81,67,101,60,67,67,41,51,67,67,95,67,67,67,67,130
2023-04-29,12,Armenia,Brunette - Future Lover,1%,151,101,81,151,100,91,101,81,67,151,101,230,81,81,101,67,270
2023-04-29,13,Switzerland,Remo Forrer - Watergun,1%,201,151,101,151,150,101,101,101,101,101,126,260,101,101,101,101,400
2023-04-29,14,Serbia,Luke Black - Samo mi se spava,1%,201,251,126,126,150,151,101,126,126,151,151,85,126,126,101,101,160
2023-04-29,15,Croatia,Let 3 - Mama ŠČ!,1%,151,201,151,201,200,101,101,101,126,151,151,260,101,101,101,101,370
2023-04-29,16,Australia,Voyager - Promise,<1%,201,251,151,201,150,151,101,126,151,151,151,260,101,101,101,101,400
2023-04-29,17,Georgia,Iru - Echo,<1%,301,251,101,301,250,101,101,101,126,101,126,270,126,126,101,101,320
2023-04-29,18,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,201,200,151,201,151,126,151,151,260,151,151,101,101,400
2023-04-29,19,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,101,201,126,151,151,260,126,126,126,201,400
2023-04-29,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,301,126,201,250,201,101,126,126,201,151,270,101,101,101,101,610
2023-04-29,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,301,176,301,250,151,101,151,151,151,126,270,151,151,101,101,700
2023-04-29,22,Estonia,Alika - Bridges,<1%,301,301,151,251,200,201,101,201,201,201,201,280,201,201,151,201,1000
2023-04-29,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,301,201,201,250,201,201,201,201,201,201,260,201,201,251,201,300
2023-04-29,24,Poland,Blanka - Solo,<1%,301,401,251,301,250,201,201,201,201,201,251,300,201,201,201,201,1000
2023-04-29,25,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,300,151,301,81,151,201,251,270,151,151,101,126,920
2023-04-29,26,Iceland,Diljá - Power,<1%,301,401,251,301,250,201,201,201,251,201,251,280,201,201,201,201,1000
2023-04-29,27,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,300,201,201,201,251,201,251,280,201,201,151,201,1000
2023-04-29,28,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,300,251,201,251,201,251,251,280,251,251,251,201,1000
2023-04-29,29,Greece,Victor Vernicos - What They Say,<1%,301,401,301,501,250,201,201,251,201,201,251,280,201,201,251,201,1000
2023-04-29,30,Belgium,Gustaph - Because of You,<1%,351,501,251,301,250,251,201,251,201,251,251,280,251,251,201,201,1000
2023-04-29,31,Denmark,Reiley - Breaking My Heart,<1%,301,501,276,501,300,201,201,251,251,201,251,280,201,201,201,201,1000
2023-04-29,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,301,501,301,501,300,251,201,251,251,251,251,280,251,251,251,201,1000
2023-04-29,33,San Marino,Piqued Jacks - Like An Animal,<1%,301,501,351,751,300,251,301,251,251,251,301,280,251,251,151,201,1000
2023-04-29,34,Malta,The Busker - Dance (Our Own Party),<1%,301,501,351,501,300,301,501,251,251,301,301,280,251,251,201,201,1000
2023-04-29,35,Latvia,Sudden Lights - Aijā,<1%,301,501,501,501,300,251,501,251,251,251,251,280,251,251,251,201,1000
2023-04-29,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,501,251,251,251,301,280,251,251,251,201,1000
2023-04-29,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,751,300,251,501,251,251,251,301,280,251,251,201,201,1000
