date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BWIN,BOYLE SPORTS,LAD BROKES,BET STARS,BETWAY,10BET,COMEON, * SMARKETS, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-30,1,Sweden,Loreen - Tattoo,46%,1.53,1.55,1.63,1.57,1.57,1.62,1.57,1.57,1.61,1.53,1.6,1.57,1.57,1.59,1.57,1.67,1.66
2023-04-30,2,Finland,Käärijä - Cha Cha Cha,16%,4.33,5,4,5.5,4.25,5,4.75,4.33,4.33,5.5,5,4,4,5.6,4.5,5,6
2023-04-30,3,Ukraine,Tvorchi - Heart of Steel,6%,12,14,13,15,15,11,12,12,10,12,13,10,10,14,9,11,20
2023-04-30,4,France,La Zarra - Évidemment,5%,12,19,13,15,15,15,13,13,15,15,13,13,13,21,13,13,25
2023-04-30,5,Spain,Blanca Paloma - Eaea,5%,13,19,17,17,18,15,17,15,13,15,15,15,15,20,15,17,23
2023-04-30,6,Norway,Alessandra - Queen of Kings,4%,17,21,17,21,18,15,17,15,17,14,17,15,15,27,15,17,34
2023-04-30,7,Israel,Noa Kirel - Unicorn,2%,29,31,34,34,30,26,34,29,29,26,29,29,29,29,29,34,42
2023-04-30,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,29,41,34,34,35,23,21,26,34,34,34,29,29,44,26,34,55
2023-04-30,9,Italy,Marco Mengoni - Due vite,2%,34,51,51,34,45,26,34,41,41,41,51,41,41,55,41,51,75
2023-04-30,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,67,81,67,65,41,51,34,41,51,51,41,41,55,34,34,85
2023-04-30,11,Czechia,Vesna - My Sister's Crown,1%,81,81,67,126,60,67,67,41,51,67,67,67,67,110,67,67,150
2023-04-30,12,Armenia,Brunette - Future Lover,1%,126,101,81,151,100,91,101,81,67,151,101,81,81,240,101,67,280
2023-04-30,13,Switzerland,Remo Forrer - Watergun,1%,201,151,101,151,150,101,101,101,101,101,126,101,101,260,101,101,340
2023-04-30,14,Croatia,Let 3 - Mama ŠČ!,1%,101,201,151,201,150,101,101,101,126,151,151,101,101,260,101,101,300
2023-04-30,15,Serbia,Luke Black - Samo mi se spava,1%,201,251,126,126,150,151,101,126,126,151,151,126,126,85,101,101,160
2023-04-30,16,Australia,Voyager - Promise,<1%,201,251,151,201,150,151,101,126,151,151,151,101,101,260,101,101,430
2023-04-30,17,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,201,200,151,201,151,126,151,151,151,151,260,101,101,400
2023-04-30,18,Georgia,Iru - Echo,<1%,301,251,101,301,250,101,101,101,126,101,126,126,126,270,101,101,740
2023-04-30,19,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,101,201,126,151,151,126,126,260,126,201,460
2023-04-30,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,301,126,201,250,201,101,126,126,201,151,101,101,270,101,101,830
2023-04-30,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,301,176,301,250,151,101,151,151,151,126,151,151,130,101,101,170
2023-04-30,22,Estonia,Alika - Bridges,<1%,301,301,151,301,200,201,101,201,201,201,201,201,201,280,151,201,1000
2023-04-30,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,301,201,201,250,201,201,201,201,201,201,201,201,240,251,201,280
2023-04-30,24,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,300,151,301,81,151,201,251,151,151,270,101,126,910
2023-04-30,25,Poland,Blanka - Solo,<1%,301,401,251,301,250,201,301,201,201,201,251,201,201,300,201,201,920
2023-04-30,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,300,201,301,201,251,201,251,201,201,280,151,201,1000
2023-04-30,27,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,300,251,201,251,201,251,251,251,251,280,251,201,1000
2023-04-30,28,Belgium,Gustaph - Because of You,<1%,301,501,251,301,300,251,301,251,201,251,251,251,251,280,201,201,1000
2023-04-30,29,Iceland,Diljá - Power,<1%,501,401,251,501,300,201,301,201,251,201,251,201,201,280,201,201,1000
2023-04-30,30,Greece,Victor Vernicos - What They Say,<1%,501,401,301,501,500,201,301,251,201,201,251,201,201,280,251,201,1000
2023-04-30,31,Denmark,Reiley - Breaking My Heart,<1%,501,501,276,501,500,201,301,251,251,201,251,201,201,280,201,201,1000
2023-04-30,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,301,751,500,251,301,251,251,251,251,251,251,280,251,201,1000
2023-04-30,33,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,501,500,251,501,251,251,251,301,251,251,280,251,201,1000
2023-04-30,34,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,351,751,500,251,501,251,251,251,301,251,251,280,151,201,1000
2023-04-30,35,Malta,The Busker - Dance (Our Own Party),<1%,501,501,351,751,500,301,501,251,251,301,301,251,251,280,201,201,1000
2023-04-30,36,Latvia,Sudden Lights - Aijā,<1%,501,501,501,751,500,251,501,251,251,251,251,251,251,280,251,201,1000
2023-04-30,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,501,501,751,500,251,501,251,251,251,301,251,251,280,201,201,1000
