date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET,BETFAIR SPORT, BETSSON ,BWIN,BOYLE SPORTS,BET STARS,LAD BROKES,COMEON,BETWAY, * SMARKETS,10BET, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-05-01,1,Sweden,Loreen - Tattoo,46%,1.62,1.62,1.63,1.67,1.62,1.57,1.6,1.57,1.53,1.61,1.57,1.6,1.7,1.57,1.57,1.67,1.77
2023-05-01,2,Finland,Käärijä - Cha Cha Cha,17%,4,4,4,4.5,4.33,4.25,4.25,4.33,4.5,3.75,4,5,4.9,4,4.5,4.5,5.3
2023-05-01,3,Ukraine,Tvorchi - Heart of Steel,6%,12,13,13,15,13,15,13,12,14,10,10,13,14,10,9,11,18
2023-05-01,4,France,La Zarra - Évidemment,5%,12,19,13,15,15,15,15,13,15,15,13,13,18,13,13,13,20
2023-05-01,5,Spain,Blanca Paloma - Eaea,5%,13,19,17,17,15,18,17,15,15,13,15,15,20,15,15,17,24
2023-05-01,6,Norway,Alessandra - Queen of Kings,4%,17,21,17,21,18,18,17,15,17,17,15,17,24,15,15,17,29
2023-05-01,7,Israel,Noa Kirel - Unicorn,2%,26,31,34,34,21,30,34,29,21,29,29,29,28,29,29,34,40
2023-05-01,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,34,34,31,35,26,26,41,34,29,34,46,29,26,34,60
2023-05-01,9,Italy,Marco Mengoni - Due vite,2%,34,51,51,34,34,45,34,41,51,41,41,51,55,41,41,51,75
2023-05-01,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,67,81,67,46,65,51,67,56,41,41,51,60,41,34,34,90
2023-05-01,11,Czechia,Vesna - My Sister's Crown,1%,81,81,67,126,81,60,67,41,81,51,67,67,95,67,67,67,130
2023-05-01,12,Armenia,Brunette - Future Lover,1%,126,101,81,151,126,100,101,81,201,67,81,101,230,81,101,67,270
2023-05-01,13,Switzerland,Remo Forrer - Watergun,1%,201,151,101,151,151,150,101,101,151,101,101,126,260,101,101,101,360
2023-05-01,14,Croatia,Let 3 - Mama ŠČ!,1%,126,201,151,201,101,150,101,101,151,126,101,151,260,101,101,101,380
2023-05-01,15,Australia,Voyager - Promise,<1%,201,251,151,201,151,150,101,126,151,151,101,151,260,101,101,101,400
2023-05-01,16,Serbia,Luke Black - Samo mi se spava,<1%,201,251,126,126,201,150,101,126,201,126,126,151,230,126,101,101,520
2023-05-01,17,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,201,151,200,201,151,151,126,151,151,260,151,101,101,400
2023-05-01,18,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,201,200,101,201,201,126,126,151,260,126,126,201,440
2023-05-01,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,301,126,201,251,250,101,126,251,126,101,151,260,101,101,101,330
2023-05-01,20,Georgia,Iru - Echo,<1%,301,251,101,301,201,250,101,101,201,126,126,126,270,126,101,101,800
2023-05-01,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,301,176,301,151,250,101,151,151,151,151,126,260,151,101,101,330
2023-05-01,22,Estonia,Alika - Bridges,<1%,301,301,151,301,251,200,101,201,251,201,201,201,280,201,151,201,1000
2023-05-01,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,301,201,201,251,250,201,201,251,201,201,201,260,201,251,201,400
2023-05-01,24,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,151,300,301,81,201,151,151,251,270,151,101,126,640
2023-05-01,25,Poland,Blanka - Solo,<1%,301,401,251,301,251,250,301,201,251,201,201,251,300,201,201,201,910
2023-05-01,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,251,300,301,201,251,251,201,251,280,201,151,201,1000
2023-05-01,27,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,301,300,201,251,301,201,251,251,280,251,251,201,1000
2023-05-01,28,Belgium,Gustaph - Because of You,<1%,301,501,251,301,301,300,301,251,301,201,251,251,280,251,201,201,1000
2023-05-01,29,Iceland,Diljá - Power,<1%,501,401,251,501,251,300,301,201,251,251,201,251,280,201,201,201,1000
2023-05-01,30,Greece,Victor Vernicos - What They Say,<1%,501,401,301,501,251,500,301,251,251,201,201,251,280,201,251,201,1000
2023-05-01,31,Denmark,Reiley - Breaking My Heart,<1%,501,501,276,501,251,500,301,251,251,251,201,251,280,201,201,201,1000
2023-05-01,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,301,751,301,500,301,251,301,251,251,251,280,251,251,201,1000
2023-05-01,33,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,501,301,500,501,251,301,251,251,301,280,251,251,201,1000
2023-05-01,34,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,351,751,301,500,501,251,301,251,251,301,280,251,151,201,1000
2023-05-01,35,Malta,The Busker - Dance (Our Own Party),<1%,501,501,351,751,301,500,501,251,301,251,251,301,280,251,201,201,1000
2023-05-01,36,Latvia,Sudden Lights - Aijā,<1%,501,501,501,751,301,500,501,251,301,251,251,251,280,251,251,201,1000
2023-05-01,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,501,501,751,301,500,501,251,301,251,251,301,280,251,201,201,1000
