date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET,BETFAIR SPORT, BETSSON ,BWIN,LAD BROKES,BET STARS,BOYLE SPORTS,COMEON,10BET, * SMARKETS,BETWAY, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-05-03,1,Sweden,Loreen - Tattoo,42%,1.62,1.72,1.63,1.8,1.62,1.75,1.65,1.67,1.67,1.67,1.62,1.62,1.79,1.8,1.62,1.67,1.86
2023-05-03,2,Finland,Käärijä - Cha Cha Cha,23%,2.88,2.95,3,3.5,2.88,2.9,3,3,3,3,2.9,2.9,3.75,3,2.88,3.5,3.95
2023-05-03,3,Ukraine,Tvorchi - Heart of Steel,5%,11,14,13,17,14,15,13,13,15,13,11,11,16,15,10,11,20
2023-05-03,4,France,La Zarra - Évidemment,5%,11,19,13,17,18,15,15,13,18,11,13,13,22,15,13,13,26
2023-05-03,5,Spain,Blanca Paloma - Eaea,4%,11,19,17,17,15,18,17,13,15,15,15,15,20,17,15,17,23
2023-05-03,6,Norway,Alessandra - Queen of Kings,4%,17,26,17,23,19,20,19,21,18,19,17,17,29,21,17,17,38
2023-05-03,7,Israel,Noa Kirel - Unicorn,3%,21,41,34,41,23,30,34,23,23,21,23,23,40,26,21,26,60
2023-05-03,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,26,51,34,41,31,35,26,29,41,21,29,29,95,34,26,34,130
2023-05-03,9,Italy,Marco Mengoni - Due vite,2%,34,51,51,34,34,45,34,51,51,41,41,41,60,51,41,51,80
2023-05-03,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,81,81,67,46,65,67,51,56,51,41,41,80,51,34,34,120
2023-05-03,11,Czechia,Vesna - My Sister's Crown,1%,81,126,67,151,81,75,67,81,81,67,81,81,85,67,67,67,110
2023-05-03,12,Armenia,Brunette - Future Lover,1%,101,126,81,201,126,100,101,67,201,81,81,81,95,101,101,67,130
2023-05-03,13,Switzerland,Remo Forrer - Watergun,1%,126,151,101,201,151,150,101,81,151,101,101,101,260,126,151,101,300
2023-05-03,14,Croatia,Let 3 - Mama ŠČ!,<1%,101,251,151,251,101,150,101,151,151,101,101,101,270,151,101,101,500
2023-05-03,15,Australia,Voyager - Promise,<1%,201,201,151,251,151,150,101,151,151,126,101,101,240,151,101,101,280
2023-05-03,16,Germany,Lord Of The Lost - Blood & Glitter,<1%,101,251,151,201,151,200,101,151,151,151,151,151,240,151,101,101,280
2023-05-03,17,Serbia,Luke Black - Samo mi se spava,<1%,201,301,126,251,201,150,101,151,201,126,151,151,230,151,101,101,850
2023-05-03,18,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,201,200,101,151,201,201,151,151,270,151,126,201,500
2023-05-03,19,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,251,176,301,151,250,101,151,151,151,151,151,270,126,101,101,510
2023-05-03,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,251,126,251,251,250,101,151,251,126,151,151,230,151,101,101,270
2023-05-03,21,Georgia,Iru - Echo,<1%,301,301,101,501,201,250,101,201,201,101,201,201,270,126,101,101,600
2023-05-03,22,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,251,251,201,201,251,250,101,126,251,201,201,201,270,201,251,201,700
2023-05-03,23,Estonia,Alika - Bridges,<1%,201,401,151,501,251,200,101,201,251,201,201,201,280,201,151,201,1000
2023-05-03,24,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,151,300,301,151,201,81,151,151,270,251,101,126,750
2023-05-03,25,Poland,Blanka - Solo,<1%,301,401,251,301,251,250,301,201,251,201,201,201,280,251,201,201,900
2023-05-03,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,251,300,301,251,251,201,201,201,280,251,151,201,1000
2023-05-03,27,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,301,300,301,201,301,151,251,251,270,251,251,201,910
2023-05-03,28,Belgium,Gustaph - Because of You,<1%,301,401,251,501,301,300,301,201,301,251,251,251,280,251,201,201,1000
2023-05-03,29,Iceland,Diljá - Power,<1%,501,401,251,501,251,300,301,251,251,201,201,201,280,251,201,201,1000
2023-05-03,30,Greece,Victor Vernicos - What They Say,<1%,501,401,301,501,251,500,301,201,251,251,201,201,280,251,251,201,1000
2023-05-03,31,Denmark,Reiley - Breaking My Heart,<1%,501,401,276,501,251,500,301,251,251,251,251,251,280,251,201,201,1000
2023-05-03,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,601,301,751,301,500,301,251,301,251,251,251,280,251,251,201,1000
2023-05-03,33,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,501,301,500,501,251,301,251,251,251,280,301,251,201,1000
2023-05-03,34,Malta,The Busker - Dance (Our Own Party),<1%,501,501,351,751,301,500,501,251,301,251,251,251,280,301,201,201,1000
2023-05-03,35,San Marino,Piqued Jacks - Like An Animal,<1%,501,601,351,751,301,500,501,251,301,251,251,251,280,301,151,201,1000
2023-05-03,36,Latvia,Sudden Lights - Aijā,<1%,501,501,501,751,301,500,501,251,301,251,251,251,280,251,251,201,1000
2023-05-03,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,601,501,751,301,500,501,251,301,251,251,251,280,301,201,201,1000
