date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET,BETFAIR SPORT, BETSSON ,BWIN,BOYLE SPORTS,BET STARS,COMEON,10BET,LAD BROKES, * SMARKETS,BETWAY, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-05-04,1,Sweden,Loreen - Tattoo,42%,1.62,1.7,1.63,1.8,1.62,1.75,1.62,1.67,1.67,1.62,1.62,1.67,1.86,1.7,1.62,1.8,1.92
2023-05-04,2,Finland,Käärijä - Cha Cha Cha,23%,2.88,2.95,3,3.5,2.88,2.9,3,3,3,2.9,2.9,3,3.85,3.6,2.88,3.25,4.1
2023-05-04,3,Ukraine,Tvorchi - Heart of Steel,5%,11,14,13,17,14,15,13,13,15,11,11,13,15,15,10,13,20
2023-05-04,4,France,La Zarra - Évidemment,5%,11,19,13,17,18,15,13,11,18,13,13,13,19,15,13,15,21
2023-05-04,5,Spain,Blanca Paloma - Eaea,5%,11,19,17,17,15,18,17,15,15,15,15,13,17,12,15,17,19
2023-05-04,6,Norway,Alessandra - Queen of Kings,4%,17,26,17,23,19,20,21,19,18,17,17,21,34,21,17,17,44
2023-05-04,7,Israel,Noa Kirel - Unicorn,3%,21,41,34,41,23,30,26,21,23,23,23,23,36,26,21,26,50
2023-05-04,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,26,67,34,41,31,50,26,21,41,29,29,29,95,41,26,34,130
2023-05-04,9,Italy,Marco Mengoni - Due vite,2%,34,51,51,34,34,45,34,41,51,41,41,51,50,26,41,34,70
2023-05-04,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,81,81,67,46,70,67,51,56,41,41,51,70,51,34,34,95
2023-05-04,11,Czechia,Vesna - My Sister's Crown,1%,81,126,67,151,81,100,67,67,81,81,81,81,200,67,67,67,240
2023-05-04,12,Armenia,Brunette - Future Lover,1%,101,126,81,201,126,100,101,81,201,81,81,67,260,101,101,67,310
2023-05-04,13,Switzerland,Remo Forrer - Watergun,1%,151,151,101,201,151,150,101,101,151,101,101,81,260,126,67,101,430
2023-05-04,14,Australia,Voyager - Promise,1%,101,201,151,251,151,100,101,126,151,101,101,151,150,151,101,101,190
2023-05-04,15,Croatia,Let 3 - Mama ŠČ!,<1%,101,251,151,251,101,150,101,101,151,101,101,151,270,151,101,101,570
2023-05-04,16,Germany,Lord Of The Lost - Blood & Glitter,<1%,101,251,151,201,151,200,101,151,151,151,151,151,260,151,101,101,400
2023-05-04,17,Serbia,Luke Black - Samo mi se spava,<1%,201,301,126,251,201,150,101,126,201,151,151,151,220,151,101,101,450
2023-05-04,18,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,201,200,101,201,201,151,151,151,270,151,126,201,700
2023-05-04,19,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,251,176,301,151,250,101,151,151,151,151,151,270,126,101,101,610
2023-05-04,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,251,126,251,251,250,101,126,251,151,151,151,260,151,101,101,400
2023-05-04,21,Georgia,Iru - Echo,<1%,301,301,101,501,201,250,101,151,201,201,201,201,270,126,101,101,880
2023-05-04,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,201,251,250,101,201,251,201,201,126,270,201,251,201,700
2023-05-04,23,Ireland,Wild Youth - We Are One,<1%,151,501,351,501,151,300,301,81,201,151,151,151,270,251,101,126,240
2023-05-04,24,Estonia,Alika - Bridges,<1%,251,401,151,501,251,200,101,201,251,201,201,201,270,201,151,201,930
2023-05-04,25,Poland,Blanka - Solo,<1%,301,401,251,301,251,250,301,201,251,201,201,101,280,251,201,201,620
2023-05-04,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,251,300,301,201,251,201,201,251,280,251,151,201,1000
2023-05-04,27,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,301,300,301,151,301,251,251,201,280,251,251,201,1000
2023-05-04,28,Belgium,Gustaph - Because of You,<1%,301,401,251,501,301,300,301,251,301,251,251,201,280,251,201,201,1000
2023-05-04,29,Iceland,Diljá - Power,<1%,501,401,251,501,251,300,301,201,251,201,201,251,280,251,201,201,1000
2023-05-04,30,Greece,Victor Vernicos - What They Say,<1%,501,401,301,501,251,500,301,251,251,201,201,201,280,251,251,201,1000
2023-05-04,31,Denmark,Reiley - Breaking My Heart,<1%,501,401,276,501,251,500,301,251,251,251,251,251,280,251,201,201,1000
2023-05-04,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,601,301,751,301,500,301,251,301,251,251,251,280,251,251,201,1000
2023-05-04,33,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,501,301,500,501,251,301,251,251,251,280,301,251,201,1000
2023-05-04,34,Malta,The Busker - Dance (Our Own Party),<1%,501,501,351,751,301,500,501,251,301,251,251,251,280,301,201,201,1000
2023-05-04,35,Latvia,Sudden Lights - Aijā,<1%,501,501,501,751,301,500,501,251,301,251,251,251,280,251,251,201,1000
2023-05-04,36,San Marino,Piqued Jacks - Like An Animal,<1%,501,601,351,751,301,500,501,501,301,251,251,251,280,301,151,201,1000
2023-05-04,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,601,501,751,301,500,501,501,301,251,251,251,280,301,201,201,1000
