date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET, BETSSON ,BETFAIR SPORT,10BET,COMEON,LAD BROKES,BOYLE SPORTS,BET STARS,888 SPORT,BET FRED, WILLIAM  HILL,BETWAY, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-05,1,Sweden,Loreen - Tattoo,39%,1.83,1.91,1.95,2,1.95,1.62,1.8,1.8,1.8,1.8,1.67,1.62,2,1.62,2,1.98,2.1
2023-05-05,2,Finland,Käärijä - Cha Cha Cha,24%,2.88,2.6,2.7,3.5,2.75,2.88,2.9,2.9,3,2.88,3,2.88,3.25,2.88,3.25,3.6,3.8
2023-05-05,3,France,La Zarra - Évidemment,8%,8,9,9,10,10,10,8,8,9,8,9,8.5,9,7,8,10,11
2023-05-05,4,Ukraine,Tvorchi - Heart of Steel,6%,11,17,12,15,15,13,11,11,12,13,14,11,13,10,12,12,16
2023-05-05,5,Spain,Blanca Paloma - Eaea,4%,17,17,26,21,20,12,15,15,17,15,15,13,15,15,23,32,40
2023-05-05,6,Norway,Alessandra - Queen of Kings,3%,17,21,26,26,20,19,17,17,17,19,23,13,17,17,26,34,44
2023-05-05,7,Israel,Noa Kirel - Unicorn,2%,29,29,45,41,35,23,23,23,23,21,23,21,26,21,41,44,70
2023-05-05,8,Italy,Marco Mengoni - Due vite,2%,34,41,51,34,45,34,41,41,41,41,51,34,34,26,41,50,70
2023-05-05,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,51,81,67,50,31,29,29,29,21,41,26,26,26,41,70,90
2023-05-05,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,126,101,67,70,46,51,51,51,51,56,26,34,34,51,85,130
2023-05-05,11,Armenia,Brunette - Future Lover,1%,101,81,101,151,100,126,101,101,67,81,201,51,67,101,101,110,150
2023-05-05,12,Czechia,Vesna - My Sister's Crown,1%,126,101,151,201,100,81,101,101,101,67,81,23,67,67,101,260,310
2023-05-05,13,Australia,Voyager - Promise,1%,101,151,201,251,100,151,101,101,151,126,151,101,101,101,151,90,120
2023-05-05,14,Switzerland,Remo Forrer - Watergun,<1%,151,151,251,201,150,151,151,151,126,101,151,41,101,67,126,260,400
2023-05-05,15,Croatia,Let 3 - Mama ŠČ!,<1%,126,176,301,251,150,101,126,126,151,101,151,101,101,101,151,270,610
2023-05-05,16,Germany,Lord Of The Lost - Blood & Glitter,<1%,126,151,301,201,200,151,151,151,151,151,151,101,101,101,151,270,580
2023-05-05,17,Serbia,Luke Black - Samo mi se spava,<1%,201,176,301,251,150,201,151,151,151,126,201,101,101,101,151,230,650
2023-05-05,18,Ireland,Wild Youth - We Are One,<1%,151,401,501,201,300,101,151,151,151,81,151,101,126,67,101,270,500
2023-05-05,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,201,251,250,251,201,201,201,126,251,101,101,101,151,260,430
2023-05-05,20,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,201,301,301,250,151,201,201,201,151,151,101,101,101,126,270,800
2023-05-05,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,301,201,200,201,151,151,251,201,201,151,201,126,151,270,650
2023-05-05,22,Georgia,Iru - Echo,<1%,301,151,401,501,250,201,251,251,201,151,201,41,101,101,126,270,910
2023-05-05,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,151,251,201,250,251,201,201,201,201,251,201,201,251,201,270,580
2023-05-05,24,Poland,Blanka - Solo,<1%,301,301,301,301,250,251,251,251,151,201,251,201,201,201,251,280,550
2023-05-05,25,Estonia,Alika - Bridges,<1%,251,251,401,501,200,251,251,251,301,201,251,51,201,151,201,280,1000
2023-05-05,26,Portugal,Mimicat - Ai Coração,<1%,301,301,401,301,300,251,251,251,251,201,251,101,201,151,251,280,1000
2023-05-05,27,Lithuania,Monika Linkytė - Stay,<1%,301,251,401,301,300,301,251,251,201,151,301,101,201,251,251,280,1000
2023-05-05,28,Belgium,Gustaph - Because of You,<1%,301,251,401,501,300,301,301,301,201,251,301,151,201,201,251,280,1000
2023-05-05,29,Iceland,Diljá - Power,<1%,501,301,401,501,300,251,401,401,251,201,251,101,201,201,251,280,1000
2023-05-05,30,Denmark,Reiley - Breaking My Heart,<1%,501,401,401,501,500,251,401,401,251,251,251,101,201,201,251,280,1000
2023-05-05,31,Greece,Victor Vernicos - What They Say,<1%,501,501,501,501,500,251,401,401,201,251,251,101,201,251,251,280,1000
2023-05-05,32,Malta,The Busker - Dance (Our Own Party),<1%,501,501,501,751,500,301,501,501,251,251,301,151,201,201,301,280,1000
2023-05-05,33,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,601,751,500,301,501,501,251,251,301,101,201,251,251,280,1000
2023-05-05,34,Albania,Albina & Familja Kelmendi - Duje,<1%,501,1001,501,501,500,301,501,501,251,251,301,201,201,251,301,280,1000
2023-05-05,35,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,601,751,500,301,501,501,301,501,301,151,201,151,301,280,1000
2023-05-05,36,Latvia,Sudden Lights - Aijā,<1%,501,1001,501,751,500,301,501,501,401,251,301,151,201,251,251,280,1000
2023-05-05,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,1001,601,751,500,301,501,501,251,501,301,151,201,201,301,280,1000
