date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET, BETSSON ,BETFAIR SPORT,10BET,COMEON,LAD BROKES,BOYLE SPORTS,BET STARS,BET FRED, WILLIAM  HILL,BETWAY, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-06,1,Sweden,Loreen - Tattoo,39%,1.83,1.91,2,2,1.95,1.91,1.8,1.8,1.8,1.8,2,2,1.62,2,1.99,2.12
2023-05-06,2,Finland,Käärijä - Cha Cha Cha,24%,2.88,2.6,2.7,3.5,2.75,3.3,2.9,2.9,3,2.88,3.4,3.25,2.88,2.88,3.55,3.75
2023-05-06,3,France,La Zarra - Évidemment,9%,6.5,9,9,10,10,7,8,8,9,8,6,9,7,8,9,10
2023-05-06,4,Ukraine,Tvorchi - Heart of Steel,6%,11,17,12,15,13,13,11,11,12,12,14,13,10,12,14,19
2023-05-06,5,Spain,Blanca Paloma - Eaea,4%,19,17,26,21,20,21,15,15,17,15,31,15,15,15,34,42
2023-05-06,6,Norway,Alessandra - Queen of Kings,3%,21,21,26,26,20,20,17,17,17,19,26,17,17,26,32,42
2023-05-06,7,Israel,Noa Kirel - Unicorn,2%,34,29,45,41,35,34,23,23,23,21,34,26,21,41,44,70
2023-05-06,8,Italy,Marco Mengoni - Due vite,2%,34,41,51,34,45,34,41,41,41,41,51,34,26,41,50,70
2023-05-06,9,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,81,51,101,67,50,51,29,29,29,34,67,26,26,41,210,250
2023-05-06,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,126,101,67,70,56,51,51,51,51,67,34,34,51,75,110
2023-05-06,11,Armenia,Brunette - Future Lover,1%,101,81,126,151,100,126,101,101,67,81,201,67,101,101,200,240
2023-05-06,12,Czechia,Vesna - My Sister's Crown,1%,126,101,151,201,100,101,101,101,101,67,101,67,67,101,260,310
2023-05-06,13,Australia,Voyager - Promise,1%,101,151,151,251,100,151,101,101,151,126,151,101,101,151,230,270
2023-05-06,14,Switzerland,Remo Forrer - Watergun,<1%,201,151,251,201,150,151,151,151,126,101,151,101,67,126,270,520
2023-05-06,15,Croatia,Let 3 - Mama ŠČ!,<1%,201,176,301,251,150,101,126,126,151,101,151,101,101,151,270,640
2023-05-06,16,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,301,201,200,151,151,151,151,151,151,101,101,151,260,350
2023-05-06,17,Serbia,Luke Black - Samo mi se spava,<1%,201,176,301,251,150,201,151,151,151,126,201,101,101,151,230,650
2023-05-06,18,Slovenia,Joker Out - Carpe Diem,<1%,201,151,301,201,200,201,151,151,251,126,201,201,126,151,260,340
2023-05-06,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,201,251,250,251,201,201,201,126,251,101,101,151,260,450
2023-05-06,20,Ireland,Wild Youth - We Are One,<1%,201,401,501,201,300,101,151,151,151,81,151,126,67,101,270,500
2023-05-06,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,201,301,301,250,151,201,201,201,151,151,101,101,126,270,870
2023-05-06,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,151,251,201,250,251,201,201,201,201,251,201,251,201,260,410
2023-05-06,23,Georgia,Iru - Echo,<1%,301,151,401,501,250,201,251,251,201,151,201,101,101,126,280,1000
2023-05-06,24,Poland,Blanka - Solo,<1%,301,301,301,301,250,251,251,251,151,201,251,201,201,251,280,650
2023-05-06,25,Estonia,Alika - Bridges,<1%,251,251,401,501,200,251,251,251,301,201,251,201,151,201,280,1000
2023-05-06,26,Portugal,Mimicat - Ai Coração,<1%,301,301,401,301,300,251,251,251,251,201,251,201,151,251,280,1000
2023-05-06,27,Lithuania,Monika Linkytė - Stay,<1%,301,251,401,301,300,301,251,251,201,151,301,201,251,251,280,1000
2023-05-06,28,Belgium,Gustaph - Because of You,<1%,301,251,401,501,300,301,301,301,201,251,301,201,201,251,280,1000
2023-05-06,29,Iceland,Diljá - Power,<1%,501,301,401,501,300,251,401,401,251,201,251,201,201,251,280,1000
2023-05-06,30,Denmark,Reiley - Breaking My Heart,<1%,501,401,401,501,500,251,401,401,251,251,251,201,201,251,280,1000
2023-05-06,31,Greece,Victor Vernicos - What They Say,<1%,501,501,501,501,500,251,401,401,201,251,251,201,251,251,280,1000
2023-05-06,32,Malta,The Busker - Dance (Our Own Party),<1%,501,501,501,751,500,301,501,501,251,251,301,201,201,301,280,1000
2023-05-06,33,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,601,751,500,301,501,501,251,251,301,201,251,251,280,1000
2023-05-06,34,Albania,Albina & Familja Kelmendi - Duje,<1%,501,1001,501,501,500,301,501,501,251,251,301,201,251,301,280,1000
2023-05-06,35,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,601,751,500,301,501,501,301,501,301,201,151,301,280,1000
2023-05-06,36,Latvia,Sudden Lights - Aijā,<1%,501,1001,501,751,500,301,501,501,401,251,301,201,251,251,280,1000
2023-05-06,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,1001,601,751,500,301,501,501,251,501,301,201,201,301,280,1000
