date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT, BETSSON ,COMEON,10BET,LAD BROKES,BOYLE SPORTS,BET STARS,888 SPORT,BET FRED, WILLIAM  HILL,BETWAY, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-08,1,Sweden,Loreen - Tattoo,39%,1.73,1.88,1.85,1.91,1.91,1.9,1.8,1.8,1.8,1.8,1.83,1.8,2,1.91,1.91,2,1.99
2023-05-08,2,Finland,Käärijä - Cha Cha Cha,24%,2.88,2.75,2.8,3.5,3.2,2.8,2.9,2.9,3,2.88,2.88,2.88,3.25,3,3,3.55,3.7
2023-05-08,3,France,La Zarra - Évidemment,8%,9,9,14,12,7,12,7,7,9,7,7,8,8,7,10,,18
2023-05-08,4,Ukraine,Tvorchi - Heart of Steel,6%,9,15,11,15,13,12,11,11,12,13,14,11,13,11,12,5.4,16
2023-05-08,5,Spain,Blanca Paloma - Eaea,4%,19,17,23,19,21,20,15,15,17,21,23,13,15,15,15,,34
2023-05-08,6,Norway,Alessandra - Queen of Kings,4%,21,21,29,23,20,20,17,17,17,21,26,13,17,17,21,,38
2023-05-08,7,Israel,Noa Kirel - Unicorn,2%,36,34,51,41,34,35,23,23,23,21,41,21,26,21,26,,60
2023-05-08,8,Italy,Marco Mengoni - Due vite,2%,46,41,81,41,34,45,41,41,41,26,51,34,34,26,41,,110
2023-05-08,9,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,67,51,101,81,51,90,41,41,29,67,67,26,26,26,41,,150
2023-05-08,10,United Kingdom,Mae Muller - I Wrote A Song,1%,41,126,101,67,56,75,41,41,51,51,67,51,34,34,51,,100
2023-05-08,11,Armenia,Brunette - Future Lover,1%,101,101,101,126,126,100,81,81,67,81,201,51,67,101,101,,190
2023-05-08,12,Czechia,Vesna - My Sister's Crown,1%,126,101,201,201,101,100,101,101,101,67,101,51,67,67,101,,370
2023-05-08,13,Australia,Voyager - Promise,1%,126,151,201,201,151,100,101,101,151,126,151,101,101,101,151,,370
2023-05-08,14,Switzerland,Remo Forrer - Watergun,<1%,151,151,251,201,151,200,151,151,126,101,151,151,101,67,126,,610
2023-05-08,15,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,301,151,151,200,151,151,151,151,151,101,101,101,151,,340
2023-05-08,16,Croatia,Let 3 - Mama ŠČ!,<1%,201,176,301,301,101,250,126,126,151,101,151,101,101,101,151,,610
2023-05-08,17,Serbia,Luke Black - Samo mi se spava,<1%,201,176,301,251,201,250,151,151,151,126,201,101,101,101,151,,760
2023-05-08,18,Slovenia,Joker Out - Carpe Diem,<1%,201,151,301,151,201,200,151,151,251,126,201,151,201,126,151,,340
2023-05-08,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,201,251,251,250,201,201,201,126,251,101,101,101,151,,500
2023-05-08,20,Ireland,Wild Youth - We Are One,<1%,201,401,501,251,101,300,151,151,151,81,151,101,126,67,101,150,470
2023-05-08,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,201,301,301,151,250,201,201,201,151,151,101,101,101,126,,810
2023-05-08,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,151,251,201,251,250,201,201,201,201,251,201,201,251,201,,480
2023-05-08,23,Georgia,Iru - Echo,<1%,301,151,401,501,201,250,251,251,201,151,201,101,101,101,126,,1000
2023-05-08,24,Poland,Blanka - Solo,<1%,301,301,301,301,251,250,251,251,151,201,251,201,201,201,251,,310
2023-05-08,25,Portugal,Mimicat - Ai Coração,<1%,301,301,401,301,251,300,251,251,251,201,251,101,201,151,251,,1000
2023-05-08,26,Estonia,Alika - Bridges,<1%,251,251,401,501,251,200,251,251,301,201,251,151,201,151,201,,1000
2023-05-08,27,Lithuania,Monika Linkytė - Stay,<1%,301,251,401,501,301,300,251,251,201,151,301,101,201,251,251,,1000
2023-05-08,28,Belgium,Gustaph - Because of You,<1%,301,251,401,501,301,300,301,301,201,251,301,151,201,201,251,,1000
2023-05-08,29,Iceland,Diljá - Power,<1%,501,301,401,751,251,300,401,401,251,201,251,101,201,201,251,,1000
2023-05-08,30,Denmark,Reiley - Breaking My Heart,<1%,501,401,401,501,251,500,401,401,251,251,251,101,201,201,251,,1000
2023-05-08,31,Greece,Victor Vernicos - What They Say,<1%,501,501,501,751,251,500,401,401,201,251,251,101,201,251,251,,1000
2023-05-08,32,Malta,The Busker - Dance (Our Own Party),<1%,501,501,501,751,301,500,501,501,251,251,301,151,201,201,301,,1000
2023-05-08,33,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,601,751,301,500,501,501,251,251,301,101,201,251,251,,1000
2023-05-08,34,Albania,Albina & Familja Kelmendi - Duje,<1%,501,1001,501,751,301,500,501,501,251,251,301,201,201,251,301,,1000
2023-05-08,35,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,601,1001,301,500,501,501,301,501,301,151,201,151,301,,1000
2023-05-08,36,Latvia,Sudden Lights - Aijā,<1%,501,1001,501,1001,301,500,501,501,401,251,301,151,201,251,251,,1000
2023-05-08,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,1001,601,1001,301,500,501,501,251,501,301,151,201,201,301,,1000
