date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT, BETSSON ,BET STARS,10BET,COMEON,LAD BROKES,BOYLE SPORTS, WILLIAM  HILL,BET FRED,BETWAY, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-09,1,Sweden,Loreen - Tattoo,43%,1.67,1.75,1.62,1.67,1.62,1.68,1.57,1.62,1.62,1.61,1.67,1.73,1.73,1.6,,1.73
2023-05-09,2,Finland,Käärijä - Cha Cha Cha,22%,3,2.75,3.75,3.75,3.75,3,3.5,2.9,2.9,3.25,3,3.25,3.5,3.5,3.55,4.3
2023-05-09,3,France,La Zarra - Évidemment,7%,8,9,15,13,15,11,13,7,7,10,7.5,9,11,11,4,19
2023-05-09,4,Ukraine,Tvorchi - Heart of Steel,7%,8,15,12,13,12,11,13,9,9,12,7,10,9,13,5.1,17
2023-05-09,5,Spain,Blanca Paloma - Eaea,4%,17,17,29,19,19,25,23,15,15,17,21,17,17,17,,44
2023-05-09,6,Norway,Alessandra - Queen of Kings,3%,19,21,29,29,21,25,34,17,17,17,17,17,17,26,,65
2023-05-09,7,Israel,Noa Kirel - Unicorn,2%,23,34,41,34,34,35,51,23,23,23,21,26,26,29,,70
2023-05-09,8,Italy,Marco Mengoni - Due vite,1%,41,41,101,51,56,45,81,41,41,51,29,41,34,41,,130
2023-05-09,9,United Kingdom,Mae Muller - I Wrote A Song,1%,41,126,101,67,51,75,67,41,41,51,51,26,34,51,,110
2023-05-09,10,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,51,51,101,81,76,75,101,41,41,29,67,67,51,51,2,250
2023-05-09,11,Czechia,Vesna - My Sister's Crown,1%,81,101,81,101,91,75,91,101,101,51,67,67,67,101,,130
2023-05-09,12,Armenia,Brunette - Future Lover,1%,81,101,101,126,91,100,201,81,81,67,81,101,67,81,,350
2023-05-09,13,Australia,Voyager - Promise,1%,126,151,201,201,151,100,151,101,101,151,126,151,101,151,,400
2023-05-09,14,Switzerland,Remo Forrer - Watergun,<1%,151,151,251,201,151,200,151,151,151,151,101,151,101,126,3,540
2023-05-09,15,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,301,151,151,200,151,151,151,151,151,151,101,151,2,480
2023-05-09,16,Croatia,Let 3 - Mama ŠČ!,<1%,201,176,301,301,101,250,151,126,126,201,101,101,101,151,,610
2023-05-09,17,Serbia,Luke Black - Samo mi se spava,<1%,151,176,301,251,176,250,201,151,151,151,126,101,101,151,,820
2023-05-09,18,Slovenia,Joker Out - Carpe Diem,<1%,201,151,301,151,201,200,201,151,151,201,126,126,201,151,,670
2023-05-09,19,Ireland,Wild Youth - We Are One,<1%,151,401,501,251,101,300,151,151,151,151,81,51,126,101,150,250
2023-05-09,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,201,251,251,250,251,201,201,201,126,101,101,151,,850
2023-05-09,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,201,301,301,201,250,151,201,201,201,151,101,101,126,,940
2023-05-09,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,151,251,201,251,250,251,201,201,201,201,251,201,201,,530
2023-05-09,23,Poland,Blanka - Solo,<1%,201,301,301,301,276,250,251,251,251,151,201,201,201,251,2,620
2023-05-09,24,Georgia,Iru - Echo,<1%,301,151,401,501,201,250,201,251,251,201,151,401,101,126,2,1000
2023-05-09,25,Estonia,Alika - Bridges,<1%,251,251,401,501,251,200,251,251,251,301,201,151,201,201,2,1000
2023-05-09,26,Portugal,Mimicat - Ai Coração,<1%,201,301,401,301,301,300,301,251,251,251,201,151,201,251,,1000
2023-05-09,27,Lithuania,Monika Linkytė - Stay,<1%,301,251,401,501,501,300,501,251,251,201,151,251,201,251,,1000
2023-05-09,28,Belgium,Gustaph - Because of You,<1%,301,251,401,501,501,300,501,301,301,201,251,201,201,251,,700
2023-05-09,29,Iceland,Diljá - Power,<1%,501,301,401,751,376,300,301,401,401,251,201,201,201,251,,1000
2023-05-09,30,Denmark,Reiley - Breaking My Heart,<1%,501,401,401,501,376,500,301,401,401,251,251,201,201,251,,1000
2023-05-09,31,Greece,Victor Vernicos - What They Say,<1%,501,501,501,751,251,500,251,401,401,201,251,251,201,251,,1000
2023-05-09,32,Malta,The Busker - Dance (Our Own Party),<1%,501,501,501,751,501,500,501,501,501,251,251,201,201,301,,1000
2023-05-09,33,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,601,751,501,500,501,501,501,251,251,401,201,251,,1000
2023-05-09,34,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,601,1001,501,500,501,501,501,301,501,151,201,301,,1000
2023-05-09,35,Albania,Albina & Familja Kelmendi - Duje,<1%,501,1001,501,751,501,500,501,501,501,251,251,501,201,301,,1000
2023-05-09,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,1001,601,1001,501,500,501,501,501,251,501,201,201,301,,1000
2023-05-09,37,Latvia,Sudden Lights - Aijā,<1%,501,1001,501,1001,501,500,501,501,501,401,251,501,201,251,,1000
