date,position,country,song,winning chance,BET365,COOL BET,BETFAIR SPORT,UNIBET,SKY BET, BETSSON ,BOYLE SPORTS,10BET,COMEON,888 SPORT, WILLIAM  HILL,LAD BROKES, * SMARKETS,BET FRED,BETFAIR*  EXCHANGE 
2023-05-10,1,Sweden,Loreen - Tattoo,44%,1.62,1.58,1.62,1.65,1.67,1.62,1.67,1.62,1.62,1.62,1.67,1.57,1.55,1.73,1.6
2023-05-10,2,Finland,Käärijä - Cha Cha Cha,22%,2.75,3.55,3.75,2.6,4.33,3.25,2.88,2.75,2.75,2.88,3,3.5,5,3.5,5.1
2023-05-10,3,Ukraine,Tvorchi - Heart of Steel,7%,8.5,8,8.5,13,11,10,8.5,9,9,10,8.5,11,11,10,12
2023-05-10,4,France,La Zarra - Évidemment,5%,8.5,23,19,10,17,15,8.5,9,9,9,10,13,28,11,32
2023-05-10,5,Spain,Blanca Paloma - Eaea,4%,17,23,18,18,21,25,19,19,19,17,17,17,36,17,36
2023-05-10,6,Israel,Noa Kirel - Unicorn,3%,13,31,21,21,23,30,17,17,17,14,13,26,44,26,65
2023-05-10,7,Norway,Alessandra - Queen of Kings,3%,21,31,26,18,21,25,21,21,21,19,19,21,44,17,55
2023-05-10,8,United Kingdom,Mae Muller - I Wrote A Song,1%,41,81,67,76,51,60,51,41,41,41,29,41,95,34,120
2023-05-10,9,Italy,Marco Mengoni - Due vite,1%,51,81,56,51,67,45,41,51,51,51,41,51,100,34,140
2023-05-10,10,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,51,101,91,51,101,75,67,51,51,51,51,34,240,51,240
2023-05-10,11,Czechia,Vesna - My Sister's Crown,1%,67,81,151,101,81,65,67,67,67,41,67,51,170,67,200
2023-05-10,12,Armenia,Brunette - Future Lover,1%,126,126,91,101,151,100,81,81,81,67,67,67,260,67,320
2023-05-10,13,Switzerland,Remo Forrer - Watergun,1%,81,101,151,151,201,150,101,126,126,101,151,151,270,101,570
2023-05-10,14,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,201,151,126,150,151,151,151,101,151,151,270,101,470
2023-05-10,15,Serbia,Luke Black - Samo mi se spava,<1%,151,151,176,176,201,175,151,151,151,151,101,151,270,101,360
2023-05-10,16,Australia,Voyager - Promise,<1%,151,251,151,151,201,125,126,151,151,151,151,151,270,101,410
2023-05-10,17,Croatia,Let 3 - Mama ŠČ!,<1%,151,251,151,176,201,250,126,151,151,101,126,201,270,101,370
2023-05-10,18,Slovenia,Joker Out - Carpe Diem,<1%,201,301,201,176,251,200,151,151,151,151,151,201,260,201,340
2023-05-10,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,251,201,251,250,126,201,201,201,151,201,270,101,450
2023-05-10,20,Portugal,Mimicat - Ai Coração,<1%,151,401,251,201,301,200,126,201,201,151,151,251,270,201,1000
2023-05-10,21,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,251,401,251,201,251,250,201,201,201,201,251,201,270,201,1000
2023-05-10,22,Poland,Blanka - Solo,<1%,201,301,276,201,501,200,201,251,251,201,201,151,280,201,650
2023-05-10,23,Estonia,Alika - Bridges,<1%,251,501,251,251,501,200,201,251,251,201,151,301,270,201,1000
2023-05-10,24,Georgia,Iru - Echo,<1%,301,401,201,201,751,250,401,301,301,101,251,201,270,101,1000
2023-05-10,25,Belgium,Gustaph - Because of You,<1%,301,401,501,251,501,300,251,301,301,201,251,201,270,201,1000
2023-05-10,26,Lithuania,Monika Linkytė - Stay,<1%,301,501,501,,501,300,251,251,251,251,251,201,270,201,1000
2023-05-10,27,Denmark,Reiley - Breaking My Heart,<1%,501,501,376,301,501,500,251,401,401,201,201,251,270,201,1000
2023-05-10,28,Iceland,Diljá - Power,<1%,501,401,376,301,751,300,251,401,401,251,251,251,270,201,1000
2023-05-10,29,Greece,Victor Vernicos - What They Say,<1%,501,751,251,501,751,500,251,401,401,201,251,201,270,201,1000
2023-05-10,30,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,1001,751,500,251,501,501,201,501,251,270,201,1000
2023-05-10,31,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,751,501,1001,1001,500,501,501,501,201,401,251,270,201,1000
2023-05-10,32,San Marino,Piqued Jacks - Like An Animal,<1%,501,751,501,1001,1001,500,501,501,501,201,401,301,270,201,1000
