date,position,country,song,winning chance,COOL BET,BET365,UNIBET,BETFAIR SPORT,SKY BET, BETSSON ,BET STARS,COMEON,BOYLE SPORTS,10BET,888 SPORT, WILLIAM  HILL,BET FRED, * SMARKETS,LAD BROKES,BETWAY,BETFAIR*  EXCHANGE 
2023-05-11,1,Sweden,Loreen - Tattoo,49%,1.5,1.44,1.53,1.5,1.53,1.5,1.33,1.47,1.44,1.47,1.5,1.53,1.53,1.43,1.44,1.45,1.52
2023-05-11,2,Finland,Käärijä - Cha Cha Cha,20%,3.8,3.25,3,3.5,4.5,3.5,3.6,3.4,3.75,3.4,3.5,3.5,3.75,5.3,3.5,3.25,5.4
2023-05-11,3,Ukraine,Tvorchi - Heart of Steel,7%,9,8.5,13,13,12,9,14,9,10,9,9,9,11,12,10,9,16
2023-05-11,4,France,La Zarra - Évidemment,4%,29,8.5,18,18,21,15,26,12,15,12,12,11,21,38,19,15,46
2023-05-11,5,Spain,Blanca Paloma - Eaea,4%,29,17,21,11,21,20,15,17,19,17,17,17,17,28,17,23,34
2023-05-11,6,Israel,Noa Kirel - Unicorn,3%,31,13,18,14,26,25,26,17,21,17,17,13,21,60,19,26,90
2023-05-11,7,Norway,Alessandra - Queen of Kings,3%,31,21,21,19,29,25,41,21,19,21,19,21,34,48,23,29,80
2023-05-11,8,United Kingdom,Mae Muller - I Wrote A Song,1%,101,41,81,67,67,65,81,41,51,41,41,34,41,150,34,41,180
2023-05-11,9,Italy,Marco Mengoni - Due vite,1%,101,51,51,51,67,65,81,51,67,51,41,41,67,150,67,51,150
2023-05-11,10,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,126,51,67,23,81,75,51,51,67,51,51,51,67,260,67,51,270
2023-05-11,11,Czechia,Vesna - My Sister's Crown,1%,101,67,81,81,101,65,151,67,81,67,51,67,101,270,67,101,490
2023-05-11,12,Armenia,Brunette - Future Lover,1%,101,126,81,71,101,125,126,67,81,67,67,67,101,260,67,81,280
2023-05-11,13,Croatia,Let 3 - Mama ŠČ!,1%,201,126,101,101,151,200,151,126,126,126,101,126,101,190,34,126,220
2023-05-11,14,Switzerland,Remo Forrer - Watergun,1%,126,81,201,151,201,100,151,126,101,126,101,151,101,270,126,126,600
2023-05-11,15,Germany,Lord Of The Lost - Blood & Glitter,<1%,201,151,201,201,151,150,201,151,151,151,101,151,101,260,151,151,470
2023-05-11,16,Australia,Voyager - Promise,<1%,251,151,201,151,251,200,151,151,151,151,151,151,101,270,101,151,720
2023-05-11,17,Serbia,Luke Black - Samo mi se spava,<1%,301,151,251,226,251,175,251,151,151,151,151,101,101,270,101,151,1000
2023-05-11,18,Moldova,Pasha Parfeni - Soarele și Luna,<1%,201,251,251,251,301,200,251,201,151,201,201,151,101,270,151,151,930
2023-05-11,19,Slovenia,Joker Out - Carpe Diem,<1%,251,201,201,201,301,250,201,201,151,201,151,151,201,270,201,151,1000
2023-05-11,20,Portugal,Mimicat - Ai Coração,<1%,401,101,201,251,301,200,251,201,201,201,151,151,201,270,151,251,1000
2023-05-11,21,Poland,Blanka - Solo,<1%,301,201,251,276,501,250,251,251,201,251,201,201,201,280,101,251,1000
2023-05-11,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,401,251,251,251,301,300,251,251,201,251,201,251,201,280,201,201,990
2023-05-11,23,Belgium,Gustaph - Because of You,<1%,401,301,251,301,301,350,301,201,251,201,201,251,201,270,101,251,300
2023-05-11,24,Estonia,Alika - Bridges,<1%,501,251,301,301,501,300,301,301,201,301,201,151,201,270,201,201,1000
2023-05-11,25,Georgia,Iru - Echo,<1%,401,301,301,201,751,350,201,301,251,301,201,251,101,270,201,126,1000
2023-05-11,26,Lithuania,Monika Linkytė - Stay,<1%,501,301,,301,501,400,301,251,251,251,251,251,201,270,201,251,1000
2023-05-11,27,Denmark,Reiley - Breaking My Heart,<1%,501,251,301,376,501,500,301,401,251,401,201,201,201,270,201,251,1000
2023-05-11,28,Iceland,Diljá - Power,<1%,401,501,501,501,751,300,501,501,251,501,251,251,201,270,201,251,1000
2023-05-11,29,Greece,Victor Vernicos - What They Say,<1%,751,501,501,501,751,500,501,401,251,401,201,251,201,270,201,251,1000
2023-05-11,30,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,501,751,500,501,501,501,501,201,501,201,270,201,301,1000
2023-05-11,31,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,751,501,1001,501,1001,500,501,501,501,501,201,401,201,270,201,301,1000
2023-05-11,32,San Marino,Piqued Jacks - Like An Animal,<1%,751,501,1001,501,1001,500,501,501,501,501,201,401,201,270,201,301,1000
