date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BET FRED,BOYLE SPORTS,BET STARS,LAD BROKES,888 SPORT, WILLIAM  HILL,COMEON, * SMARKETS,10BET,BETWAY,BETFAIR*  EXCHANGE 
2023-05-12,1,Sweden,Loreen - Tattoo,52%,1.48,1.55,1.53,1.53,1.53,1.44,1.53,1.5,1.33,1.5,1.44,1.44,1.47,1.57,1.47,1.45,1.56
2023-05-12,2,Finland,Käärijä - Cha Cha Cha,22%,4,3.2,3.2,4,3.15,3.25,3.75,3.75,3.3,3.5,3.5,3.5,3.25,4.5,3.25,3.5,4.5
2023-05-12,3,Ukraine,Tvorchi - Heart of Steel,6%,13,11,15,15,12,13,15,10,14,13,10,9,9,16,9,15,18
2023-05-12,4,Israel,Noa Kirel - Unicorn,4%,19,29,15,21,25,17,34,19,34,10,17,13,15,40,15,29,50
2023-05-12,5,France,La Zarra - Évidemment,3%,34,31,34,34,35,18,34,26,26,34,15,13,17,60,17,41,85
2023-05-12,6,Spain,Blanca Paloma - Eaea,3%,34,31,34,26,35,23,34,26,36,29,15,17,17,60,17,41,80
2023-05-12,7,Norway,Alessandra - Queen of Kings,3%,41,31,18,34,30,17,34,26,34,34,19,17,21,55,21,41,90
2023-05-12,8,Italy,Marco Mengoni - Due vite,1%,151,101,51,67,100,61,126,67,101,67,41,41,41,160,41,51,200
2023-05-12,9,United Kingdom,Mae Muller - I Wrote A Song,1%,151,151,81,81,150,67,101,67,81,41,41,41,41,160,41,51,190
2023-05-12,10,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,151,101,126,101,125,56,101,81,101,51,51,41,51,250,51,81,270
2023-05-12,11,Croatia,Let 3 - Mama ŠČ!,1%,251,101,126,126,100,81,126,101,101,41,101,81,67,220,67,101,220
2023-05-12,12,Belgium,Gustaph - Because of You,1%,251,101,101,101,150,101,126,101,101,21,101,67,51,260,51,151,320
2023-05-12,13,Armenia,Brunette - Future Lover,1%,251,151,101,101,200,76,126,101,151,101,67,67,67,260,67,101,350
2023-05-12,14,Australia,Voyager - Promise,1%,251,201,151,151,200,151,126,81,151,101,67,67,81,260,81,151,250
2023-05-12,15,Czechia,Vesna - My Sister's Crown,1%,251,301,151,151,150,101,151,101,201,126,81,101,101,270,101,101,830
2023-05-12,16,Switzerland,Remo Forrer - Watergun,<1%,501,251,151,251,350,151,251,151,151,201,101,101,126,260,126,126,920
2023-05-12,17,Poland,Blanka - Solo,<1%,501,301,251,301,350,226,251,201,201,201,201,151,201,260,201,251,320
2023-05-12,18,Germany,Lord Of The Lost - Blood & Glitter,<1%,1001,301,251,151,250,251,251,201,251,201,101,201,201,270,201,151,630
2023-05-12,19,Slovenia,Joker Out - Carpe Diem,<1%,1001,301,151,301,350,251,201,201,251,201,151,151,201,270,201,151,840
2023-05-12,20,Cyprus,A. Lambrou - Break a Broken Heart,<1%,1001,251,251,301,250,251,251,201,251,151,201,201,201,270,201,201,590
2023-05-12,21,Moldova,Pasha Parfeni - Soarele și Luna,<1%,1001,301,251,501,350,301,251,201,301,251,201,101,151,270,151,151,1000
2023-05-12,22,Estonia,Alika - Bridges,<1%,1001,301,301,501,300,301,251,201,301,251,201,151,201,270,201,201,740
2023-05-12,23,Serbia,Luke Black - Samo mi se spava,<1%,1001,301,301,301,350,276,501,251,301,251,151,201,201,270,201,151,1000
2023-05-12,24,Lithuania,Monika Linkytė - Stay,<1%,1001,401,301,501,350,301,501,301,301,301,251,351,201,270,201,251,1000
2023-05-12,25,Portugal,Mimicat - Ai Coração,<1%,1001,501,501,501,350,301,501,201,301,251,151,251,251,270,251,251,1000
2023-05-12,26,Albania,Albina & Familja Kelmendi - Duje,<1%,1001,501,501,751,500,501,501,501,501,251,201,501,251,270,251,301,1000
