date,position,country,song,winning chance,BET365,COOL BET,UNIBET,BETFAIR SPORT,SKY BET,BET STARS,BET FRED, BETSSON ,BOYLE SPORTS,LAD BROKES,888 SPORT,10BET,COMEON, WILLIAM  HILL,BETWAY, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-13,1,Sweden,Loreen - Tattoo,53%,1.45,1.55,1.53,1.5,1.53,1.36,1.53,1.52,1.44,1.5,1.4,1.44,1.44,1.44,1.44,1.54,1.54
2023-05-13,2,Finland,Käärijä - Cha Cha Cha,22%,4,3.2,3,3.25,3.75,4,4,3.1,3.5,3.5,3.25,3.25,3.25,3.5,3.5,4.6,4.6
2023-05-13,3,Ukraine,Tvorchi - Heart of Steel,6%,13,14,15,10,15,10,15,14,10,13,10,9,9,9,13,19,19
2023-05-13,4,Israel,Noa Kirel - Unicorn,4%,19,26,18,13,19,23,26,25,21,10,13,15,15,12,29,55,55
2023-05-13,5,Norway,Alessandra - Queen of Kings,2%,41,31,21,19,34,71,41,30,41,34,17,21,21,17,34,85,85
2023-05-13,6,Spain,Blanca Paloma - Eaea,2%,34,41,34,23,29,61,41,35,41,29,15,17,17,17,34,95,95
2023-05-13,7,France,La Zarra - Évidemment,2%,34,41,34,23,34,61,41,35,34,34,15,17,17,21,41,85,85
2023-05-13,8,Italy,Marco Mengoni - Due vite,1%,126,81,51,41,67,101,126,100,81,67,41,41,41,29,51,150,160
2023-05-13,9,United Kingdom,Mae Muller - I Wrote A Song,1%,151,151,101,61,81,76,101,150,67,41,41,41,41,41,51,170,160
2023-05-13,10,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,126,101,126,46,101,81,101,125,81,51,51,51,51,41,81,200,190
2023-05-13,11,Belgium,Gustaph - Because of You,1%,151,151,101,101,101,101,126,150,101,21,67,67,67,67,151,210,180
2023-05-13,12,Croatia,Let 3 - Mama ŠČ!,1%,251,151,126,91,126,101,126,100,101,41,101,67,67,81,101,300,290
2023-05-13,13,Armenia,Brunette - Future Lover,1%,251,151,101,67,101,151,126,200,101,101,67,67,67,67,101,300,250
2023-05-13,14,Australia,Voyager - Promise,1%,251,201,151,151,151,151,126,200,126,101,67,81,81,67,151,300,430
2023-05-13,15,Czechia,Vesna - My Sister's Crown,<1%,251,301,151,151,201,251,151,150,101,126,81,101,101,81,101,1000,1000
2023-05-13,16,Switzerland,Remo Forrer - Watergun,<1%,501,251,151,251,251,251,251,350,201,201,101,151,151,101,126,500,870
2023-05-13,17,Poland,Blanka - Solo,<1%,501,301,251,226,301,301,251,350,201,201,201,201,201,151,251,500,510
2023-05-13,18,Germany,Lord Of The Lost - Blood & Glitter,<1%,1001,301,251,251,151,301,251,250,201,201,101,201,201,201,151,500,830
2023-05-13,19,Slovenia,Joker Out - Carpe Diem,<1%,1001,301,151,251,301,251,201,350,201,201,151,201,201,151,151,1000,1000
2023-05-13,20,Cyprus,A. Lambrou - Break a Broken Heart,<1%,1001,251,251,251,301,501,251,250,201,151,201,201,201,201,201,500,880
2023-05-13,21,Estonia,Alika - Bridges,<1%,1001,301,301,301,301,301,251,300,201,251,201,251,251,201,201,500,440
2023-05-13,22,Moldova,Pasha Parfeni - Soarele și Luna,<1%,1001,301,251,301,501,301,251,350,201,251,201,201,201,101,151,1000,850
2023-05-13,23,Serbia,Luke Black - Samo mi se spava,<1%,1001,301,301,276,301,501,501,350,301,251,151,251,251,201,151,1000,1000
2023-05-13,24,Portugal,Mimicat - Ai Coração,<1%,1001,501,501,301,501,301,501,350,226,251,151,251,251,251,251,1000,1000
2023-05-13,25,Lithuania,Monika Linkytė - Stay,<1%,1001,401,301,301,501,301,501,350,301,301,251,251,251,351,251,1000,1000
2023-05-13,26,Albania,Albina & Familja Kelmendi - Duje,<1%,1001,501,501,501,751,1001,501,500,501,251,201,251,251,501,301,1000,1000
