poll,country,points
Albania,Sweden,12
Albania,Finland,10
Albania,Austria,8
Albania,United Kingdom,7
Albania,France,6
Albania,Norway,5
Albania,Czechia,4
Albania,Israel,3
Albania,Spain,2
Albania,Slovenia,1
Andorra,Finland,12
Andorra,Spain,10
Andorra,Sweden,8
Andorra,France,7
Andorra,United Kingdom,6
Andorra,Italy,5
Andorra,Austria,4
Andorra,Slovenia,3
Andorra,Norway,2
Andorra,Israel,1
Armenia,Sweden,12
Armenia,Austria,10
Armenia,Israel,8
Armenia,Finland,7
Armenia,Norway,6
Armenia,France,5
Armenia,United Kingdom,4
Armenia,Spain,3
Armenia,Georgia,2
Armenia,Czechia,1
Australia,Finland,12
Australia,Sweden,10
Australia,Austria,8
Australia,France,7
Australia,Norway,6
Australia,United Kingdom,5
Australia,Czechia,4
Australia,Cyprus,3
Australia,Serbia,2
Australia,Moldova,1
Austria,Finland,12
Austria,Sweden,10
Austria,France,8
Austria,Norway,7
Austria,Italy,6
Austria,Belgium,5
Austria,United Kingdom,4
Austria,Moldova,3
Austria,Czechia,2
Austria,Israel,1
Azerbaijan,Sweden,12
Azerbaijan,Norway,10
Azerbaijan,Austria,8
Azerbaijan,Spain,7
Azerbaijan,United Kingdom,6
Azerbaijan,Finland,5
Azerbaijan,Italy,4
Azerbaijan,Czechia,3
Azerbaijan,Israel,2
Azerbaijan,France,1
Belgium,Sweden,12
Belgium,Finland,10
Belgium,France,8
Belgium,Norway,7
Belgium,Austria,6
Belgium,Italy,5
Belgium,United Kingdom,4
Belgium,Israel,3
Belgium,Czechia,2
Belgium,Slovenia,1
Bulgaria,Finland,12
Bulgaria,Czechia,10
Bulgaria,Austria,8
Bulgaria,Sweden,7
Bulgaria,Norway,6
Bulgaria,France,5
Bulgaria,Slovenia,4
Bulgaria,Spain,3
Bulgaria,United Kingdom,2
Bulgaria,Armenia,1
Croatia,Norway,12
Croatia,Sweden,10
Croatia,Finland,8
Croatia,Slovenia,7
Croatia,Italy,6
Croatia,Austria,5
Croatia,Spain,4
Croatia,United Kingdom,3
Croatia,Czechia,2
Croatia,Armenia,1
Cyprus,Sweden,12
Cyprus,France,10
Cyprus,Finland,8
Cyprus,Norway,7
Cyprus,Israel,6
Cyprus,Italy,5
Cyprus,United Kingdom,4
Cyprus,Austria,3
Cyprus,Czechia,2
Cyprus,Greece,1
Czechia,Sweden,12
Czechia,France,10
Czechia,Norway,8
Czechia,Austria,7
Czechia,Finland,6
Czechia,Italy,5
Czechia,Israel,4
Czechia,United Kingdom,3
Czechia,Switzerland,2
Czechia,Moldova,1
Denmark,Sweden,12
Denmark,Finland,10
Denmark,France,8
Denmark,Norway,7
Denmark,Italy,6
Denmark,United Kingdom,5
Denmark,Austria,4
Denmark,Serbia,3
Denmark,Germany,2
Denmark,Portugal,1
Estonia,Sweden,12
Estonia,Finland,10
Estonia,France,8
Estonia,Italy,7
Estonia,Switzerland,6
Estonia,Israel,5
Estonia,Netherlands,4
Estonia,Austria,3
Estonia,United Kingdom,2
