date,position,song,artist,popularity
2023-05-11,1,Tattoo,Loreen,84
2023-05-11,2,Queen of Kings,Alessandra,79
2023-05-11,3,Due Vite,Marco Mengoni,77
2023-05-11,4,Cha Cha Cha,Käärijä,75
2023-05-11,5,Évidemment,La Zarra,72
2023-05-11,6,I Wrote A Song,Mae Muller,71
2023-05-11,7,Solo,BLANKA,71
2023-05-11,8,Who the Hell Is Edgar?,TEYA,69
2023-05-11,9,Unicorn,Noa Kirel,69
2023-05-11,10,Burning Daylight,Mia Nicolai,69
2023-05-11,11,My Sister's Crown,Vesna,68
2023-05-11,12,Future Lover,Brunette,65
2023-05-11,13,Heart of Steel - Eurovision Version,TVORCHI,64
2023-05-11,14,Carpe Diem,Joker Out,64
2023-05-11,15,Because Of You,Gustaph,64
2023-05-11,16,Soarele si Luna,Pasha Parfeni,63
2023-05-11,17,Watergun,Remo Forrer,63
2023-05-11,18,Samo mi se spava,Luke Black,63
2023-05-11,19,EAEA,Blanca Paloma,63
2023-05-11,20,Ai Coração,Various Artists,62
2023-05-11,21,Break a Broken Heart,Andrew Lambrou,62
2023-05-11,22,Breaking My Heart,Reiley,62
2023-05-11,23,Promise,Voyager,61
2023-05-11,24,Bridges,ALIKA,61
2023-05-11,25,POWER,Diljá,60
2023-05-11,26,Echo - Eurovision 2023 - Georgia,Iru,60
2023-05-11,27,Mama ŠČ!,Let 3,60
2023-05-11,28,Dance (Our Own Party),The Busker,60
2023-05-11,29,Aijā,Sudden Lights,60
2023-05-11,30,Blood & Glitter,Lord Of The Lost,59
2023-05-11,31,We Are One,Wild Youth,59
2023-05-11,32,Stay,Monika Linkyte,58
2023-05-11,33,What They Say,Victor Vernicos,58
2023-05-11,34,Tell Me More,TuralTuranX,58
2023-05-11,35,D.G.T (Off And On),Theodor Andrei,57
2023-05-11,36,Like an Animal,Piqued Jacks,55
2023-05-11,37,Duje (Fest 61-live version),Albina dhe familja Kelmendi,55
