PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Mr,male,22.0,1,0,A/5 21171,7.25,,S
3,1,3,Miss,female,26.0,0,0,STON/O2. 3101282,7.925,,S
5,0,3,Mr,male,35.0,0,0,373450,8.05,,S
6,0,3,Mr,male,25.14061971830986,0,0,330877,8.4583,,Q
8,0,3,Master,male,2.0,3,1,349909,21.075,,S
9,1,3,Mrs,female,27.0,0,2,347742,11.1333,,S
11,1,3,Miss,female,4.0,1,1,PP 9549,16.7,G6,S
13,0,3,Mr,male,20.0,0,0,A/5. 2151,8.05,,S
14,0,3,Mr,male,39.0,1,5,347082,31.275,,S
15,0,3,Miss,female,14.0,0,0,350406,7.8542,,S
17,0,3,Master,male,2.0,4,1,382652,29.125,,Q
19,0,3,Mrs,female,31.0,1,0,345763,18.0,,S
20,1,3,Mrs,female,25.14061971830986,0,0,2649,7.225,,C
23,1,3,Miss,female,15.0,0,0,330923,8.0292,,Q
25,0,3,Miss,female,8.0,3,1,349909,21.075,,S
26,1,3,Mrs,female,38.0,1,5,347077,31.3875,,S
27,0,3,Mr,male,25.14061971830986,0,0,2631,7.225,,C
29,1,3,Miss,female,25.14061971830986,0,0,330959,7.8792,,Q
30,0,3,Mr,male,25.14061971830986,0,0,349216,7.8958,,S
33,1,3,Miss,female,25.14061971830986,0,0,335677,7.75,,Q
37,1,3,Mr,male,25.14061971830986,0,0,2677,7.2292,,C
38,0,3,Mr,male,21.0,0,0,A./5. 2152,8.05,,S
39,0,3,Miss,female,18.0,2,0,345764,18.0,,S
40,1,3,Miss,female,14.0,1,0,2651,11.2417,,C
41,0,3,Mrs,female,40.0,1,0,7546,9.475,,S
43,0,3,Mr,male,25.14061971830986,0,0,349253,7.8958,,C
45,1,3,Miss,female,19.0,0,0,330958,7.8792,,Q
46,0,3,Mr,male,25.14061971830986,0,0,S.C./A.4. 23567,8.05,,S
47,0,3,Mr,male,25.14061971830986,1,0,370371,15.5,,Q
48,1,3,Miss,female,25.14061971830986,0,0,14311,7.75,,Q
49,0,3,Mr,male,25.14061971830986,2,0,2662,21.6792,,C
50,0,3,Mrs,female,18.0,1,0,349237,17.8,,S
51,0,3,Master,male,7.0,4,1,3101295,39.6875,,S
52,0,3,Mr,male,21.0,0,0,A/4. 39886,7.8,,S
58,0,3,Mr,male,28.5,0,0,2697,7.2292,,C
60,0,3,Master,male,11.0,5,2,CA 2144,46.9,,S
61,0,3,Mr,male,22.0,0,0,2669,7.2292,,C
64,0,3,Master,male,4.0,3,2,347088,27.9,,S
66,1,3,Master,male,25.14061971830986,1,1,2661,15.2458,,C
68,0,3,Mr,male,19.0,0,0,S.P. 3464,8.1583,,S
69,1,3,Miss,female,17.0,4,2,3101281,7.925,,S
70,0,3,Mr,male,26.0,2,0,315151,8.6625,,S
72,0,3,Miss,female,16.0,5,2,CA 2144,46.9,,S
74,0,3,Mr,male,26.0,1,0,2680,14.4542,,C
75,1,3,Mr,male,32.0,0,0,1601,56.4958,,S
76,0,3,Mr,male,25.0,0,0,348123,7.65,F G73,S
77,0,3,Mr,male,25.14061971830986,0,0,349208,7.8958,,S
78,0,3,Mr,male,25.14061971830986,0,0,374746,8.05,,S
80,1,3,Miss,female,30.0,0,0,364516,12.475,,S
81,0,3,Mr,male,22.0,0,0,345767,9.0,,S
82,1,3,Mr,male,29.0,0,0,345779,9.5,,S
83,1,3,Miss,female,25.14061971830986,0,0,330932,7.7875,,Q
86,1,3,Mrs,female,33.0,3,0,3101278,15.85,,S
87,0,3,Mr,male,16.0,1,3,W./C. 6608,34.375,,S
88,0,3,Mr,male,25.14061971830986,0,0,SOTON/OQ 392086,8.05,,S
90,0,3,Mr,male,24.0,0,0,343275,8.05,,S
91,0,3,Mr,male,29.0,0,0,343276,8.05,,S
92,0,3,Mr,male,20.0,0,0,347466,7.8542,,S
94,0,3,Mr,male,26.0,1,2,C.A. 2315,20.575,,S
95,0,3,Mr,male,59.0,0,0,364500,7.25,,S
96,0,3,Mr,male,25.14061971830986,0,0,374910,8.05,,S
101,0,3,Miss,female,28.0,0,0,349245,7.8958,,S
102,0,3,Mr,male,25.14061971830986,0,0,349215,7.8958,,S
104,0,3,Mr,male,33.0,0,0,7540,8.6542,,S
105,0,3,Mr,male,37.0,2,0,3101276,7.925,,S
106,0,3,Mr,male,28.0,0,0,349207,7.8958,,S
107,1,3,Miss,female,21.0,0,0,343120,7.65,,S
108,1,3,Mr,male,25.14061971830986,0,0,312991,7.775,,S
109,0,3,Mr,male,38.0,0,0,349249,7.8958,,S
110,1,3,Miss,female,25.14061971830986,1,0,371110,24.15,,Q
112,0,3,Miss,female,14.5,1,0,2665,14.4542,,C
113,0,3,Mr,male,22.0,0,0,324669,8.05,,S
114,0,3,Miss,female,20.0,1,0,4136,9.825,,S
115,0,3,Miss,female,17.0,0,0,2627,14.4583,,C
116,0,3,Mr,male,21.0,0,0,STON/O 2. 3101294,7.925,,S
117,0,3,Mr,male,70.5,0,0,370369,7.75,,Q
120,0,3,Miss,female,2.0,4,2,347082,31.275,,S
122,0,3,Mr,male,25.14061971830986,0,0,A4. 54510,8.05,,S
126,1,3,Master,male,12.0,1,0,2651,11.2417,,C
127,0,3,Mr,male,25.14061971830986,0,0,370372,7.75,,Q
128,1,3,Mr,male,24.0,0,0,C 17369,7.1417,,S
129,1,3,Miss,female,25.14061971830986,1,1,2668,22.3583,F E69,C
130,0,3,Mr,male,45.0,0,0,347061,6.975,,S
131,0,3,Mr,male,33.0,0,0,349241,7.8958,,C
132,0,3,Mr,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S
133,0,3,Mrs,female,47.0,1,0,A/5. 3337,14.5,,S
139,0,3,Mr,male,16.0,0,0,7534,9.2167,,S
141,0,3,Mrs,female,25.14061971830986,0,2,2678,15.2458,,C
142,1,3,Miss,female,22.0,0,0,347081,7.75,,S
143,1,3,Mrs,female,24.0,1,0,STON/O2. 3101279,15.85,,S
144,0,3,Mr,male,19.0,0,0,365222,6.75,,Q
147,1,3,Mr,male,27.0,0,0,350043,7.7958,,S
148,0,3,Miss,female,9.0,2,2,W./C. 6608,34.375,,S
153,0,3,Mr,male,55.5,0,0,A.5. 11206,8.05,,S
154,0,3,Mr,male,40.5,0,2,A/5. 851,14.5,,S
155,0,3,Mr,male,25.14061971830986,0,0,Fa 265302,7.3125,,S
157,1,3,Miss,female,16.0,0,0,35851,7.7333,,Q
158,0,3,Mr,male,30.0,0,0,SOTON/OQ 392090,8.05,,S
159,0,3,Mr,male,25.14061971830986,0,0,315037,8.6625,,S
160,0,3,Master,male,25.14061971830986,8,2,CA. 2343,69.55,,S
161,0,3,Mr,male,44.0,0,1,371362,16.1,,S
163,0,3,Mr,male,26.0,0,0,347068,7.775,,S
164,0,3,Mr,male,17.0,0,0,315093,8.6625,,S
165,0,3,Master,male,1.0,4,1,3101295,39.6875,,S
166,1,3,Master,male,9.0,0,2,363291,20.525,,S
168,0,3,Mrs,female,45.0,1,4,347088,27.9,,S
170,0,3,Mr,male,28.0,0,0,1601,56.4958,,S
172,0,3,Master,male,4.0,4,1,382652,29.125,,Q
173,1,3,Miss,female,1.0,1,1,347742,11.1333,,S
174,0,3,Mr,male,21.0,0,0,STON/O 2. 3101280,7.925,,S
176,0,3,Mr,male,18.0,1,1,350404,7.8542,,S
177,0,3,Master,male,25.14061971830986,3,1,4133,25.4667,,S
180,0,3,Mr,male,36.0,0,0,LINE,0.0,,S
181,0,3,Miss,female,25.14061971830986,8,2,CA. 2343,69.55,,S
183,0,3,Master,male,9.0,4,2,347077,31.3875,,S
185,1,3,Miss,female,4.0,0,2,315153,22.025,,S
187,1,3,Mrs,female,25.14061971830986,1,0,370365,15.5,,Q
189,0,3,Mr,male,40.0,1,1,364849,15.5,,Q
190,0,3,Mr,male,36.0,0,0,349247,7.8958,,S
193,1,3,Miss,female,19.0,1,0,350046,7.8542,,S
197,0,3,Mr,male,25.14061971830986,0,0,368703,7.75,,Q
198,0,3,Mr,male,42.0,0,1,4579,8.4042,,S
199,1,3,Miss,female,25.14061971830986,0,0,370370,7.75,,Q
201,0,3,Mr,male,28.0,0,0,345770,9.5,,S
202,0,3,Mr,male,25.14061971830986,8,2,CA. 2343,69.55,,S
203,0,3,Mr,male,34.0,0,0,3101264,6.4958,,S
204,0,3,Mr,male,45.5,0,0,2628,7.225,,C
205,1,3,Mr,male,18.0,0,0,A/5 3540,8.05,,S
206,0,3,Miss,female,2.0,0,1,347054,10.4625,G6,S
207,0,3,Mr,male,32.0,1,0,3101278,15.85,,S
208,1,3,Mr,male,26.0,0,0,2699,18.7875,,C
209,1,3,Miss,female,16.0,0,0,367231,7.75,,Q
211,0,3,Mr,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S
213,0,3,Mr,male,22.0,0,0,A/5 21174,7.25,,S
215,0,3,Mr,male,25.14061971830986,1,0,367229,7.75,,Q
217,1,3,Miss,female,27.0,0,0,STON/O2. 3101283,7.925,,S
221,1,3,Mr,male,16.0,0,0,SOTON/OQ 392089,8.05,,S
223,0,3,Mr,male,51.0,0,0,21440,8.05,,S
224,0,3,Mr,male,25.14061971830986,0,0,349234,7.8958,,S
226,0,3,Mr,male,22.0,0,0,PP 4348,9.35,,S
228,0,3,Mr,male,20.5,0,0,A/5 21173,7.25,,S
