Symbol,Name,Price,Change,market cap,PE_ratio
BRK-B,Berkshire Hathaway Inc.,321.26,-1.38,709.361B,N/A
V,Visa Inc.,230.76,-0.25,483.304B,30.81
JPM,JPMorgan Chase & Co.,133.89,-2.16,392.325B,9.90
MA,Mastercard Incorporated,380.21,-3.18,359.338B,37.85
JPM-PD,JPMorgan Chase & Co.,24.57,-0.08,326.427B,1.82
JPM-PC,JPMorgan Chase & Co.,25.02,-0.09,328.207B,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.06,-0.33,215.526B,8.10
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.022B,5.22
WFC-PY,Wells Fargo & Company,22.36,+0.01,182.577B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.47,+0.02,151.092B,6.79
MS,Morgan Stanley,82.28,-0.35,139.17B,14.30
WFC,Wells Fargo & Company,37.35,-0.97,141.079B,10.86
RY,Royal Bank of Canada,95.68,-0.54,133.217B,12.20
HDB,HDFC Bank Limited,67.78,+0.65,126.149B,26.17
V,Visa Inc.,230.82,-0.18,483.44B,30.82
JPM,JPMorgan Chase & Co.,133.91,-2.14,392.56B,9.90
MA,Mastercard Incorporated,380.21,-3.18,359.499B,37.87
JPM-PD,JPMorgan Chase & Co.,24.57,-0.08,326.427B,1.82
JPM-PC,JPMorgan Chase & Co.,25.01,-0.10,328.076B,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.06,-0.33,215.605B,8.10
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.022B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.47,+0.02,151.092B,6.79
MS,Morgan Stanley,82.30,-0.33,139.221B,14.31
WFC,Wells Fargo & Company,37.37,-0.97,141.116B,10.86
RY,Royal Bank of Canada,95.68,-0.54,133.217B,12.20
HDB,HDFC Bank Limited,67.78,+0.65,126.149B,26.17
WFC-PC,Wells Fargo & Company,17.25,+0.09,123.026B,3.57
JPM,JPMorgan Chase & Co.,133.90,-2.15,392.53B,9.90
MA,Mastercard Incorporated,380.21,-3.18,359.499B,37.87
JPM-PD,JPMorgan Chase & Co.,24.57,-0.08,326.427B,1.82
JPM-PC,JPMorgan Chase & Co.,25.01,-0.10,328.076B,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.06,-0.33,215.644B,8.10
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.022B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.47,+0.02,151.092B,6.79
MS,Morgan Stanley,82.28,-0.35,139.229B,14.31
WFC,Wells Fargo & Company,37.35,-0.98,141.154B,10.86
RY,Royal Bank of Canada,95.84,-0.38,133.442B,12.22
HDB,HDFC Bank Limited,67.79,+0.66,126.149B,26.17
WFC-PC,Wells Fargo & Company,17.25,+0.09,123.026B,3.57
GS,"The Goldman Sachs Group, Inc.",318.98,-1.74,106.714B,11.43
MA,Mastercard Incorporated,380.36,-3.03,359.463B,37.87
JPM-PD,JPMorgan Chase & Co.,24.59,-0.06,326.693B,1.82
JPM-PC,JPMorgan Chase & Co.,25.02,-0.09,328.207B,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.08,-0.31,215.609B,8.10
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.022B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.50,+0.05,151.092B,6.79
MS,Morgan Stanley,82.30,-0.33,139.221B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.116B,10.86
RY,Royal Bank of Canada,95.84,-0.38,133.442B,12.22
HDB,HDFC Bank Limited,67.80,+0.67,126.158B,26.17
WFC-PC,Wells Fargo & Company,17.25,+0.09,123.026B,3.57
GS,"The Goldman Sachs Group, Inc.",318.99,-1.73,106.774B,11.43
SPGI,S&P Global Inc.,358.29,-2.00,114.939B,43.75
JPM-PD,JPMorgan Chase & Co.,24.59,-0.06,326.693B,1.82
JPM-PC,JPMorgan Chase & Co.,25.02,-0.09,328.207B,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.08,-0.31,215.799B,8.11
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.022B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.193B,6.79
MS,Morgan Stanley,82.32,-0.31,139.263B,14.31
WFC,Wells Fargo & Company,37.42,-0.91,141.286B,10.87
RY,Royal Bank of Canada,95.87,-0.35,133.442B,12.22
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.25,+0.09,123.026B,3.57
GS,"The Goldman Sachs Group, Inc.",319.12,-1.60,106.777B,11.43
SPGI,S&P Global Inc.,358.21,-2.08,114.939B,43.75
C,Citigroup Inc.,45.40,-0.63,88.976B,6.28
JPM-PC,JPMorgan Chase & Co.,25.00,-0.11,327.945B,1.85
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.08,-0.31,215.844B,8.11
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.022B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.31,-0.32,139.289B,14.32
WFC,Wells Fargo & Company,37.42,-0.91,141.362B,10.88
