ID,Target
ID_6L67PAA x m1,7.819500635529456
ID_6L67PAA x m2,7.683499841088773
ID_6L67PAA x m3,7.5832960023710765
ID_6L67PAA x m4,7.853500834139627
ID_6L67PAA x m5,8.07450212510574
ID_6L67PAA x m6,7.531814487895545
ID_VJ80SX2 x m1,8.07450212510574
ID_VJ80SX2 x m2,7.819500635529456
ID_VJ80SX2 x m3,7.666499741783688
ID_VJ80SX2 x m4,7.836500734834543
ID_VJ80SX2 x m5,7.853500834139627
ID_VJ80SX2 x m6,8.07450212510574
ID_7OU9HLK x m1,7.768500337614201
ID_7OU9HLK x m2,7.734500139004029
ID_7OU9HLK x m3,7.598499344563345
ID_7OU9HLK x m4,8.125502423020995
ID_7OU9HLK x m5,7.938501330665055
ID_7OU9HLK x m6,7.870500933444713
ID_WVWTPGK x m1,8.176502720936252
ID_WVWTPGK x m2,7.683499841088773
ID_WVWTPGK x m3,7.989501628580312
ID_WVWTPGK x m4,7.666499741783688
ID_WVWTPGK x m5,7.938501330665055
ID_WVWTPGK x m6,7.836500734834543
ID_04DSDQS x m1,7.92150123135997
ID_04DSDQS x m2,7.938501330665055
ID_04DSDQS x m3,8.057502025800654
ID_04DSDQS x m4,7.768500337614201
ID_04DSDQS x m5,8.040501926495569
ID_04DSDQS x m6,8.159502621631166
ID_4BNXJX1 x m1,7.513498848037918
ID_4BNXJX1 x m2,8.091502224410824
ID_4BNXJX1 x m3,8.142502522326081
ID_4BNXJX1 x m4,7.649499642478602
ID_4BNXJX1 x m5,7.683499841088773
ID_4BNXJX1 x m6,8.023501827190483
ID_6YZEOBD x m1,7.887501032749799
ID_6YZEOBD x m2,7.649499642478602
ID_6YZEOBD x m3,7.666499741783688
ID_6YZEOBD x m4,8.159502621631166
ID_6YZEOBD x m5,7.7004999403938585
ID_6YZEOBD x m6,7.615499443868431
ID_7AKUMTZ x m1,7.531814487895545
ID_7AKUMTZ x m2,7.972501529275226
ID_7AKUMTZ x m3,7.972501529275226
ID_7AKUMTZ x m4,7.92150123135997
ID_7AKUMTZ x m5,7.58149924525826
ID_7AKUMTZ x m6,7.717500039698944
ID_22PA8JG x m1,7.531814487895545
ID_22PA8JG x m2,8.193502820241338
ID_22PA8JG x m3,7.836500734834543
ID_22PA8JG x m4,7.836500734834543
ID_22PA8JG x m5,7.666499741783688
ID_22PA8JG x m6,8.176502720936252
ID_TM3XAXK x m1,7.955501429970141
ID_TM3XAXK x m2,8.057502025800654
