ID,Target
ID_6L67PAA x m1,8.211647
ID_6L67PAA x m2,8.206126
ID_6L67PAA x m3,8.15852
ID_6L67PAA x m4,8.212979
ID_6L67PAA x m5,8.225452
ID_6L67PAA x m6,8.20041
ID_VJ80SX2 x m1,8.225452
ID_VJ80SX2 x m2,8.211647
ID_VJ80SX2 x m3,8.205394
ID_VJ80SX2 x m4,8.212314
ID_VJ80SX2 x m5,8.212979
ID_VJ80SX2 x m6,8.225452
ID_7OU9HLK x m1,8.209649
ID_7OU9HLK x m2,8.208299
ID_7OU9HLK x m3,8.202242
ID_7OU9HLK x m4,8.228855
ID_7OU9HLK x m5,8.216822
ID_7OU9HLK x m6,8.213618
ID_WVWTPGK x m1,8.232283
ID_WVWTPGK x m2,8.206126
ID_WVWTPGK x m3,8.220058
ID_WVWTPGK x m4,8.205394
ID_WVWTPGK x m5,8.216822
ID_WVWTPGK x m6,8.212314
ID_04DSDQS x m1,8.215775
ID_04DSDQS x m2,8.216822
ID_04DSDQS x m3,8.224374
ID_04DSDQS x m4,8.209649
ID_04DSDQS x m5,8.223294
ID_04DSDQS x m6,8.23114
ID_4BNXJX1 x m1,8.199926
ID_4BNXJX1 x m2,8.226569
ID_4BNXJX1 x m3,8.229998
ID_4BNXJX1 x m4,8.204616
ID_4BNXJX1 x m5,8.206126
ID_4BNXJX1 x m6,8.222216
ID_6YZEOBD x m1,8.214203
ID_6YZEOBD x m2,8.204616
ID_6YZEOBD x m3,8.205394
ID_6YZEOBD x m4,8.23114
ID_6YZEOBD x m5,8.206851
ID_6YZEOBD x m6,8.202989
ID_7AKUMTZ x m1,8.20041
ID_7AKUMTZ x m2,8.21898
ID_7AKUMTZ x m3,8.21898
ID_7AKUMTZ x m4,8.215775
ID_7AKUMTZ x m5,8.201724
ID_7AKUMTZ x m6,8.207575
ID_22PA8JG x m1,8.20041
ID_22PA8JG x m2,8.233425
ID_22PA8JG x m3,8.212314
ID_22PA8JG x m4,8.212314
ID_22PA8JG x m5,8.205394
ID_22PA8JG x m6,8.232283
ID_TM3XAXK x m1,8.2179
ID_TM3XAXK x m2,8.224374
ID_TM3XAXK x m3,8.204616
ID_TM3XAXK x m4,8.229998
ID_TM3XAXK x m5,8.223294
ID_TM3XAXK x m6,8.245868
ID_ZLW8XIB x m1,8.207575
ID_ZLW8XIB x m2,8.233425
ID_ZLW8XIB x m3,8.216822
ID_ZLW8XIB x m4,8.212979
ID_ZLW8XIB x m5,8.204616
ID_ZLW8XIB x m6,8.213618
ID_1BNGN87 x m1,8.214203
ID_1BNGN87 x m2,8.24474
ID_1BNGN87 x m3,8.210981
ID_1BNGN87 x m4,8.223998
ID_1BNGN87 x m5,8.216258
ID_1BNGN87 x m6,8.225452
ID_Q3HMVET x m1,8.202242
ID_Q3HMVET x m2,8.200098
ID_Q3HMVET x m3,8.240228
ID_Q3HMVET x m4,8.207575
ID_Q3HMVET x m5,8.197241
ID_Q3HMVET x m6,8.206126
ID_6NI55NC x m1,8.212979
ID_6NI55NC x m2,8.200824
ID_6NI55NC x m3,8.197941
ID_6NI55NC x m4,8.2179
ID_6NI55NC x m5,8.214787
ID_6NI55NC x m6,8.2179
ID_DQ0DH6B x m1,8.217322
ID_DQ0DH6B x m2,8.210981
ID_DQ0DH6B x m3,8.20041
ID_DQ0DH6B x m4,8.161815
ID_DQ0DH6B x m5,8.217322
ID_DQ0DH6B x m6,8.219486
ID_O25689X x m1,8.20765
ID_O25689X x m2,8.133385
ID_O25689X x m3,8.232283
ID_O25689X x m4,8.200824
ID_O25689X x m5,7.223992
ID_O25689X x m6,8.214787
ID_36O2OB3 x m1,8.203866
ID_36O2OB3 x m2,8.177991
ID_36O2OB3 x m3,8.194115
ID_36O2OB3 x m4,8.214787
ID_36O2OB3 x m5,8.203793
ID_36O2OB3 x m6,8.120213
ID_OGPN17A x m1,8.2089815
ID_OGPN17A x m2,6.687134
ID_OGPN17A x m3,8.20765
ID_OGPN17A x m4,8.206126
ID_OGPN17A x m5,8.138946
ID_OGPN17A x m6,8.207575
ID_ZTUW0C5 x m1,8.195378
ID_ZTUW0C5 x m2,8.171229
ID_ZTUW0C5 x m3,8.208729
ID_ZTUW0C5 x m4,8.173765
ID_ZTUW0C5 x m5,8.237534
ID_ZTUW0C5 x m6,8.206572
ID_4Q7KSVX x m1,8.23415
ID_4Q7KSVX x m2,8.202256
ID_4Q7KSVX x m3,8.227383
ID_4Q7KSVX x m4,8.227383
ID_4Q7KSVX x m5,8.2105875
ID_4Q7KSVX x m6,8.23114
ID_F5UIJTT x m1,8.2089815
ID_F5UIJTT x m2,8.276834
ID_F5UIJTT x m3,8.20041
ID_F5UIJTT x m4,8.203335
ID_F5UIJTT x m5,8.199019
ID_F5UIJTT x m6,7.7865186
ID_16G4N9X x m1,8.195378
ID_16G4N9X x m2,8.170146
ID_16G4N9X x m3,8.199019
ID_16G4N9X x m4,8.130777
ID_16G4N9X x m5,8.213044
ID_16G4N9X x m6,8.21898
ID_DPTU9YK x m1,8.217322
ID_DPTU9YK x m2,8.208729
ID_DPTU9YK x m3,8.218386
ID_DPTU9YK x m4,8.225126
ID_DPTU9YK x m5,8.233022
ID_DPTU9YK x m6,8.196011
ID_BNYM56N x m1,8.197274
ID_BNYM56N x m2,8.191588
ID_BNYM56N x m3,8.200098
ID_BNYM56N x m4,8.210886
ID_BNYM56N x m5,8.22851
ID_BNYM56N x m6,8.214123
ID_K1YSI7Y x m1,8.19222
ID_K1YSI7Y x m2,8.210886
ID_K1YSI7Y x m3,8.20765
ID_K1YSI7Y x m4,8.194747
ID_K1YSI7Y x m5,8.197941
ID_K1YSI7Y x m6,8.206572
ID_DIAFK3H x m1,8.157499
ID_DIAFK3H x m2,8.197941
ID_DIAFK3H x m3,8.192851
ID_DIAFK3H x m4,8.201178
ID_DIAFK3H x m5,8.206572
ID_DIAFK3H x m6,8.213044
ID_4DEUHL6 x m1,8.221742
ID_4DEUHL6 x m2,8.209807
ID_4DEUHL6 x m3,8.195378
ID_4DEUHL6 x m4,8.202256
ID_4DEUHL6 x m5,8.197274
ID_4DEUHL6 x m6,8.208729
ID_KFRKAVC x m1,8.196011
ID_KFRKAVC x m2,8.194115
ID_KFRKAVC x m3,8.190956
ID_KFRKAVC x m4,8.199019
ID_KFRKAVC x m5,8.220614
ID_KFRKAVC x m6,8.209807
ID_UOT1MF3 x m1,8.195378
ID_UOT1MF3 x m2,8.204413
ID_UOT1MF3 x m3,8.211966
ID_UOT1MF3 x m4,8.191588
ID_UOT1MF3 x m5,8.208729
ID_UOT1MF3 x m6,8.197274
ID_3LL2DY5 x m1,8.216258
ID_3LL2DY5 x m2,8.197941
ID_3LL2DY5 x m3,8.225126
ID_3LL2DY5 x m4,8.205493
ID_3LL2DY5 x m5,8.221742
ID_3LL2DY5 x m6,8.19222
ID_F95K9HA x m1,8.139504
ID_F95K9HA x m2,8.201178
ID_F95K9HA x m3,8.214123
ID_F95K9HA x m4,8.204413
ID_F95K9HA x m5,8.250992
ID_F95K9HA x m6,8.195378
ID_F0XZ25Q x m1,8.200098
ID_F0XZ25Q x m2,8.202256
ID_F0XZ25Q x m3,8.210886
ID_F0XZ25Q x m4,8.201178
ID_F0XZ25Q x m5,8.221742
ID_F0XZ25Q x m6,8.227383
ID_0U9QWZ8 x m1,8.19222
ID_0U9QWZ8 x m2,8.196011
ID_0U9QWZ8 x m3,8.19222
ID_0U9QWZ8 x m4,8.196643
ID_0U9QWZ8 x m5,8.199019
ID_0U9QWZ8 x m6,8.194115
ID_96P10ZQ x m1,8.211966
ID_96P10ZQ x m2,8.196011
ID_96P10ZQ x m3,8.196011
ID_96P10ZQ x m4,8.204413
ID_96P10ZQ x m5,8.197941
ID_96P10ZQ x m6,8.196011
ID_DQKOLGV x m1,8.230766
ID_DQKOLGV x m2,8.202256
ID_DQKOLGV x m3,8.197274
ID_DQKOLGV x m4,8.20765
ID_DQKOLGV x m5,8.200098
ID_DQKOLGV x m6,8.195378
ID_3CKJLY2 x m1,8.197274
ID_3CKJLY2 x m2,8.192851
ID_3CKJLY2 x m3,8.22851
ID_3CKJLY2 x m4,8.193483
ID_3CKJLY2 x m5,8.223998
ID_3CKJLY2 x m6,8.191637
ID_LGHVCHY x m1,8.201178
ID_LGHVCHY x m2,8.197941
ID_LGHVCHY x m3,8.194747
ID_LGHVCHY x m4,8.192851
ID_LGHVCHY x m5,8.208729
ID_LGHVCHY x m6,8.217322
ID_4SD0PDQ x m1,8.22287
ID_4SD0PDQ x m2,8.197274
ID_4SD0PDQ x m3,8.194747
ID_4SD0PDQ x m4,8.216258
ID_4SD0PDQ x m5,8.2318945
ID_4SD0PDQ x m6,8.223998
ID_P4QR91O x m1,8.197941
ID_P4QR91O x m2,8.216258
ID_P4QR91O x m3,8.208729
ID_P4QR91O x m4,8.202256
ID_P4QR91O x m5,8.201178
ID_P4QR91O x m6,8.230766
ID_Q6KY7OB x m1,8.191588
ID_Q6KY7OB x m2,8.199019
ID_Q6KY7OB x m3,8.190487
ID_Q6KY7OB x m4,8.202256
ID_Q6KY7OB x m5,8.199019
ID_Q6KY7OB x m6,8.221742
ID_44QE5VP x m1,8.20765
ID_44QE5VP x m2,8.191637
ID_44QE5VP x m3,8.195378
ID_44QE5VP x m4,8.20765
ID_44QE5VP x m5,8.216258
ID_44QE5VP x m6,8.195378
ID_JLQCIO4 x m1,8.196643
ID_JLQCIO4 x m2,8.221742
ID_JLQCIO4 x m3,8.197274
ID_JLQCIO4 x m4,8.210886
ID_JLQCIO4 x m5,8.229638
ID_JLQCIO4 x m6,8.200098
ID_MMX4UDJ x m1,8.194747
ID_MMX4UDJ x m2,8.217322
ID_MMX4UDJ x m3,8.208729
ID_MMX4UDJ x m4,8.197274
ID_MMX4UDJ x m5,8.213044
ID_MMX4UDJ x m6,8.214123
ID_8CV4H96 x m1,8.201178
ID_8CV4H96 x m2,8.220614
ID_8CV4H96 x m3,8.20765
ID_8CV4H96 x m4,8.200098
ID_8CV4H96 x m5,8.203335
ID_8CV4H96 x m6,8.220614
ID_YKEWJ2S x m1,8.220614
ID_YKEWJ2S x m2,8.203335
ID_YKEWJ2S x m3,8.201178
ID_YKEWJ2S x m4,8.194747
ID_YKEWJ2S x m5,8.219486
ID_YKEWJ2S x m6,8.193483
ID_Q2KJCXE x m1,8.202256
ID_Q2KJCXE x m2,8.217322
ID_Q2KJCXE x m3,8.196643
ID_Q2KJCXE x m4,8.211966
ID_Q2KJCXE x m5,8.221742
ID_Q2KJCXE x m6,8.195378
ID_6HNT2AW x m1,8.209807
ID_6HNT2AW x m2,8.197274
ID_6HNT2AW x m3,8.202256
ID_6HNT2AW x m4,8.196011
ID_6HNT2AW x m5,8.20765
ID_6HNT2AW x m6,8.191637
ID_SRSV8JP x m1,8.202256
ID_SRSV8JP x m2,8.215194
ID_SRSV8JP x m3,8.215194
ID_SRSV8JP x m4,8.205493
ID_SRSV8JP x m5,8.23415
ID_SRSV8JP x m6,8.192851
ID_HUUC633 x m1,8.208729
ID_HUUC633 x m2,8.215194
ID_HUUC633 x m3,8.205493
ID_HUUC633 x m4,8.208729
ID_HUUC633 x m5,8.195378
ID_HUUC633 x m6,8.196011
ID_Z0Z1KJG x m1,8.197274
ID_Z0Z1KJG x m2,8.204413
ID_Z0Z1KJG x m3,8.208729
ID_Z0Z1KJG x m4,8.230766
ID_Z0Z1KJG x m5,8.210886
ID_Z0Z1KJG x m6,8.19222
ID_OFCE0OY x m1,8.22851
ID_OFCE0OY x m2,8.199019
ID_OFCE0OY x m3,8.201178
ID_OFCE0OY x m4,8.201178
ID_OFCE0OY x m5,8.209807
ID_OFCE0OY x m6,8.194747
ID_8JGH52F x m1,8.203335
ID_8JGH52F x m2,8.213044
ID_8JGH52F x m3,8.215194
ID_8JGH52F x m4,8.219486
ID_8JGH52F x m5,8.206572
ID_8JGH52F x m6,8.23415
ID_LDBM3WE x m1,8.211966
ID_LDBM3WE x m2,8.203335
ID_LDBM3WE x m3,8.20765
ID_LDBM3WE x m4,8.221742
ID_LDBM3WE x m5,8.191588
ID_LDBM3WE x m6,8.199019
ID_AD1S39K x m1,8.240918
ID_AD1S39K x m2,8.204413
ID_AD1S39K x m3,8.194747
ID_AD1S39K x m4,8.196011
ID_AD1S39K x m5,8.220614
ID_AD1S39K x m6,8.213044
ID_LW63UHJ x m1,8.225126
ID_LW63UHJ x m2,8.194747
ID_LW63UHJ x m3,8.217322
ID_LW63UHJ x m4,8.210886
ID_LW63UHJ x m5,8.205493
ID_LW63UHJ x m6,8.209807
ID_290EB8N x m1,8.204413
ID_290EB8N x m2,8.197274
ID_290EB8N x m3,8.193483
ID_290EB8N x m4,8.22287
ID_290EB8N x m5,8.194747
ID_290EB8N x m6,8.213044
ID_PSQA45D x m1,8.201178
ID_PSQA45D x m2,8.204413
ID_PSQA45D x m3,8.191588
ID_PSQA45D x m4,8.197274
ID_PSQA45D x m5,8.210886
ID_PSQA45D x m6,8.221742
ID_8747KJU x m1,8.22851
ID_8747KJU x m2,8.216258
ID_8747KJU x m3,8.197274
ID_8747KJU x m4,8.193483
ID_8747KJU x m5,8.209807
ID_8747KJU x m6,8.191588
ID_VT05YRJ x m1,8.213044
ID_VT05YRJ x m2,8.199019
ID_VT05YRJ x m3,8.223998
ID_VT05YRJ x m4,8.196643
ID_VT05YRJ x m5,8.20765
ID_VT05YRJ x m6,8.205493
ID_OVVJI4H x m1,8.211966
ID_OVVJI4H x m2,8.210886
ID_OVVJI4H x m3,8.197274
ID_OVVJI4H x m4,8.217322
ID_OVVJI4H x m5,8.192851
ID_OVVJI4H x m6,8.197274
ID_3GAR7ET x m1,8.208729
ID_3GAR7ET x m2,8.215194
ID_3GAR7ET x m3,8.197274
ID_3GAR7ET x m4,8.197274
ID_3GAR7ET x m5,8.206572
ID_3GAR7ET x m6,8.229638
ID_FXWUUAC x m1,8.202256
ID_FXWUUAC x m2,8.203335
ID_FXWUUAC x m3,8.226254
ID_FXWUUAC x m4,8.223998
ID_FXWUUAC x m5,8.192851
ID_FXWUUAC x m6,8.22287
ID_GRREE4S x m1,8.205493
ID_GRREE4S x m2,8.233022
ID_GRREE4S x m3,8.211966
ID_GRREE4S x m4,8.205493
ID_GRREE4S x m5,8.213044
ID_GRREE4S x m6,8.197941
ID_NN68D8C x m1,8.193483
ID_NN68D8C x m2,8.194747
ID_NN68D8C x m3,8.227383
ID_NN68D8C x m4,8.196643
ID_NN68D8C x m5,8.213044
ID_NN68D8C x m6,8.22287
ID_Y0UQ291 x m1,8.20765
ID_Y0UQ291 x m2,8.202256
ID_Y0UQ291 x m3,8.190487
ID_Y0UQ291 x m4,8.225126
ID_Y0UQ291 x m5,8.196643
ID_Y0UQ291 x m6,8.223998
ID_9YEKQEF x m1,8.205493
ID_9YEKQEF x m2,8.192851
ID_9YEKQEF x m3,8.210886
ID_9YEKQEF x m4,8.206572
ID_9YEKQEF x m5,8.191637
ID_9YEKQEF x m6,8.221742
ID_XXF9R1J x m1,8.19222
ID_XXF9R1J x m2,8.19222
ID_XXF9R1J x m3,8.199019
ID_XXF9R1J x m4,8.197941
ID_XXF9R1J x m5,8.197274
ID_XXF9R1J x m6,8.213044
ID_79JGQRM x m1,8.199019
ID_79JGQRM x m2,8.197941
ID_79JGQRM x m3,8.194747
ID_79JGQRM x m4,8.205493
ID_79JGQRM x m5,8.203335
ID_79JGQRM x m6,8.199019
ID_H69NS6N x m1,8.19222
ID_H69NS6N x m2,8.22851
ID_H69NS6N x m3,8.217322
ID_H69NS6N x m4,8.194115
ID_H69NS6N x m5,8.196643
ID_H69NS6N x m6,8.243175
ID_5OYWJPG x m1,8.194747
ID_5OYWJPG x m2,8.193483
ID_5OYWJPG x m3,8.233022
ID_5OYWJPG x m4,8.197941
ID_5OYWJPG x m5,8.199019
ID_5OYWJPG x m6,8.19222
ID_LLYRMMF x m1,8.216258
ID_LLYRMMF x m2,8.221742
ID_LLYRMMF x m3,8.225126
ID_LLYRMMF x m4,8.206572
ID_LLYRMMF x m5,8.217322
ID_LLYRMMF x m6,8.214123
ID_WOFR55V x m1,8.194115
ID_WOFR55V x m2,8.194115
ID_WOFR55V x m3,8.205493
ID_WOFR55V x m4,8.230766
ID_WOFR55V x m5,8.199019
ID_WOFR55V x m6,8.194747
ID_5J4BKO7 x m1,8.216258
ID_5J4BKO7 x m2,8.092626
ID_5J4BKO7 x m3,8.197941
ID_5J4BKO7 x m4,8.220614
ID_5J4BKO7 x m5,8.194747
ID_5J4BKO7 x m6,8.216258
ID_NG99MB7 x m1,8.208729
ID_NG99MB7 x m2,8.196643
ID_NG99MB7 x m3,8.208729
ID_NG99MB7 x m4,8.205493
ID_NG99MB7 x m5,8.223998
ID_NG99MB7 x m6,8.201178
ID_X16RQ6C x m1,8.22851
ID_X16RQ6C x m2,8.203335
ID_X16RQ6C x m3,8.201178
ID_X16RQ6C x m4,8.220614
ID_X16RQ6C x m5,8.196643
ID_X16RQ6C x m6,8.209807
ID_JTA4DYO x m1,8.226254
ID_JTA4DYO x m2,8.206572
ID_JTA4DYO x m3,8.216258
ID_JTA4DYO x m4,8.199019
ID_JTA4DYO x m5,8.208729
ID_JTA4DYO x m6,8.197941
ID_H201LSJ x m1,8.206572
ID_H201LSJ x m2,8.191588
ID_H201LSJ x m3,8.215194
ID_H201LSJ x m4,8.215194
ID_H201LSJ x m5,8.201178
ID_H201LSJ x m6,8.196643
ID_F2N6B1Z x m1,8.209807
ID_F2N6B1Z x m2,8.213044
ID_F2N6B1Z x m3,8.213044
ID_F2N6B1Z x m4,8.197941
ID_F2N6B1Z x m5,8.19222
ID_F2N6B1Z x m6,8.203335
ID_DAXCCE8 x m1,8.208729
ID_DAXCCE8 x m2,8.217322
ID_DAXCCE8 x m3,8.202256
ID_DAXCCE8 x m4,8.223998
ID_DAXCCE8 x m5,8.209807
ID_DAXCCE8 x m6,8.192851
ID_9USOPOF x m1,8.211966
ID_9USOPOF x m2,8.196011
ID_9USOPOF x m3,8.200098
ID_9USOPOF x m4,8.199019
ID_9USOPOF x m5,8.202256
ID_9USOPOF x m6,8.216258
ID_3NRMV4R x m1,8.235278
ID_3NRMV4R x m2,8.199019
ID_3NRMV4R x m3,8.204413
ID_3NRMV4R x m4,8.214123
ID_3NRMV4R x m5,8.217322
ID_3NRMV4R x m6,8.235278
ID_41B8BMA x m1,8.215194
ID_41B8BMA x m2,8.235278
ID_41B8BMA x m3,8.200098
ID_41B8BMA x m4,8.216258
ID_41B8BMA x m5,8.109453
ID_41B8BMA x m6,8.210886
ID_7RYE3FE x m1,8.220614
ID_7RYE3FE x m2,8.199019
ID_7RYE3FE x m3,8.201178
