ID,Title,Pillar,Intructor,Categories,Difficulty,Difficulty_Num,Duration,Duration_Num,Require_Movement,Require_Movemen_Num,Tags,Source,Type,Audio,Recepie,Text,Video,Visualization
14,A Comprehensive Guide to Essential Vitamins and Minerals,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Comprehensive, Nutrition, Minerals, Essential, Vitamins, Health",Mockup,"Text, Video",0,0,1,1,0
122,A Comprehensive Guide to Nutritional Balance,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Comprehensive, Nutrition, Balance, Nutritional, Health",Mockup,"Text, Video",0,0,1,1,0
352,A Comprehensive Guide to Nutritional Basics,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Comprehensive, Nutrition, Basics, Nutritional, Health",Mockup,"Text, Video",0,0,1,1,0
280,A Comprehensive Guide to Nutritional Essentials,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Essentials, Comprehensive, Nutrition, Nutritional, Health",Mockup,"Text, Video",0,0,1,1,0
174,A Comprehensive Guide to Vitamins and Minerals,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Comprehensive, Nutrition, Minerals, Vitamins, Health",Mockup,"Text, Video",0,0,1,1,0
289,Advanced HIIT Workout Challenge,Activity,,Fitness,Expert,3,30+ min,5,Yes,1.0,"Challenge, HIIT, Fitness",Mockup,Video,0,0,0,1,0
121,Advanced Strength Training Routine,Activity,,Fitness,Expert,3,30+ min,5,Yes,1.0,"Training, Strength, Routine",Mockup,Video,0,0,0,1,0
16,Advanced Yoga Flow,"Activity, Rest",,Fitness,Expert,3,30+ min,5,Yes,1.0,"Strength, Flexibility, Balance",Mockup,Video,0,0,0,1,0
12,Affirmations for Boosting Self-Confidence,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Growth, Self-Confidence, Affirmations, Positive, Personal Development, Boosting, Empowerment, Esteem",Mockup,Audio,1,0,0,0,0
161,Affirmations for Building Confidence,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Growth, Self-Esteem, Positivity, Building, Personal Development, Confidence, Motivation, Empowerment",Mockup,Audio,1,0,0,0,0
43,Affirmations for Cultivating Self-Love,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Growth, Affirmations, Self-Love, Positive, Personal Development, Cultivating, Empowerment, Esteem",Mockup,Audio,1,0,0,0,0
186,Affirmations for Embracing Self-Love,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Growth, Affirmations, Empowerment, Self-Love, Positive, Personal Development, Confidence, Embracing",Mockup,Audio,1,0,0,0,0
25,Affirmations for Self-Esteem,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Positivity, Confidence, Self-Esteem",Mockup,Audio,1,0,0,0,0
76,Affirmations for a Positive Morning,Beauty,,Affirmation,Beginner,1,<1 min (Shorts),1,No,0.0,"Morning, Day, Positivity, Energy, Sunrise, Positive, Motivation",Mockup,"Audio, Text",1,0,1,0,0
283,An In-Depth Guide to Essential Nutrients,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Nutrition, In-Depth, Nutrients, Essential, Health",Mockup,"Text, Video",0,0,1,1,0
377,An In-Depth Guide to Vitamins and Minerals,Nutrition,,Education,Intermediate,2,6-15 min,3,No,0.0,"Guide, Wellness, Education, Nutrition, Minerals, In-Depth, Vitamins, Health",Mockup,"Text, Video",0,0,1,1,0
364,Begin Your Day with Empowering Affirmations,Beauty,,Affirmation,Beginner,1,<1 min (Shorts),1,No,0.0,"Morning, Begin, Empowering, Day, Affirmations, Positivity, Energy, Motivation",Mockup,"Audio, Text",1,0,1,0,0
246,Body Positivity Affirmations,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Body Positivity, Self-Love, Confidence",Mockup,Audio,1,0,0,0,0
253,Boosting Positivity with Daily Affirmations,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Daily, Growth, Affirmations, Positivity, Personal Development, Boosting, Empowerment, Esteem",Mockup,Audio,1,0,0,0,0
213,Building Self-Esteem with Positive Affirmations,Beauty,,Affirmation,Beginner,1,1-5 min,2,No,0.0,"Growth, Self-Esteem, Affirmations, Building, Positive, Personal Development, Confidence, Empowerment",Mockup,Audio,1,0,0,0,0
409,Cardio Dance Workout,Activity,,Fitness,Intermediate,2,15 - 30 min,4,Yes,1.0,"Fun, Dance, Cardio",Mockup,Video,0,0,0,1,0
