id,orders
Prague_1_2024-03-16,10982.562
Prague_1_2024-03-17,10968.556
Prague_1_2024-03-18,10987.31
Prague_1_2024-03-19,10967.345
Prague_1_2024-03-20,10948.441
Prague_1_2024-03-21,10969.143
Prague_1_2024-03-22,10957.095
Prague_1_2024-03-23,10959.485
Prague_1_2024-03-24,10957.831
Prague_1_2024-03-25,10960.044
Prague_1_2024-03-26,10950.85
Prague_1_2024-03-27,10949.694
Prague_1_2024-03-28,10955.0625
Prague_1_2024-03-29,10969.569
Prague_1_2024-03-30,10965.362
Prague_1_2024-03-31,10973.407
Prague_1_2024-04-01,10997.95
Prague_1_2024-04-02,10952.298
Prague_1_2024-04-03,10937.394
Prague_1_2024-04-04,10955.202
Prague_1_2024-04-05,10971.581
Prague_1_2024-04-06,10967.374
Prague_1_2024-04-07,10955.655
Prague_1_2024-04-08,10956.88
Prague_1_2024-04-09,10936.914
Prague_1_2024-04-10,10936.914
Prague_1_2024-04-11,10968.387
Prague_1_2024-04-12,10956.339
Prague_1_2024-04-13,10952.132
Prague_1_2024-04-14,10938.126
Prague_1_2024-04-15,10956.88
Prague_1_2024-04-16,10956.92
Prague_1_2024-04-17,10956.92
Prague_1_2024-04-18,10988.393
Prague_1_2024-04-19,10976.345
Prague_1_2024-04-20,10942.462
Prague_1_2024-04-21,10928.456
Prague_1_2024-04-22,10947.21
Prague_1_2024-04-23,10944.615
Prague_1_2024-04-24,10944.615
Prague_1_2024-04-25,10961.126
Prague_1_2024-04-26,10949.077
Prague_1_2024-04-27,10943.716
Prague_1_2024-04-28,10926.728
Prague_1_2024-04-29,10954.491
Prague_1_2024-04-30,10946.145
Prague_1_2024-05-01,10957.492
Prague_1_2024-05-02,10983.7705
Prague_1_2024-05-03,10956.817
Prague_1_2024-05-04,10938.946
Prague_1_2024-05-05,10953.368
Prague_1_2024-05-06,10972.122
Prague_1_2024-05-07,10954.444
Prague_1_2024-05-08,10965.83
Prague_1_2024-05-09,10968.387
Prague_1_2024-05-10,10956.339
Prague_1_2024-05-11,10952.132
Prague_1_2024-05-12,10938.126
Prague_1_2024-05-13,10956.88
Prague_1_2024-05-14,10936.914
Prague_1_2024-05-15,10936.914
Brno_1_2024-03-16,10960.907
Brno_1_2024-03-17,10946.901
Brno_1_2024-03-18,10965.655
Brno_1_2024-03-19,10945.69
Brno_1_2024-03-20,10926.787
Brno_1_2024-03-21,10947.488
Brno_1_2024-03-22,10935.44
Brno_1_2024-03-23,10937.831
Brno_1_2024-03-24,10936.177
Brno_1_2024-03-25,10938.39
Brno_1_2024-03-26,10929.195
Brno_1_2024-03-27,10931.756
Brno_1_2024-03-28,10937.124
Brno_1_2024-03-29,10951.63
Brno_1_2024-03-30,10947.423
Brno_1_2024-03-31,10955.468
Brno_1_2024-04-01,11012.612
Brno_1_2024-04-02,10966.959
Brno_1_2024-04-03,10925.455
Brno_1_2024-04-04,10933.548
Brno_1_2024-04-05,10949.927
Brno_1_2024-04-06,10945.72
Brno_1_2024-04-07,10934.001
Brno_1_2024-04-08,10935.226
Brno_1_2024-04-09,10915.26
Brno_1_2024-04-10,10915.26
Brno_1_2024-04-11,10946.732
Brno_1_2024-04-12,10934.685
Brno_1_2024-04-13,10930.478
Brno_1_2024-04-14,10916.472
Brno_1_2024-04-15,10935.226
Brno_1_2024-04-16,10935.266
Brno_1_2024-04-17,10935.266
Brno_1_2024-04-18,10966.738
Brno_1_2024-04-19,10954.69
Brno_1_2024-04-20,10920.808
Brno_1_2024-04-21,10906.802
Brno_1_2024-04-22,10925.556
Brno_1_2024-04-23,10922.961
Brno_1_2024-04-24,10922.961
Brno_1_2024-04-25,10939.472
Brno_1_2024-04-26,10927.423
Brno_1_2024-04-27,10925.776
Brno_1_2024-04-28,10908.788
Brno_1_2024-04-29,10936.552
Brno_1_2024-04-30,10928.206
Brno_1_2024-05-01,10972.153
Brno_1_2024-05-02,10998.432
Brno_1_2024-05-03,10944.88
Brno_1_2024-05-04,10917.292
Brno_1_2024-05-05,10931.714
Brno_1_2024-05-06,10950.468
Brno_1_2024-05-07,10932.79
Brno_1_2024-05-08,10944.176
Brno_1_2024-05-09,10946.732
Brno_1_2024-05-10,10934.685
Brno_1_2024-05-11,10930.478
Brno_1_2024-05-12,10916.472
Brno_1_2024-05-13,10935.226
Brno_1_2024-05-14,10915.26
Brno_1_2024-05-15,10915.26
Prague_2_2024-03-16,10987.095
Prague_2_2024-03-17,10973.089
Prague_2_2024-03-18,10991.843
Prague_2_2024-03-19,10971.878
Prague_2_2024-03-20,10952.975
Prague_2_2024-03-21,10973.676
Prague_2_2024-03-22,10961.628
Prague_2_2024-03-23,10964.019
Prague_2_2024-03-24,10962.364
Prague_2_2024-03-25,10964.577
Prague_2_2024-03-26,10955.383
Prague_2_2024-03-27,10954.228
Prague_2_2024-03-28,10959.596
Prague_2_2024-03-29,10974.103
Prague_2_2024-03-30,10969.8955
Prague_2_2024-03-31,10977.94
Prague_2_2024-04-01,11002.575
Prague_2_2024-04-02,10956.923
Prague_2_2024-04-03,10942.019
