date,holiday_name,holiday,shutdown,mini_shutdown,warehouse_limited,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,warehouse
2022-03-09,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2019-07-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-05-18,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-11-09,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-08-02,,0,0,0,0,0,0,0,0,0.0,0,2.5,0.0,Prague_1
2023-09-23,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-01,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-01-30,,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1
2023-02-04,,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1
2022-10-22,,0,0,0,0,0,0,0,0,1.0,0,3.7,0.0,Prague_1
2023-08-01,,0,0,0,0,0,0,0,0,0.0,0,0.7,0.0,Prague_1
2021-01-06,,0,0,0,0,0,0,0,0,0.0,0,0.5,2.0,Prague_1
2020-06-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-10-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-03-13,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-01-12,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-08-15,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-06-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-05-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-12-14,,0,0,0,0,0,0,0,0,1.0,0,1.9,4.0,Prague_1
2023-03-16,,0,0,0,0,0,0,0,0,1.0,0,0.0,1.0,Prague_1
2020-08-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-04-10,Good Friday,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-07-08,,0,0,0,0,0,0,0,0,0.0,0,30.1,0.0,Prague_1
2023-02-03,,0,0,0,0,0,0,0,0,1.0,0,6.0,0.0,Prague_1
2019-07-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-07-19,,0,0,0,0,0,0,0,0,0.0,0,0.6,0.0,Prague_1
2019-01-05,,0,0,0,0,0,0,0,0,0.0,0,0.5,1.0,Prague_1
2019-03-06,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-09-23,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-04-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-06-29,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-11-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-02-27,,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1
2021-11-26,,0,0,0,0,0,0,0,0,0.0,0,1.1,0.0,Prague_1
2019-11-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-07-01,,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1
2022-02-24,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2023-05-19,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2023-04-03,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2023-04-26,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2023-09-12,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-09-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-01-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-13,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-08-13,,0,0,0,0,0,0,0,0,0.0,0,0.84,0.0,Prague_1
2021-06-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-02-11,,0,0,0,0,0,1,0,0,0.0,0,0.2,0.0,Prague_1
